global,time,dc_dac_finl_cd
world,1970,1299999.95232
world,1971,3120000.12398
world,1972,7639999.86649
world,1973,13690000.53406
world,1974,14699999.80927
world,1975,27180000.30518
world,1976,28459999.08447
world,1977,26879999.16077
world,1978,22870000.83923
world,1979,42389999.38965
world,1980,65370002.74658
world,1981,78360000.61035
world,1982,86139999.38965
world,1983,92660003.66211
world,1984,108000000
world,1985,127639999.38965
world,1986,187589996.33789
world,1987,262690002.44141
world,1988,379589996.33789
world,1989,435250000
world,1990,516299987.79297
world,1991,672469970.70312
world,1992,435380004.88281
world,1993,256209991.45508
world,1994,231000000
world,1995,247250000
world,1996,235460006.71387
world,1997,235849990.84473
world,1998,240119995.11719
world,1999,260639984.13086
world,2000,234669998.16895
world,2001,239910003.66211
world,2002,267579986.57227
world,2003,329339996.33789
world,2004,410089996.33789
world,2005,596140014.64844
world,2006,454260009.76562
world,2007,583719970.70312
world,2008,692369995.11719
world,2009,790609985.35156
world,2010,838279968.26172
world,2011,838650024.41406
world,2012,794840026.85547
world,2013,822089965.82031
world,2014,938369995.11719
world,2015,699270019.53125
world,2016,638450012.20703
world,2017,597890014.64844
world,2018,475820007.32422
world,2019,604119995.11719
