global,time,ag_prd_lvsk_xd
world,1961,0.18718
world,1962,0.1901
world,1963,0.19846
world,1964,0.19892
world,1965,0.20418
world,1966,0.21354
world,1967,0.22125
world,1968,0.232
world,1969,0.23193
world,1970,0.23405
world,1971,0.23814
world,1972,0.24001
world,1973,0.24972
world,1974,0.2576
world,1975,0.26651
world,1976,0.28078
world,1977,0.29465
world,1978,0.31254
world,1979,0.33664
world,1980,0.35958
world,1981,0.38348
world,1982,0.37532
world,1983,0.37707
world,1984,0.35142
world,1985,0.3909
world,1986,0.37763
world,1987,0.36667
world,1988,0.379
world,1989,0.3964
world,1990,0.41063
world,1991,0.43069
world,1992,0.43949
world,1993,0.45572
world,1994,0.50953
world,1995,0.54358
world,1996,0.55022
world,1997,0.57867
world,1998,0.6238
world,1999,0.67307
world,2000,0.70866
world,2001,0.74662
world,2002,0.78422
world,2003,0.81979
world,2004,0.82758
world,2005,0.84971
world,2006,0.83904
world,2007,0.84151
world,2008,0.86089
world,2009,0.86253
world,2010,0.87688
world,2011,0.87949
world,2012,0.19129
world,2013,0.19326
world,2014,0.19947
