geo,time,sp_pop_65up_to
abw,1960,1346
abw,1961,1433
abw,1962,1513
abw,1963,1588
abw,1964,1671
abw,1965,1766
abw,1966,1867
abw,1967,1972
abw,1968,2087
abw,1969,2219
abw,1970,2365
abw,1971,2592
abw,1972,2834
abw,1973,3085
abw,1974,3324
abw,1975,3552
abw,1976,3661
abw,1977,3768
abw,1978,3871
abw,1979,3986
abw,1980,4117
abw,1981,4231
abw,1982,4360
abw,1983,4476
abw,1984,4567
abw,1985,4612
abw,1986,4624
abw,1987,4610
abw,1988,4600
abw,1989,4644
abw,1990,4758
abw,1991,4777
abw,1992,4895
abw,1993,5086
abw,1994,5315
abw,1995,5552
abw,1996,5814
abw,1997,6059
abw,1998,6310
abw,1999,6578
abw,2000,6888
abw,2001,7207
abw,2002,7557
abw,2003,7924
abw,2004,8278
abw,2005,8594
abw,2006,8993
abw,2007,9342
abw,2008,9678
abw,2009,10035
abw,2010,10460
abw,2011,10800
abw,2012,11201
abw,2013,11656
abw,2014,12149
abw,2015,12664
abw,2016,13218
abw,2017,13774
abw,2018,14343
abw,2019,14945
abw,2020,15594
afg,1960,251763
afg,1961,257489
afg,1962,262225
afg,1963,265890
afg,1964,268393
afg,1965,269706
afg,1966,276591
afg,1967,282473
afg,1968,287330
afg,1969,291186
afg,1970,294047
afg,1971,302405
afg,1972,309809
afg,1973,315984
afg,1974,320690
afg,1975,323757
afg,1976,331130
afg,1977,335779
afg,1978,336812
afg,1979,333367
afg,1980,325198
afg,1981,323069
afg,1982,315216
afg,1983,302582
afg,1984,286403
afg,1985,267344
afg,1986,266581
afg,1987,266294
afg,1988,267537
afg,1989,271237
afg,1990,277110
afg,1991,298208
afg,1992,327281
afg,1993,361158
afg,1994,395795
afg,1995,428918
afg,1996,446710
afg,1997,456623
afg,1998,462165
afg,1999,467820
afg,2000,476265
afg,2001,490882
afg,2002,509839
afg,2003,531197
afg,2004,552252
afg,2005,571446
afg,2006,595225
afg,2007,615355
afg,2008,634055
afg,2009,654668
afg,2010,679477
afg,2011,709103
afg,2012,743602
afg,2013,780991
afg,2014,818110
afg,2015,852997
afg,2016,891625
afg,2017,927094
afg,2018,960867
afg,2019,995094
afg,2020,1031239
ago,1960,164027
ago,1961,168439
ago,1962,171872
ago,1963,174434
ago,1964,176103
ago,1965,176688
ago,1966,175290
ago,1967,172134
ago,1968,167105
ago,1969,160670
ago,1970,153593
ago,1971,159670
ago,1972,166552
ago,1973,173843
ago,1974,180961
ago,1975,187486
ago,1976,192567
ago,1977,197458
ago,1978,202435
ago,1979,207804
ago,1980,213807
ago,1981,222382
ago,1982,231102
ago,1983,239690
ago,1984,247720
ago,1985,254995
ago,1986,262671
ago,1987,269472
ago,1988,276114
ago,1989,283540
ago,1990,292296
ago,1991,303986
ago,1992,316390
ago,1993,329122
ago,1994,341698
ago,1995,353916
ago,1996,368174
ago,1997,381751
ago,1998,394883
ago,1999,407872
ago,2000,420852
ago,2001,436308
ago,2002,451459
ago,2003,465962
ago,2004,479221
ago,2005,490962
ago,2006,504495
ago,2007,516473
ago,2008,527649
ago,2009,539088
ago,2010,551384
ago,2011,568563
ago,2012,586522
ago,2013,604290
ago,2014,620481
ago,2015,634610
ago,2016,652134
ago,2017,667656
ago,2018,682860
ago,2019,699947
ago,2020,720252
alb,1960,87049
alb,1961,89478
alb,1962,92504
alb,1963,95799
alb,1964,98983
alb,1965,101776
alb,1966,103456
alb,1967,104905
alb,1968,106590
alb,1969,108664
alb,1970,110896
alb,1971,113357
alb,1972,116143
alb,1973,118995
alb,1974,121914
alb,1975,124949
alb,1976,128252
alb,1977,131661
alb,1978,134971
alb,1979,138212
alb,1980,141573
alb,1981,145208
alb,1982,148987
alb,1983,152763
alb,1984,156439
alb,1985,159938
alb,1986,163457
alb,1987,166862
alb,1988,170216
alb,1989,175638
alb,1990,180595
alb,1991,184533
alb,1992,189221
alb,1993,194474
alb,1994,199849
alb,1995,205054
alb,1996,207943
alb,1997,210387
alb,1998,212661
alb,1999,215154
alb,2000,218028
alb,2001,223839
alb,2002,231640
alb,2003,239739
alb,2004,247942
alb,2005,255998
alb,2006,266503
alb,2007,276855
alb,2008,287381
alb,2009,298383
alb,2010,310103
alb,2011,320007
alb,2012,330283
alb,2013,340775
alb,2014,351913
alb,2015,363733
alb,2016,372634
alb,2017,383005
alb,2018,393976
alb,2019,405370
alb,2020,417294
are,1960,3174
are,1961,3205
are,1962,3306
are,1963,3414
are,1964,3469
are,1965,3426
are,1966,3330
are,1967,3210
are,1968,3136
are,1969,3178
are,1970,3371
are,1971,3368
are,1972,3825
are,1973,4790
are,1974,6251
are,1975,8175
are,1976,9283
are,1977,10645
are,1978,12176
are,1979,13624
are,1980,14756
are,1981,15456
are,1982,15684
are,1983,15763
are,1984,16022
are,1985,16626
are,1986,17222
are,1987,18143
are,1988,19330
are,1989,20640
are,1990,21943
are,1991,22786
are,1992,23530
are,1993,24194
are,1994,24827
are,1995,25463
are,1996,26741
are,1997,28519
are,1998,30587
are,1999,32564
are,2000,34242
are,2001,34376
are,2002,34450
are,2003,35109
are,2004,37096
are,2005,40725
are,2006,42575
are,2007,46102
are,2008,50490
are,2009,54855
are,2010,58618
are,2011,66386
are,2012,73369
are,2013,79088
are,2014,83361
are,2015,86457
are,2016,92392
are,2017,98162
are,2018,104496
are,2019,113001
are,2020,125055
arg,1960,1133027
arg,1961,1180297
arg,1962,1227887
arg,1963,1276214
arg,1964,1325674
arg,1965,1376611
arg,1966,1432500
arg,1967,1488660
arg,1968,1545082
arg,1969,1601707
arg,1970,1658621
arg,1971,1720411
arg,1972,1781130
arg,1973,1840861
arg,1974,1899463
arg,1975,1956758
arg,1976,2021794
arg,1977,2084242
arg,1978,2144761
arg,1979,2204472
arg,1980,2264500
arg,1981,2323132
arg,1982,2383640
arg,1983,2445546
arg,1984,2507582
arg,1985,2569289
arg,1986,2643160
arg,1987,2711719
arg,1988,2777257
arg,1989,2843057
arg,1990,2910364
arg,1991,2987702
arg,1992,3065166
arg,1993,3141283
arg,1994,3213299
arg,1995,3280179
arg,1996,3350998
arg,1997,3416986
arg,1998,3478178
arg,1999,3534693
arg,2000,3587026
arg,2001,3646163
arg,2002,3698543
arg,2003,3747194
arg,2004,3795884
arg,2005,3847046
arg,2006,3906203
arg,2007,3966575
arg,2008,4029611
arg,2009,4096735
arg,2010,4158393
arg,2011,4248699
arg,2012,4340684
arg,2013,4434407
arg,2014,4529965
arg,2015,4627549
arg,2016,4733904
arg,2017,4840396
arg,2018,4946805
arg,2019,5052508
arg,2020,5157755
arm,1960,118971
arm,1961,118444
arm,1962,118085
arm,1963,118071
arm,1964,118653
arm,1965,120033
arm,1966,122971
arm,1967,126712
arm,1968,131065
arm,1969,135674
arm,1970,140324
arm,1971,145866
arm,1972,150699
arm,1973,155123
arm,1974,159572
arm,1975,164225
arm,1976,169540
arm,1977,175037
arm,1978,180006
arm,1979,183381
arm,1980,184730
arm,1981,185087
arm,1982,183674
arm,1983,181555
arm,1984,180193
arm,1985,180501
arm,1986,181442
arm,1987,183512
arm,1988,186963
arm,1989,192187
arm,1990,199274
arm,1991,212953
arm,1992,227988
arm,1993,243212
arm,1994,257227
arm,1995,269661
arm,1996,278226
arm,1997,284704
arm,1998,290549
arm,1999,297814
arm,2000,307444
arm,2001,318197
arm,2002,331198
arm,2003,343926
arm,2004,352497
arm,2005,354770
arm,2006,352184
arm,2007,344052
arm,2008,333033
arm,2009,322973
arm,2010,316327
arm,2011,312532
arm,2012,311823
arm,2013,313315
arm,2014,315685
arm,2015,318225
arm,2016,322351
arm,2017,326773
arm,2018,332184
arm,2019,339656
arm,2020,349747
atg,1960,2294
atg,1961,2313
atg,1962,2329
atg,1963,2333
atg,1964,2331
atg,1965,2338
atg,1966,2388
atg,1967,2442
atg,1968,2481
atg,1969,2509
atg,1970,2523
atg,1971,2652
atg,1972,2750
atg,1973,2819
atg,1974,2864
atg,1975,2891
atg,1976,3008
atg,1977,3121
atg,1978,3225
atg,1979,3313
atg,1980,3392
atg,1981,3529
atg,1982,3671
atg,1983,3808
atg,1984,3932
atg,1985,4059
atg,1986,4225
atg,1987,4396
atg,1988,4580
atg,1989,4770
atg,1990,4978
atg,1991,4982
atg,1992,4991
atg,1993,4999
atg,1994,5007
atg,1995,5005
atg,1996,5043
atg,1997,5060
atg,1998,5061
atg,1999,5041
atg,2000,5000
atg,2001,5104
atg,2002,5219
atg,2003,5348
atg,2004,5503
atg,2005,5687
atg,2006,5799
atg,2007,5927
atg,2008,6085
atg,2009,6267
atg,2010,6477
atg,2011,6672
atg,2012,6888
atg,2013,7124
atg,2014,7369
atg,2015,7632
atg,2016,7902
atg,2017,8183
atg,2018,8473
atg,2019,8794
atg,2020,9139
aus,1960,884868
aus,1961,904704
aus,1962,928144
aus,1963,946353
aus,1964,964280
aus,1965,981496
aus,1966,995393
aus,1967,998328
aus,1968,1006166
aus,1969,1018293
aus,1970,1031064
aus,1971,1079689
aus,1972,1112392
aus,1973,1142706
aus,1974,1187416
aus,1975,1220598
aus,1976,1254217
aus,1977,1293980
aus,1978,1336486
aus,1979,1376153
aus,1980,1413926
aus,1981,1460177
aus,1982,1501769
aus,1983,1534800
aus,1984,1569235
aus,1985,1613701
aus,1986,1662464
aus,1987,1715038
aus,1988,1773165
aus,1989,1832635
aus,1990,1887187
aus,1991,1945565
aus,1992,2000583
aus,1993,2048277
aus,1994,2095025
aus,1995,2142807
aus,1996,2191058
aus,1997,2233026
aus,1998,2272163
aus,1999,2314268
aus,2000,2360353
aus,2001,2410183
aus,2002,2459554
aus,2003,2512170
aus,2004,2565354
aus,2005,2625040
aus,2006,2675535
aus,2007,2703824
aus,2008,2774878
aus,2009,2860193
aus,2010,2947089
aus,2011,3045014
aus,2012,3166837
aus,2013,3296373
aus,2014,3419308
aus,2015,3537773
aus,2016,3662774
aus,2017,3789676
aus,2018,3911408
aus,2019,4038531
aus,2020,4165664
aut,1960,856398
aut,1961,874313
aut,1962,893358
aut,1963,912879
aut,1964,932415
aut,1965,951555
aut,1966,974014
aut,1967,995690
aut,1968,1013834
aut,1969,1029020
aut,1970,1043203
aut,1971,1063149
aut,1972,1082482
aut,1973,1099826
aut,1974,1111336
aut,1975,1116281
aut,1976,1130087
aut,1977,1144444
aut,1978,1153508
aut,1979,1154031
aut,1980,1147167
aut,1981,1140504
aut,1982,1121931
aut,1983,1096851
aut,1984,1078107
aut,1985,1069405
aut,1986,1073880
aut,1987,1087145
aut,1988,1105943
aut,1989,1126606
aut,1990,1145648
aut,1991,1169464
aut,1992,1189691
aut,1993,1202526
aut,1994,1207331
aut,1995,1207332
aut,1996,1213374
aut,1997,1217350
