geo,time,dt_nfl_prvt_cd
ago,1989,337784000
ago,1990,566487000
ago,1991,18208000
ago,1992,454620000
ago,1993,610027000
ago,1994,222656000
ago,1995,116614000
ago,1996,101964000
ago,1997,386502000
ago,1998,-141019000
ago,1999,38973000
ago,2000,-251024000
ago,2001,864000
ago,2002,-83589000
ago,2003,485123000
ago,2004,862797000
ago,2005,1573209000
ago,2006,-1556122000
ago,2007,1321079000
ago,2008,2785909000
ago,2009,-379096000
ago,2010,947002000
ago,2011,331536000
ago,2012,2285424000
ago,2013,2159824000
ago,2014,4646188000
ago,2015,723291000
ago,2016,-1222288000
ago,2017,-598857000
ago,2018,4478162000
ago,2019,2288586000
ago,2020,-58571000
alb,1991,28378000
alb,1992,3165000
alb,1993,11131000
alb,1994,-8084000
alb,1995,-411000
alb,1996,4474000
alb,1997,-1147000
alb,1998,-1771000
alb,1999,-1637000
alb,2000,-1017000
alb,2001,-270000
alb,2002,-284000
alb,2003,803000
alb,2004,-1851000
alb,2005,-574000
alb,2006,-3271000
alb,2007,-2572000
alb,2008,432250000
alb,2009,301577000
alb,2010,346289000
alb,2011,53849000
alb,2012,-62947000
alb,2013,7384000
alb,2014,-19446000
alb,2015,443770000
alb,2016,11214000
alb,2017,-43899000
alb,2018,239606000
alb,2019,-55096000
alb,2020,423723000
arg,1970,87116000
arg,1971,165267000
arg,1972,185357000
arg,1973,221232000
arg,1974,241920000
arg,1975,-107570000
arg,1976,1236641000
arg,1977,414559000
arg,1978,1106723000
arg,1979,1996759000
arg,1980,1635064000
arg,1981,724947000
arg,1982,3645097000
arg,1983,1034035000
arg,1984,43436000
arg,1985,2532321000
arg,1986,608859000
arg,1987,927795000
arg,1988,43042000
arg,1989,-733357000
arg,1990,-2072454000
arg,1991,-227260000
arg,1992,47389000
arg,1993,834195000
arg,1994,2627138000
arg,1995,3374755000
arg,1996,9489021000
arg,1997,7084948000
arg,1998,9387664000
arg,1999,14955155000
arg,2000,8016759000
arg,2001,-5036037000
arg,2002,-16098000
arg,2003,-179390000
arg,2004,2004196000
arg,2005,1999237000
arg,2006,1981659000
arg,2007,3111394000
arg,2008,1009852000
arg,2009,-3693470000
arg,2010,-3943539000
arg,2011,-57308000
arg,2012,-1356792000
arg,2013,-2005917000
arg,2014,5212740000
arg,2015,1531667000
arg,2016,35984700000
arg,2017,21868937000
arg,2018,31690326000
arg,2019,-7831428000
arg,2020,4457323000
arm,1998,5000000
arm,1999,13895000
arm,2000,6887000
arm,2001,99000
arm,2002,-4526000
arm,2003,-14896000
arm,2004,-1329000
arm,2007,-111000
arm,2008,-252000
arm,2009,-6000
arm,2010,-6000
arm,2011,2359000
arm,2012,10231000
arm,2013,704303000
arm,2014,6334000
arm,2015,321243000
arm,2016,7565000
