geo,time,gc_dod_totl_cn
alb,1995,79310000000
alb,1996,125321314000
alb,1997,175958970000
alb,1998,213843500000
alb,2011,905724300000
alb,2012,848589470000
alb,2013,952877800000
alb,2014,1023040800000
alb,2015,1145500940000
alb,2016,1188814490000
are,2013,27127927216
aus,1990,49485000000
aus,1991,49502000000
aus,1992,59874000000
aus,1993,79401000000
aus,1994,94203000000
aus,1995,107501000000
aus,1996,115374000000
aus,1997,116120000000
aus,1998,99449000000
aus,1999,193171000000
aus,2000,195640000000
aus,2001,196100000
aus,2002,196000000
aus,2003,201700000
aus,2004,197800000
aus,2005,207600000
aus,2006,215700000
aus,2007,220800000
aus,2008,216600000
aus,2009,303200000
aus,2010,380700000
aus,2011,433300000
aus,2012,598400000
aus,2013,584400000
aus,2014,674700000
aus,2015,762718000
aus,2016,907555000
aze,2008,1836894200
aze,2009,2241118840
aze,2010,2711634760
bdi,1991,188152000000
bdi,1992,234605000000
bdi,1993,268081000000
bdi,1994,273483000000
bdi,1995,322124000000
bdi,1996,379121000000
bdi,1997,460199000000
bdi,1998,605411400000
bdi,1999,740304800000
bgd,2001,916599900000
bgd,2002,1001422800000
bgd,2003,1086914100000
bhr,1990,138800000
bhr,1991,284300000
bhr,1992,380500000
bhr,1993,378300000
bhr,1994,374300000
bhr,1995,373600000
bhr,1996,362800000
bhr,1997,404900000
bhr,1998,492100000
bhr,1999,589800000
bhr,2000,877300000
bhr,2001,914800000
bhr,2002,1023700000
bhr,2003,1351400000
bhr,2004,1453600000
bhs,1990,773100000
bhs,1991,870400000
bhs,1992,952300000
bhs,1993,1064700000
bhs,1994,1136300000
bhs,1995,1165800000
bhs,1996,1235100000
bhs,1997,1375629000
bhs,1998,1431678000
bhs,1999,1509200000
bhs,2000,1514500000
bhs,2006,2386277000
bhs,2007,2469300000
bhs,2008,2678900000
bhs,2009,3084771000
bhs,2010,3400915000
bhs,2011,3552942000
bhs,2012,3905694000
bhs,2013,4689267000
bhs,2014,5158420000
bhs,2015,5655150000
bhs,2016,6138814000
bih,2011,12023018745.3002
bih,2012,12872797345
bih,2016,15809924209.5686
blr,1992,2370
blr,1993,5110
blr,1994,1351480
blr,1995,2049290
blr,1996,2210010
blr,1997,4464860
blr,1998,14169990
blr,1999,45703000
blr,2000,137139000
blr,2001,196472000
blr,2002,322460000
blr,2005,427505200
blr,2006,526681800
blr,2007,865671000
blr,2008,1383133100
blr,2009,2636853897.56257
blr,2010,3222697837.03379
blr,2011,12110618048
blr,2012,13377900000
blr,2013,15987400000
blr,2014,19781184418
blr,2015,33804450453.31969
blr,2016,37941765765.7758
blz,1990,231832000
blz,1991,254767000
blz,1992,341625000
blz,1993,395557000
blz,1994,431785000
blz,1995,450357000
blz,1996,498128000
blz,2002,1254635000
blz,2003,1743037000
blz,2004,2200126000
blz,2005,2054694000
blz,2006,2134440000
blz,2007,2187249000
blz,2008,2156840000
blz,2009,2192727000
blz,2010,2240073000
blz,2011,2286248000
blz,2012,2344154000
blz,2013,2488400000
blz,2014,2609974000
bol,1994,16352900000
bol,1995,18506600000
bol,1996,17973600000
bol,1997,19379600000
bol,1998,22041700000
bol,1999,27091500000
bol,2000,31213800000
bol,2001,36760230000
bra,2006,1540900000000
bra,2007,1698850000000
bra,2008,1886280000000
bra,2009,2126740000000
bra,2010,2382753990986.1001
bra,2011,2597017652406.62012
bra,2012,2881609304522.97021
bra,2013,3051200747915.62012
bra,2014,3378218222290.27979
bra,2015,4049407884511.50977
bra,2016,4602865624505.08008
brb,2005,4873042147
brb,2006,5260609856
brb,2007,6246978106
brb,2008,6810844786
brb,2009,7759229085
brb,2010,8672652668
brb,2011,9338336564
brb,2012,10397944167
brb,2013,11270291340
brb,2014,12175704025
brb,2015,13365027241
btn,1990,2687000000
btn,1991,2698900000
btn,1992,2956500000
btn,1993,2821100000
btn,1994,2798200000
btn,1995,2662400000
btn,1996,4069500000
btn,1997,4084900000
btn,1998,4661170000
btn,1999,6205356000
btn,2000,7721800000
btn,2001,15723800000
btn,2002,14715686000
btn,2003,19930991000
btn,2004,23959301000
btn,2005,28721391000
btn,2006,30457650000
btn,2007,31056399000
btn,2008,33070990000
btn,2009,34759027000
btn,2010,39788500000
btn,2011,53119200000
btn,2012,70668700000
btn,2013,101310000000
btn,2014,108370000000
btn,2015,120783002000
btn,2016,160562057000
bwa,1990,801930000
bwa,1991,965800000
bwa,1992,1096300000
bwa,1993,1254500000
bwa,1994,1377000000
bwa,1995,1438900000
bwa,1996,1797900000
bwa,2006,3483530000
bwa,2007,3855360000
bwa,2008,5863580000
bwa,2009,13938100000
bwa,2010,18790020000
bwa,2011,21776160000
bwa,2012,21914260000
bwa,2013,22794370000
bwa,2014,25447260000
bwa,2015,26159246269.7519
bwa,2016,25986219844.0603
che,1990,45504934744.74
che,1991,50299725602.59
che,1992,59955616824.94
che,1993,74194701765.39998
che,1994,82718528884.94998
che,1995,93856386385.24001
che,1996,96283032129.63
che,1997,106630374606.14
che,1998,119378182241.02
che,1999,111891750388.14
che,2000,121005090240.44
che,2001,118778966285.37
che,2002,142769871190.04001
che,2003,139908981889.29999
che,2004,147034881748.16
che,2005,152735908599.78
che,2006,142384621502.89999
che,2007,138291085808.54999
che,2008,141952281437.66
che,2009,131075763235.17999
che,2010,131270327628.326
che,2011,134642394893.25
che,2012,136871309663.3
che,2013,131827950062.72
che,2014,136764130115.49001
che,2015,136659738536.39
che,2016,130547305679.14
civ,1995,9392700000000
cod,1990,64.8972
cod,1991,567.92333
cod,1992,22734.71333
cod,1993,279973.67333
cod,1994,118005600
cod,1995,923410000
cod,1996,7055500000
cod,1997,12174960000
cog,2009,2754060000000
cog,2010,1657840000000
col,1998,7591600000000
col,1999,28896400000000
col,2000,36928800000000
col,2003,143077588328181
col,2008,310928040000000
col,2009,346081061000000
col,2010,394185996000000
col,2011,389118680000000
col,2012,434747159000000
col,2013,479177197000000
col,2014,607904432000000
col,2015,536470607000000
col,2016,495859665995031.0625
cri,1996,730100000000
cri,1997,885500000000
cri,1998,1415000000000
cri,1999,1633200000000
cri,2000,1781500000000
cri,2001,2066700000000
cyp,1990,3782357127.58505
cyp,1991,4404755913.96785
cyp,1992,5080753395.08791
cyp,1993,5613645864.44211
cyp,1994,5717894741.84233
cze,1993,188727000000
cze,1994,194159000000
deu,1990,306335417699.90198
deu,1991,348123303150.06897
deu,1992,409984507856
deu,1993,461548294074.638
deu,1994,513413742503.18298
deu,1995,668358000000
deu,1996,702075333745.776
deu,1997,728437543140.25183
deu,1998,747442262364.31604
deu,1999,394942300711.20697
dnk,1991,553347000000
dnk,1992,614981000000
dnk,1993,726424000000
dnk,1994,747563000000
dom,1996,49308900000
dom,1997,49260400000
dom,1999,57544200000
egy,2007,638953000000
esp,1970,345348000000
esp,1971,343997000000
esp,1995,250356276043.94501
esp,1996,294013154427.73401
esp,1997,309600854813.72101
esp,1998,334384978176.88
esp,1999,328900000467.52893
esp,2000,341647734546.55701
esp,2001,341879346137.41199
esp,2002,358628039637.70697
esp,2003,353574367174.84894
esp,2004,371877253130.164
esp,2005,376567538595.85999
esp,2006,362164110762.84302
esp,2007,346976492299.19897
esp,2008,414755655455.078
esp,2009,547575671311.54895
esp,2010,579526076528.80798
esp,2011,662913672760.40796
esp,2012,872119759437.52405
esp,2013,1019558139649.63
esp,2014,1158183701791.15991
esp,2015,1128716991847.77002
esp,2016,1164774959488.16992
eth,1990,12186200000
eth,1991,14182000000
eth,1992,13051000000
eth,1993,27645600000
eth,1994,37063100000
eth,1995,39599800000
eth,1996,38967100000
eth,1997,38748500000
eth,1998,41947300000
eth,1999,49485000000
eth,2013,93049100000
fin,1990,9528518785.75045
fin,1991,14786241554.8637
fin,1992,28916550196.5276
fin,1993,44246543317.6414
fin,1994,52858942467.956
fji,1991,752310000
fji,1992,775570000
fji,1993,921680000
fji,1994,979110000
fsm,2008,70020215
fsm,2009,71308948
fsm,2010,71726495
fsm,2011,78454110
fsm,2012,88734048
fsm,2013,83500423
fsm,2014,74676687
fsm,2015,94767029
fsm,2016,84368040
gbr,1990,185954000000
gbr,1991,189173000000
gbr,1992,204338000000
gbr,1993,249926000000
gbr,1994,301656000000
gbr,1995,373411000000
gbr,1996,395816000000
gbr,1997,428242000000
gbr,1998,460507000000
gbr,1999,444079000000
gbr,2000,466829000000
gbr,2001,438423000000
gbr,2002,469593000000
gbr,2003,494806000000
gbr,2004,564197000000
gbr,2005,616454000000
gbr,2006,643418000000
gbr,2007,692055000000
gbr,2008,878375000000
gbr,2009,1066777000000
gbr,2010,1308716000000
gbr,2011,1580951000000
gbr,2012,1699435000000
gbr,2013,1695451000000
gbr,2014,1977649000000
gbr,2015,2015806000000
gbr,2016,2294247000000
geo,1997,1977100000
geo,1998,2857800000
geo,1999,4077900000
geo,2000,4226400000
geo,2001,4449500000
geo,2002,4843300000
geo,2003,4608000000
geo,2004,4306600000
geo,2005,4076200000
geo,2006,3855400000
geo,2007,3855400000
geo,2008,5153600000
geo,2009,6225200000
geo,2010,7633500000
geo,2011,7902000000
geo,2012,8512400000
geo,2013,9106800000
geo,2014,10313000000
geo,2015,13109400000
geo,2016,15102700000
gtm,1990,8401020000
gtm,1991,8397010000
gtm,1992,8546550000
