global,time,it_net_bbnd_p2
world,2001,0.8376
world,2002,1.34242
world,2003,1.97596
world,2004,2.94347
world,2005,3.65881
world,2006,4.65331
world,2007,5.37113
world,2008,6.25903
world,2009,7.09829
world,2010,7.84825
world,2011,8.98554
world,2012,9.35554
world,2013,9.77546
world,2014,10.19485
world,2015,11.51986
world,2016,12.43114
world,2017,13.75969
world,2018,14.57534
world,2019,14.89298
world,2020,15.8874
