global,time,se_sec_tchr_fe_zs
world,1974,49.28978
world,1975,48.96601
world,1976,48.43775
world,1977,47.40232
world,1978,46.62446
world,1979,47.04267
world,1980,47.19109
world,1981,47.09878
world,1982,47.28211
world,1983,47.49114
world,1984,47.6626
world,1985,47.31237
world,1986,48.13139
world,1987,48.25596
world,1988,48.30829
world,1989,48.44792
world,1990,48.71999
world,1991,48.95261
world,1992,49.11123
world,1993,49.36262
world,1994,49.62704
world,1995,49.83424
world,1996,50.26115
world,1997,50.58122
world,1998,51.44856
world,1999,52.37629
world,2000,51.62715
world,2001,52.0973
world,2002,52.06471
world,2003,52.35223
world,2004,52.26928
world,2005,52.33192
world,2006,51.95528
world,2007,51.55877
world,2008,51.60222
world,2009,51.95149
world,2010,52.0943
world,2011,52.46623
world,2012,52.51001
world,2013,53.19629
world,2014,53.09305
world,2015,53.20889
world,2016,53.21239
world,2017,53.83225
world,2018,54.04634
world,2019,54.25936
