global,time,se_sec_enrl_tc_zs
world,1970,15.92385
world,1971,16.24282
world,1972,16.45203
world,1973,16.49009
world,1974,16.37319
world,1975,16.47001
world,1976,16.72747
world,1977,16.98142
world,1978,17.15189
world,1979,16.96355
world,1980,16.82469
world,1981,16.70502
world,1982,16.57014
world,1983,16.56853
world,1984,16.6426
world,1985,16.78841
world,1986,16.7685
world,1987,16.69962
world,1988,16.55048
world,1989,16.37279
world,1990,16.18552
world,1991,16.21533
world,1992,16.36444
world,1993,16.50831
world,1994,16.66528
world,1995,16.93109
world,1996,17.09329
world,1997,17.34921
world,1998,17.52516
world,1999,17.54265
world,2000,17.74911
world,2001,18.1802
world,2002,18.17396
world,2003,18.09076
world,2004,18.12423
world,2005,17.87212
world,2006,17.66707
world,2007,17.34902
world,2008,17.07093
world,2009,16.88514
world,2010,16.89097
world,2011,17.02516
world,2012,17.13973
world,2013,17.68115
world,2014,17.62001
world,2015,17.41341
world,2016,17.09064
world,2017,16.94278
world,2018,16.9982
