geo,time,sl_tlf_0714_wk_zs
afg,2011,50
ago,2001,26.6
alb,2000,43.13078
alb,2005,6.7
alb,2010,5.1
arg,2004,4.8
arg,2012,4.75294
arm,2010,0
aze,2000,4.17537
aze,2005,6.3
bdi,2000,48.31579
bdi,2005,38.9
bdi,2010,18.3
ben,2006,36.1
ben,2012,32.4
bfa,2003,98.1
bfa,2006,67.7
bfa,2010,56.83331
bgd,2003,63.29408
bgd,2006,37.8
bgd,2013,58.07367
bih,2000,3.9604
bih,2006,0.1
blr,2005,0
blr,2012,0
bol,2002,15.2
bol,2005,8.1
bol,2008,5.2
bol,2009,7.2
bol,2013,7.39149
bol,2015,6.72
bra,2004,7.2
bra,2007,6.6
bra,2008,4.8
bra,2009,5.2
bra,2011,3.59368
bra,2013,4.99571
bra,2014,4.45564
bra,2015,4.04
caf,2000,54.92537
caf,2010,24.81334
chl,2003,3.2
chl,2012,0.9
civ,2000,46.43735
civ,2006,46.8
civ,2012,41.15274
cmr,2001,52.49441
cmr,2007,21.9
cmr,2011,15
cod,2000,35.7
cod,2007,28.7
cod,2010,20.71858
cod,2014,10.52055
cog,2005,9.86
cog,2012,5
col,2005,32.8
col,2007,24.8
col,2009,14.61
col,2012,17.5
col,2014,11.15534
col,2015,13.36
cri,2004,44.6
cri,2011,19.02484
cri,2016,14.7
dom,2002,11.4
dom,2005,6.2
dom,2009,4.8
dom,2012,11.1326
dom,2014,4.79812
dza,2013,4.50865
ecu,2004,27
ecu,2005,21
ecu,2006,21
ecu,2009,25.5
ecu,2011,24.18064
ecu,2015,8.21681
egy,2005,21
egy,2009,55
eth,2005,69.4
eth,2011,35.1221
gab,2012,2.91273
geo,2006,1
gha,2003,71.2
gha,2006,18.7
gha,2012,11.98304
gin,1994,98.6
gin,2010,45.4
gin,2012,49.5
gmb,2000,41.60541
gmb,2005,32.1
gmb,2008,25.6
gmb,2015,56.63158
gnb,2000,63.7
gnb,2006,36.4
gnb,2014,24.21284
gtm,2003,33.8
gtm,2004,31.3
gtm,2006,28.4
gtm,2012,23.93864
gtm,2014,25.62519
gtm,2015,38.97101
hnd,2004,48.6
hnd,2007,45.1
hnd,2011,55.5
hnd,2013,52.6
hnd,2014,41.75336
hti,2006,17.7
hti,2012,7.62211
idn,2000,24.94929
idn,2009,11
idn,2010,44.4
ind,2000,89.8
ind,2005,84.9
ind,2006,32.8
