global,time,tm_tax_mrch_sm_fn_zs
world,1988,13.5
world,1989,24.95
world,1990,22.63
world,1991,15.61
world,1992,16.42
world,1993,16.46
world,1994,19.33
world,1995,15.36
world,1996,12.43
world,1997,12.26
world,1998,12.66
world,1999,13.13
world,2000,12.7
world,2001,11.44
world,2002,11.74
world,2003,10.85
world,2004,10.28
world,2005,10.53
world,2006,10.12
world,2007,9.82
world,2008,9.88
world,2009,9.79
world,2010,9.67
world,2011,9.67
world,2012,9.22
world,2013,9.36
world,2014,9.14
world,2015,9.33
world,2016,9.25
world,2017,8.9
