geo,time,sp_pop_6569_fe_5y
lbr,1967,1.35136
lbr,1968,1.34188
lbr,1969,1.33709
lbr,1970,1.33683
lbr,1971,1.32473
lbr,1972,1.31707
lbr,1973,1.31437
lbr,1974,1.31751
lbr,1975,1.32653
lbr,1976,1.32556
lbr,1977,1.33114
lbr,1978,1.34136
lbr,1979,1.35295
lbr,1980,1.36447
lbr,1981,1.36123
lbr,1982,1.35808
lbr,1983,1.35921
lbr,1984,1.36971
lbr,1985,1.39285
lbr,1986,1.40934
lbr,1987,1.43151
lbr,1988,1.45742
lbr,1989,1.48248
lbr,1990,1.5043
lbr,1991,1.51711
lbr,1992,1.52989
lbr,1993,1.54215
lbr,1994,1.55128
lbr,1995,1.55303
lbr,1996,1.54142
lbr,1997,1.53505
lbr,1998,1.53416
lbr,1999,1.54195
lbr,2000,1.56093
lbr,2001,1.55084
lbr,2002,1.54608
lbr,2003,1.54664
lbr,2004,1.55082
lbr,2005,1.55625
lbr,2006,1.55122
lbr,2007,1.5537
lbr,2008,1.55589
lbr,2009,1.54913
lbr,2010,1.53096
lbr,2011,1.48676
lbr,2012,1.4341
lbr,2013,1.38658
lbr,2014,1.36108
lbr,2015,1.36445
lbr,2016,1.38009
lbr,2017,1.41662
lbr,2018,1.46407
lbr,2019,1.50957
lbr,2020,1.54699
lby,1960,1.57582
lby,1961,1.53957
lby,1962,1.49908
lby,1963,1.46022
lby,1964,1.42985
lby,1965,1.40951
lby,1966,1.38472
lby,1967,1.36677
