geo,time,sl_emp_1524_sp_fe_zs
afg,1991,10.678
afg,1992,10.672
afg,1993,10.668
afg,1994,10.629
afg,1995,10.543
afg,1996,10.419
afg,1997,10.317
afg,1998,10.228
afg,1999,10.189
afg,2000,10.179
afg,2001,10.403
afg,2002,10.582
afg,2003,10.876
afg,2004,11.162
afg,2005,11.347
afg,2006,11.108
afg,2007,10.81
afg,2008,10.639
afg,2009,10.473
afg,2010,10.455
afg,2011,10.895
afg,2012,11.319
afg,2013,12.103
afg,2014,12.905
afg,2015,13.734
afg,2016,14.572
afg,2017,15.439
afg,2018,15.766
afg,2019,16.059
afg,2020,12.64
ago,1991,54.476
ago,1992,54.563
ago,1993,54.495
ago,1994,54.586
ago,1995,54.661
ago,1996,54.761
ago,1997,54.766
ago,1998,54.72
ago,1999,54.638
ago,2000,54.559
ago,2001,54.592
ago,2002,54.655
ago,2003,54.624
ago,2004,54.648
ago,2005,54.681
ago,2006,54.788
ago,2007,54.895
ago,2008,54.967
ago,2009,54.97
ago,2010,46.222
ago,2011,47.63
ago,2012,47.676
ago,2013,47.645
ago,2014,47.605
ago,2015,47.518
ago,2016,47.436
ago,2017,47.362
ago,2018,47.241
ago,2019,47.118
ago,2020,45.419
alb,1991,44.924
alb,1992,31.927
alb,1993,34.573
alb,1994,37.056
alb,1995,39.54
alb,1996,39.494
alb,1997,38.38
alb,1998,34.644
alb,1999,33.155
alb,2000,33.86
alb,2001,32.794
alb,2002,32.843
alb,2003,31.351
alb,2004,29.706
alb,2005,27.815
alb,2006,25.866
alb,2007,23.628
alb,2008,21.153
alb,2009,20.765
alb,2010,18.158
alb,2011,28.891
alb,2012,21.278
alb,2013,13.61
alb,2014,13.643
alb,2015,13.629
alb,2016,17.352
alb,2017,18.306
alb,2018,20.401
alb,2019,21.97
alb,2020,18.872
are,1991,21.073
are,1992,21.331
are,1993,21.524
are,1994,21.375
are,1995,21.173
are,1996,21.537
are,1997,21.959
are,1998,22.414
are,1999,22.93
are,2000,23.501
are,2001,23.576
are,2002,23.788
are,2003,24.008
are,2004,24.119
are,2005,24.092
are,2006,24.185
are,2007,24.44
are,2008,24.866
are,2009,25.419
are,2010,26.222
are,2011,26.97
are,2012,27.743
are,2013,28.584
are,2014,29.462
are,2015,30.353
are,2016,30.742
are,2017,29.446
are,2018,27.375
are,2019,27.176
are,2020,23.774
arg,1991,34.406
arg,1992,33.728
arg,1993,29.033
arg,1994,27.958
arg,1995,21.049
arg,1996,23.351
arg,1997,24.734
arg,1998,27.869
arg,1999,26.823
arg,2000,25.696
arg,2001,24.825
arg,2002,23.211
arg,2003,24.118
arg,2004,25.876
arg,2005,25.517
arg,2006,27.098
arg,2007,27.674
arg,2008,27.229
arg,2009,25.722
arg,2010,24.91
arg,2011,25.058
arg,2012,24.271
arg,2013,23.736
arg,2014,23.49
arg,2015,23.293
arg,2016,22.867
arg,2017,22.659
arg,2018,23.462
arg,2019,23.046
arg,2020,17.863
arm,1991,26.553
arm,1992,26.419
arm,1993,24.711
arm,1994,24.405
arm,1995,23.934
arm,1996,22.49
arm,1997,21.855
arm,1998,23.116
arm,1999,22.694
arm,2000,23.002
arm,2001,23.29
arm,2002,23.569
arm,2003,23.851
arm,2004,24.14
arm,2005,24.391
arm,2006,24.646
arm,2007,24.882
arm,2008,19.381
arm,2009,15.402
arm,2010,15.07
arm,2011,17.498
arm,2012,19.242
arm,2013,19.246
arm,2014,18.547
arm,2015,22.704
arm,2016,16.567
arm,2017,18.216
arm,2018,19.161
arm,2019,23.684
arm,2020,19.513
aus,1991,55.819
aus,1992,54.753
aus,1993,54.385
aus,1994,57.036
aus,1995,59.211
aus,1996,59.152
aus,1997,57.602
aus,1998,58.44
aus,1999,59.508
aus,2000,60.781
aus,2001,60.589
aus,2002,60.214
aus,2003,61.216
aus,2004,61.556
aus,2005,62.366
aus,2006,62.876
aus,2007,63.208
aus,2008,63.463
aus,2009,60.695
aus,2010,59.691
aus,2011,60.175
aus,2012,59.46
aus,2013,58.734
aus,2014,57.983
aus,2015,58.766
aus,2016,58.799
aus,2017,58.733
aus,2018,60.317
aus,2019,60.764
aus,2020,57.73
aut,1991,58.547
aut,1992,59.298
aut,1993,55.689
aut,1994,56.041
aut,1995,55.184
aut,1996,52.631
aut,1997,51.306
aut,1998,51.177
aut,1999,50.582
aut,2000,48.471
aut,2001,47.116
aut,2002,47.557
aut,2003,46.288
aut,2004,45.015
aut,2005,48.433
aut,2006,48.704
aut,2007,50.539
aut,2008,51.262
aut,2009,50.447
aut,2010,48.84
aut,2011,49.721
aut,2012,50.163
aut,2013,49.679
aut,2014,49.797
aut,2015,48.651
aut,2016,48.976
aut,2017,48.971
aut,2018,48.668
aut,2019,48.311
aut,2020,47.676
aze,1991,48.516
aze,1992,50.508
aze,1993,50.26
aze,1994,50.38
aze,1995,50.57
aze,1996,49.418
