geo,time,sl_tlf_acti_1524_ne_zs
abw,1991,48.01
abw,2007,44.73
afg,1979,48.34
afg,2008,54.87
afg,2012,38.77
afg,2014,48.46
afg,2017,39.26
afg,2020,33.96
ago,1960,47.8
ago,2004,47.24
ago,2009,42.36
ago,2010,57.24
ago,2011,57.63
ago,2014,26.1
alb,2002,50.16
alb,2007,30.15
alb,2008,33.07
alb,2009,34.63
alb,2010,33.64
alb,2011,44.1
alb,2012,36.21
alb,2013,27.57
alb,2014,28.96
alb,2015,31.3
alb,2016,31.65
alb,2017,31.61
alb,2018,35.69
alb,2019,36.59
and,2006,58.03
and,2007,52.85
and,2008,46.14
are,1975,65.86
are,2005,49.8
are,2008,44.77
are,2017,52.83
are,2018,54.62
are,2019,49.36
are,2020,39.84
arg,1960,58.42
arg,1970,55.1
arg,1977,52.6
arg,1978,52.04
arg,1979,51.47
arg,1980,51.36
arg,1983,57.45
arg,1985,54.22
arg,1987,53.93
arg,1989,53.84
arg,1990,54.2
arg,1991,48.08
arg,1992,52.7
arg,1993,53.1
arg,1994,54.1
arg,1995,52.26
arg,1996,55.7
arg,1997,53.1
arg,1998,50
arg,1999,49.4
arg,2004,47.27
arg,2005,45.26
arg,2006,45.5
arg,2007,44.6
arg,2008,42.55
arg,2009,42.39
arg,2010,41.05
arg,2011,40.92
arg,2012,40.52
arg,2013,40.1
arg,2014,38.6
arg,2017,38.96
arg,2018,39.41
arg,2019,39
arg,2020,33.1
arm,1997,27.25
arm,2007,22.3
arm,2008,33.26
arm,2011,39.4
arm,2012,32.61
arm,2013,39.68
arm,2014,37.57
arm,2015,39.47
arm,2016,34.65
arm,2017,35.12
arm,2018,35.62
arm,2019,37.46
arm,2020,32.66
asm,1960,39.36
asm,1974,27.9
asm,1980,23.28
asm,1990,30.77
atg,1970,62.71
atg,2001,51.01
aus,1961,70.14
aus,1966,69.84
aus,1971,63.98
aus,1976,64.68
aus,1979,70.47
aus,1980,72.18
aus,1981,72.16
aus,1982,71.75
aus,1983,71.29
aus,1984,71.02
aus,1985,71.22
aus,1986,72.01
aus,1987,71.29
aus,1988,71.04
aus,1989,72.09
aus,1990,72.1
aus,1991,69.66
aus,1992,69.39
aus,1993,68.73
aus,1994,70.58
aus,1995,71.64
aus,1996,71.66
aus,1997,70.06
aus,1998,69.87
aus,1999,69.92
aus,2000,70.18
aus,2001,70.67
aus,2002,69.98
aus,2003,70.22
aus,2004,70.14
aus,2005,70.81
aus,2006,70.8
aus,2007,70.76
aus,2008,70.75
aus,2009,69.1
aus,2010,68.43
aus,2011,68.14
aus,2012,67.52
aus,2013,66.82
aus,2014,66.56
aus,2015,67.26
aus,2016,66.79
aus,2017,66.89
aus,2018,67.84
aus,2019,68.12
aus,2020,66.23
aus,2021,68.56
aut,1961,80.31
aut,1971,70.59
aut,1980,59.11
aut,1981,68.55
aut,1982,60.78
aut,1983,61.57
aut,1984,64.42
aut,1985,63.42
aut,1986,64.09
aut,1987,65.68
aut,1988,64.44
aut,1989,63.58
aut,1990,63.21
aut,1991,63.61
aut,1992,64.36
aut,1993,61.71
aut,1994,62.25
aut,1995,61.74
aut,1996,59.62
aut,1997,58.41
aut,1998,58.55
aut,1999,58.37
aut,2000,56.07
aut,2001,54.68
aut,2002,55.74
aut,2003,54.71
aut,2004,55.65
aut,2005,58
aut,2006,57.93
aut,2007,59.42
aut,2008,59.52
aut,2009,59.5
aut,2010,58.28
aut,2011,59.2
aut,2012,59.24
aut,2013,58.77
aut,2014,58.03
aut,2015,57.43
aut,2016,57.47
aut,2017,56.09
aut,2018,56.65
aut,2019,56.42
aut,2020,56.13
aze,1999,51.37
aze,2007,40.38
aze,2008,36.86
aze,2009,35.39
aze,2010,33.36
aze,2011,33.16
bdi,1979,91.47
bdi,1986,78.16
bdi,1990,81.63
bdi,1998,70.68
bdi,2008,49.76
bdi,2014,52.9
bel,1961,57.16
bel,1970,55.1
bel,1981,22.19
bel,1983,43.87
bel,1984,42.24
bel,1985,42.33
bel,1986,42.72
bel,1987,41.5
bel,1988,37.68
bel,1989,35.99
bel,1990,35.54
bel,1991,36.48
bel,1992,36.21
bel,1993,34.41
bel,1994,35.19
bel,1995,33.88
bel,1996,32.77
bel,1997,32.03
bel,1998,32.63
bel,1999,32.87
bel,2000,35.73
bel,2001,33.61
bel,2002,33.83
bel,2003,33.51
bel,2004,34.03
bel,2005,35.02
bel,2006,34.7
bel,2007,33.87
bel,2008,33.4
bel,2009,32.44
bel,2010,32.51
bel,2011,31.98
bel,2012,31.48
bel,2013,30.99
bel,2014,30.19
bel,2015,30
bel,2016,28.46
bel,2017,28.08
bel,2018,29.63
