geo,time,fd_res_liqu_as_zs
afg,2006,18.90995
afg,2007,17.0167
afg,2008,33.51617
afg,2009,37.01699
afg,2010,34.65873
afg,2011,67.45983
afg,2012,65.7157
afg,2013,60.06362
afg,2014,73.75483
afg,2015,70.70656
afg,2016,83.07986
afg,2017,97.84894
afg,2018,70.76264
afg,2019,69.57863
afg,2020,86.88747
ago,2001,24.00029
ago,2002,19.71411
ago,2003,23.61715
ago,2004,28.42941
ago,2005,41.7926
ago,2006,36.4549
ago,2007,47.76457
ago,2008,37.06525
ago,2009,37.44774
ago,2010,48.55613
ago,2011,38.5106
ago,2012,32.96018
ago,2013,32.03529
ago,2014,35.24616
ago,2015,34.28316
ago,2016,31.20286
ago,2017,32.13956
ago,2018,28.20637
ago,2019,32.04525
ago,2020,35.07119
ago,2021,55.71814
alb,2001,28.1797
alb,2002,26.52431
alb,2003,28.0545
alb,2004,27.45911
alb,2005,23.69499
alb,2006,21.15082
alb,2007,18.23749
alb,2008,15.88085
alb,2009,14.39433
alb,2010,14.56793
alb,2011,13.47817
alb,2012,13.41164
alb,2013,13.89347
alb,2014,13.61331
alb,2015,18.08361
alb,2016,18.05108
alb,2017,17.36725
alb,2018,17.82858
alb,2019,15.21553
alb,2020,19.68037
alb,2021,18.42991
are,2001,11.71465
are,2002,9.56631
are,2003,9.69532
are,2004,11.08861
are,2005,9.46435
are,2006,9.46691
are,2007,28.94279
are,2008,9.73045
are,2009,12.60847
are,2010,13.81359
are,2011,13.1586
are,2012,14.15066
are,2013,14.99695
are,2014,14.70276
are,2015,16.98741
are,2016,14.42939
are,2017,15.93934
are,2018,14.81545
are,2019,15.22725
are,2020,14.60885
are,2021,12.36818
arm,2001,9.44767
arm,2002,12.74888
arm,2003,12.2471
arm,2004,12.7916
arm,2005,29.09506
arm,2006,35.29524
arm,2007,28.28658
arm,2008,16.74265
arm,2009,23.6809
arm,2010,17.1479
arm,2011,20.43296
arm,2012,16.8323
arm,2013,24.18449
arm,2014,20.47433
arm,2015,22.0048
arm,2016,22.3179
arm,2017,19.71895
arm,2018,19.56427
arm,2019,18.81383
arm,2020,18.27876
arm,2021,24.47826
atg,2001,9.79763
atg,2002,7.85158
atg,2003,8.92719
atg,2004,9.5009
atg,2005,7.41442
atg,2006,8.05625
atg,2007,6.33104
atg,2008,6.07879
atg,2009,5.48248
atg,2010,7.43063
atg,2011,8.51925
atg,2012,10.11758
atg,2013,12.37865
atg,2014,16.54929
atg,2015,17.71407
atg,2016,17.37476
atg,2017,13.41152
atg,2018,13.63015
atg,2019,14.41137
atg,2020,13.20752
atg,2021,19.4871
aus,2001,1.19688
aus,2002,1.03082
aus,2003,0.84943
aus,2004,0.72892
aus,2005,0.75581
aus,2006,0.60877
aus,2007,0.92203
aus,2008,1.53622
aus,2009,0.68661
aus,2010,0.51021
aus,2011,0.49218
aus,2012,0.46627
aus,2013,1.21319
aus,2014,1.05794
