global,time,ag_lnd_frst_k2
world,1990,41282694.9
world,1991,41210027.5
world,1992,41137360.5
world,1993,41064693.4
world,1994,40992025.9
world,1995,40919358.7
world,1996,40846691.3
world,1997,40774024.2
world,1998,40701356.7
world,1999,40628689.7
world,2000,40556022.3
world,2001,40510303.3
world,2002,40464584.1
world,2003,40418865.2
world,2004,40373146
world,2005,40327427
world,2006,40293287.6
world,2007,40259147.7
world,2008,40225008.7
world,2009,40190869.1
world,2010,40156729.7
world,2011,40123639.2
world,2012,40090560.5
world,2013,40057482
world,2014,40024403.3
world,2015,39991324.6
world,2016,39958245.9
