global,time,sh_sta_owgh_me_zs
world,2000,5.40509
world,2001,5.51816
world,2002,5.60344
world,2003,5.65646
world,2004,5.6805
world,2005,5.67712
world,2006,5.65296
world,2007,5.6261
world,2008,5.60515
world,2009,5.59227
world,2010,5.58871
world,2011,5.5899
world,2012,5.59052
world,2013,5.59441
world,2014,5.60074
world,2015,5.60156
world,2016,5.61527
world,2017,5.64271
world,2018,5.67191
world,2019,5.70405
world,2020,5.73385
