geo,time,ic_tax_prft_cp_zs
afg,2005,0
afg,2006,0
afg,2007,0
afg,2008,0
afg,2009,0
afg,2010,0
afg,2011,0
afg,2012,0
afg,2013,0
afg,2014,0
afg,2015,0
afg,2016,0
afg,2017,0
afg,2018,0
afg,2019,0
ago,2005,25.2
ago,2006,25.2
ago,2007,25.2
ago,2008,25.2
ago,2009,25.2
ago,2010,25.2
ago,2011,25.2
ago,2012,25.2
ago,2013,25.3
ago,2014,25.3
ago,2015,21.7
ago,2016,20.4
ago,2017,21.5
ago,2018,21.5
ago,2019,21.5
alb,2005,20.1
alb,2006,18.5
alb,2007,17.8
alb,2008,16.8
alb,2009,8.1
alb,2010,8.5
alb,2011,8.8
alb,2012,8.7
alb,2013,9.4
alb,2014,9.5
alb,2015,14.1
alb,2016,14.1
alb,2017,14
alb,2018,14
alb,2019,14.1
are,2005,0
are,2006,0
are,2007,0
are,2008,0
are,2009,0
are,2010,0
are,2011,0
are,2012,0
are,2013,0
are,2014,0
are,2015,0
are,2016,0
are,2017,0
are,2018,0
are,2019,0
arg,2005,3.2
arg,2006,3.2
arg,2007,3.2
arg,2008,3.2
arg,2009,3.2
arg,2010,3.2
arg,2011,3.2
arg,2012,3.1
arg,2013,0
arg,2014,0
arg,2015,0
arg,2016,3.9
arg,2017,3.9
arg,2018,3.9
arg,2019,3.6
arm,2005,15.8
arm,2006,15.8
arm,2007,14.8
arm,2008,14.8
arm,2009,14.8
arm,2010,14.8
arm,2011,14.9
arm,2012,14.9
arm,2013,15.7
arm,2014,19.3
arm,2015,19.1
arm,2016,17.6
arm,2017,17.6
arm,2018,17.6
arm,2019,21.8
atg,2005,36.7
atg,2006,32.8
atg,2007,31.4
atg,2008,31.4
atg,2009,26.2
atg,2010,26.2
atg,2011,26.2
atg,2012,26.2
atg,2013,26.2
atg,2014,26
atg,2015,25.9
atg,2016,25.9
atg,2017,25.9
atg,2018,25.6
atg,2019,25.5
aus,2005,26.3
aus,2006,26.7
aus,2007,27.2
aus,2008,27.4
aus,2009,25.9
aus,2010,26
aus,2011,26.1
aus,2012,26.1
aus,2013,26.1
aus,2014,26.1
aus,2015,26
aus,2016,26
aus,2017,26
aus,2018,26
aus,2019,26.1
aut,2005,21.2
aut,2006,16
aut,2007,16
aut,2008,16
aut,2009,16.4
aut,2010,16.1
aut,2011,15.4
aut,2012,17
aut,2013,17.1
aut,2014,16.8
aut,2015,16.8
aut,2016,16.9
aut,2017,17
aut,2018,17.1
aut,2019,17.1
aze,2005,13.7
aze,2006,15.1
aze,2007,13.8
aze,2008,13.8
aze,2009,13.8
aze,2010,13.8
aze,2011,12.9
aze,2012,12.9
aze,2013,12.9
aze,2014,12.9
aze,2015,12.9
aze,2016,13
aze,2017,13
aze,2018,13.8
aze,2019,12.7
bdi,2005,18.7
bdi,2006,18.7
bdi,2007,18.7
bdi,2008,18.7
bdi,2009,18.7
bdi,2010,18.7
bdi,2011,33.1
bdi,2012,33.1
bdi,2013,33.8
bdi,2014,28.9
bdi,2015,28.9
bdi,2016,28.9
bdi,2017,28.4
bdi,2018,28.5
bdi,2019,28.5
bel,2005,9.8
bel,2006,9.8
bel,2007,7.9
bel,2008,6
