geo,time,ne_gdi_fprv_zs
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,1992,0
ago,2000,22.00926
ago,2001,24.14185
ago,2006,14.2597
ago,2007,14.54307
ago,2008,15.78365
ago,2009,34.23928
ago,2010,19.72838
ago,2011,19.12531
ago,2012,19.90127
ago,2013,14.5396
ago,2014,15.80001
ago,2015,24.1316
ago,2016,22.38115
ago,2017,16.76778
ago,2018,16.19906
are,2001,12.12256
are,2002,12.24523
are,2003,11.98321
are,2004,10.50375
are,2005,11.19207
are,2006,10.73569
are,2007,16.5427
are,2008,13.48768
are,2009,15.96594
are,2010,14.78822
are,2011,12.8418
are,2012,12.47893
are,2013,9.8885
are,2014,10.48922
are,2015,12.322
are,2016,13.02052
are,2017,9.62109
are,2018,8.03303
asm,2002,4.49219
asm,2003,4.77099
asm,2004,5.69745
asm,2005,7
asm,2006,8.11359
asm,2007,7.91506
asm,2008,8.39286
asm,2009,5.77778
asm,2010,8.726
asm,2011,9.12281
asm,2012,8.4375
asm,2013,10.34483
asm,2014,11.19751
asm,2015,8.32095
asm,2016,7.89866
asm,2017,8.82353
asm,2018,8.76369
asm,2019,7.09877
asm,2020,7.61636
aus,1960,26.46563
aus,1961,26.38976
aus,1962,25.83619
aus,1963,25.65382
aus,1964,25.83286
aus,1965,26.70403
aus,1966,26.93869
aus,1967,26.05945
aus,1968,27.0496
aus,1969,26.38215
aus,1970,27.08209
aus,1971,26.31318
aus,1972,25.74962
aus,1973,24.74965
aus,1974,24.49896
aus,1975,21.1134
aus,1976,21.25646
aus,1977,21.34336
aus,1978,22.02504
aus,1979,22.75968
aus,1980,22.82739
aus,1981,25.00361
aus,1982,25.75646
aus,1983,23.0498
aus,1984,22.22991
aus,1985,23.05003
aus,1986,24.0294
aus,1987,23.84722
aus,1988,24.35421
aus,1989,25.6035
aus,1990,24.41537
aus,1991,21.28371
aus,1992,19.55782
aus,1993,20.10769
aus,1994,20.73731
aus,1995,21.9326
aus,1996,21.17979
aus,1997,21.07551
aus,1998,22.38733
aus,1999,22.52627
aus,2000,22.96312
aus,2001,20.22198
aus,2002,21.34972
aus,2003,23.20033
aus,2004,23.93945
aus,2005,24.19194
aus,2006,24.84836
aus,2007,24.45023
aus,2008,25.02815
aus,2009,24.23973
aus,2010,22.82551
aus,2011,22.23369
aus,2012,23.7599
aus,2013,24.57509
aus,2014,23.68454
aus,2015,23.07488
aus,2016,22.1086
aus,2017,20.43518
aus,2018,20.62334
aus,2019,19.43554
aus,2020,18.6574
aze,1993,18.79713
aze,1994,25.65717
aze,1995,12.47291
aze,1996,28.33272
aze,1997,35.597
aze,1998,33.6803
aze,1999,24.84135
aze,2000,20.11425
aze,2001,20.78821
aze,2002,29.44128
aze,2003,48.64417
aze,2004,54.06564
aze,2005,37.49727
aze,2006,21.52456
aze,2007,11.7706
bdi,2005,16.4
bdi,2006,12.1
bdi,2007,9.3
bdi,2008,7.7
bdi,2009,11.2
bdi,2010,8.59999
bdi,2011,8.09999
bdi,2012,8.89999
bdi,2013,8.19999
bdi,2014,9.5
bdi,2015,9.42724
bdi,2016,7.25428
bdi,2017,6.76918
bdi,2018,8.68287
bdi,2019,8.89192
bdi,2020,9.42599
ben,1987,8.68895
ben,1988,10.65092
ben,1989,7.95002
ben,1990,8.56469
ben,1991,9.28908
ben,1992,9.87621
ben,1993,9.63872
ben,1994,10.10857
ben,1995,11.0919
ben,1996,10.23844
ben,1997,12.09732
ben,1998,12.55626
ben,1999,16.16099
ben,2000,12.96818
ben,2001,14.30946
ben,2002,13.01442
ben,2003,13.24066
ben,2004,12.24362
ben,2005,11.10337
ben,2006,10.68663
ben,2007,11.19264
ben,2008,11.13622
ben,2009,11.92179
ben,2010,12.70772
ben,2011,13.3678
ben,2012,11.879
ben,2013,16.04809
ben,2014,17.54757
ben,2015,16.23211
ben,2016,15.42433
ben,2017,19.18694
ben,2018,21.78509
ben,2019,21.25499
ben,2020,20.57461
bfa,1985,9.9011
bfa,1986,9.65902
bfa,1987,11.15782
bfa,1988,10.74425
bfa,1989,10.8648
bfa,1990,9.69948
bfa,1991,10.93374
bfa,1992,10.74859
bfa,1993,10.75068
bfa,1994,13.78443
