geo,time,er_ptd_totl_zs
abw,2016,0.52798
abw,2017,0.14116
abw,2018,0.14116
abw,2019,0.14116
abw,2020,0.14116
abw,2021,0.14116
afg,2016,0.10471
afg,2017,0.10471
afg,2018,0.10471
afg,2019,0.10471
afg,2020,3.63726
afg,2021,3.63726
ago,2016,5.00471
ago,2017,5.00471
ago,2018,5.00471
ago,2019,5.00471
ago,2020,5.00471
ago,2021,5.00471
alb,2016,13.14775
alb,2017,13.52568
alb,2018,13.52568
alb,2019,14.17393
alb,2020,14.17393
alb,2021,14.1752
and,2016,21.19093
and,2017,26.72772
and,2018,26.72772
and,2019,26.72772
and,2020,26.72772
and,2021,26.85727
are,2016,9.23567
are,2017,15.04389
are,2018,15.04389
are,2019,15.04389
are,2020,15.92367
are,2021,15.92367
arg,2016,7.52859
arg,2017,7.40513
arg,2018,7.40513
arg,2019,9.39316
arg,2020,9.39798
arg,2021,9.39798
arm,2016,23.109
arm,2017,23.1105
arm,2018,23.1105
arm,2019,24.3054
arm,2020,24.3054
arm,2021,24.3054
asm,2016,8.70852
asm,2017,8.71957
asm,2018,8.71957
asm,2019,8.71957
asm,2020,0.00264
asm,2021,8.72743
atg,2016,0.27169
atg,2017,0.25834
atg,2018,0.25834
atg,2019,0.25834
atg,2020,0.38602
atg,2021,0.382
aus,2016,28.59184
aus,2017,29.70879
aus,2018,29.70879
aus,2019,29.70879
aus,2020,30.39553
aus,2021,32.12041
aut,2016,28.44398
aut,2017,28.39798
aut,2018,28.39798
aut,2019,28.41688
aut,2020,29.09432
aut,2021,29.28333
aze,2016,5.51875
aze,2017,5.51916
aze,2018,5.51916
aze,2019,5.51915
aze,2020,5.51915
aze,2021,5.51915
bdi,2016,7.59255
bdi,2017,7.59147
bdi,2018,7.59147
bdi,2019,7.59147
bdi,2020,7.59147
bdi,2021,7.59147
bel,2016,24.57816
bel,2017,24.64917
bel,2018,24.64917
bel,2019,26.10539
bel,2020,17.57924
bel,2021,17.63766
ben,2016,28.87194
ben,2017,23.47191
ben,2018,23.47191
ben,2019,23.4567
ben,2020,23.45711
ben,2021,23.48777
bfa,2016,15.08482
bfa,2017,14.92288
bfa,2018,14.92288
bfa,2019,14.89044
bfa,2020,16.40168
bfa,2021,16.42637
bgd,2016,4.88868
bgd,2017,4.88865
bgd,2018,4.88865
bgd,2019,4.88856
bgd,2020,4.88856
bgd,2021,4.88856
bgr,2016,28.28713
bgr,2017,28.29699
bgr,2018,28.29699
bgr,2019,32.76484
bgr,2020,33.11164
bgr,2021,33.112
bhr,2016,1.69477
bhr,2017,1.68635
bhr,2018,1.68635
bhr,2019,1.6864
bhr,2020,1.6864
bhr,2021,1.6864
bhs,2016,1.24026
bhs,2017,8.55511
bhs,2018,8.55511
bhs,2019,8.5551
bhs,2020,8.5551
bhs,2021,8.5551
bih,2016,1.45241
bih,2017,1.39515
bih,2018,1.39515
bih,2019,1.39515
bih,2020,3.62585
bih,2021,3.97066
blr,2016,9.51126
blr,2017,9.35349
blr,2018,9.35349
