geo,time,er_lnd_ptld_zs
abw,2016,0.53
abw,2017,18.91758
abw,2018,18.91758
abw,2019,18.91758
abw,2020,18.91758
abw,2021,18.91758
afg,2016,0.1
afg,2017,0.10471
afg,2018,0.10471
afg,2019,0.10471
afg,2020,3.63726
afg,2021,3.63726
ago,2016,6.97
ago,2017,6.97143
ago,2018,6.97143
ago,2019,6.97143
ago,2020,6.97143
ago,2021,6.97143
alb,2016,17.21
alb,2017,17.7361
alb,2018,17.7361
alb,2019,18.58981
alb,2020,18.58981
alb,2021,18.59157
and,2016,21.19
and,2017,26.72772
and,2018,26.72772
and,2019,26.72772
and,2020,26.72772
and,2021,26.85727
are,2016,13.07
are,2017,17.95492
are,2018,17.95492
are,2019,17.95492
are,2020,19.35131
are,2021,19.35131
arg,2016,8.89
arg,2017,8.80825
arg,2018,8.80825
arg,2019,8.46977
arg,2020,8.4769
arg,2021,8.4769
arm,2016,23.11
arm,2017,23.1105
arm,2018,23.1105
arm,2019,24.3054
arm,2020,24.3054
arm,2021,24.3054
asm,2016,4.27
asm,2017,15.84774
asm,2018,15.84774
asm,2019,15.84774
asm,2020,0.84495
asm,2021,15.84787
atg,2016,19.33
atg,2017,18.56967
atg,2018,18.56967
atg,2019,18.56967
atg,2020,21.00285
atg,2021,19.93744
aus,2016,16.98
aus,2017,19.26562
aus,2018,19.26562
aus,2019,19.26562
aus,2020,20.33876
aus,2021,20.36292
aut,2016,28.44
aut,2017,28.39798
aut,2018,28.39798
aut,2019,28.41688
aut,2020,29.09432
aut,2021,29.28333
aze,2016,10.15
aze,2017,10.15513
aze,2018,10.15513
aze,2019,10.15513
aze,2020,10.15513
aze,2021,10.15513
bdi,2016,7.59
bdi,2017,7.59147
bdi,2018,7.59147
bdi,2019,7.59147
bdi,2020,7.59147
bdi,2021,7.59147
bel,2016,23.21
bel,2017,23.29334
bel,2018,23.29334
bel,2019,24.91416
bel,2020,15.42513
bel,2021,15.49014
ben,2016,28.87
ben,2017,29.62337
ben,2018,29.62337
ben,2019,29.60411
ben,2020,29.60462
ben,2021,29.64333
bfa,2016,15.08
bfa,2017,14.92288
bfa,2018,14.92288
bfa,2019,14.89044
bfa,2020,16.40168
bfa,2021,16.42637
bgd,2016,4.61
bgd,2017,4.60596
bgd,2018,4.60596
bgd,2019,4.60596
bgd,2020,4.60596
bgd,2021,4.60596
bgr,2016,34.69
bgr,2017,34.70358
bgr,2018,34.70358
bgr,2019,40.58717
bgr,2020,41.04409
bgr,2021,41.04456
bhr,2016,6.7
bhr,2017,6.62175
bhr,2018,6.62175
bhr,2019,6.62175
bhr,2020,6.62175
bhr,2021,6.62175
