geo,time,eg_elc_loss_zs
ago,1971,25.06739
ago,1972,25.05967
ago,1973,25
ago,1974,24.97966
ago,1975,24.98084
ago,1976,24.95726
ago,1977,24.95726
ago,1978,24.95726
ago,1979,25.07937
ago,1980,25.03704
ago,1981,25.03704
ago,1982,25
ago,1983,25.03193
ago,1984,25.07463
ago,1985,25.06203
ago,1986,25.06203
ago,1987,25.06173
ago,1988,25.03067
ago,1989,25.03053
ago,1990,25.08918
ago,1991,28.58672
ago,1992,28.51109
ago,1993,28.42105
ago,1994,28.37696
ago,1995,28.4375
ago,1996,28.40467
ago,1997,10.0349
ago,1998,14.56753
ago,1999,14.53184
ago,2000,14.60208
ago,2001,14.52991
ago,2002,14.61756
ago,2003,12.93233
ago,2004,26.43369
ago,2005,23.76167
ago,2006,11.79673
ago,2007,13.39758
ago,2008,10.00962
ago,2009,10.01056
ago,2010,11.5067
ago,2011,11.27234
ago,2012,11.26692
ago,2013,11.27069
ago,2014,11.26582
alb,1971,4.97959
alb,1972,4.62069
alb,1973,4.23032
alb,1974,3.84211
alb,1975,4.22472
alb,1976,4.62745
alb,1977,4.90435
alb,1978,4.77419
alb,1979,4.29197
alb,1980,4.33378
alb,1981,4.29333
alb,1982,4.27623
alb,1983,4.2328
alb,1984,4.30455
alb,1985,5.11598
alb,1986,3.17274
alb,1987,3.68601
alb,1988,4.34237
alb,1989,5.31167
alb,1990,51.18325
alb,1991,33.47302
alb,1992,41.57336
alb,1993,46.89714
alb,1994,46.76478
alb,1995,51.03957
alb,1996,48.26145
alb,1997,55.7192
alb,1998,62.41926
alb,1999,25.58482
alb,2000,27.2499
alb,2001,36.08579
alb,2002,27.50134
alb,2003,28.88622
alb,2004,11.45202
alb,2005,11.53775
alb,2006,45.05793
alb,2007,72.9021
alb,2008,38.53042
alb,2009,23.58708
alb,2010,12.65856
alb,2011,24.93438
alb,2012,23.68254
alb,2013,27.99253
alb,2014,23.68755
are,1971,6.89655
are,1972,6.85225
are,1973,6.80556
are,1974,6.90021
are,1975,6.94444
are,1976,7.0067
are,1977,7.00508
are,1978,6.98725
are,1979,6.99259
are,1980,6.99334
are,1981,7.0122
are,1982,7.01066
are,1983,7.00128
are,1984,7
are,1985,6.99167
are,1986,7.00016
are,1987,7.00007
are,1988,7.00135
are,1989,8.99949
are,1990,8.99883
are,1991,8.9966
are,1992,8.99995
are,1993,9.00138
are,1994,8.99899
are,1995,9.09855
are,1996,9.0998
are,1997,6.63732
are,1998,5.36955
are,1999,2.38108
are,2000,3.38224
are,2001,7.17595
are,2002,7.17518
are,2003,7.17492
are,2004,7.17515
are,2005,7.17487
are,2006,7.17559
are,2007,7.17552
are,2008,7.17598
are,2009,7.17653
are,2010,7.17604
are,2011,7.17593
are,2012,7.17641
are,2013,7.17648
are,2014,6.77348
arg,1971,10.15916
arg,1972,9.83166
arg,1973,9.75207
arg,1974,9.81753
arg,1975,11.05545
arg,1976,10.69963
arg,1977,11.264
arg,1978,11.7216
arg,1979,11.27494
arg,1980,12.6807
arg,1981,12.66253
arg,1982,12.85664
arg,1983,14.30365
arg,1984,13.96388
arg,1985,13.94897
arg,1986,16.68469
arg,1987,15.75549
arg,1988,14.02404
arg,1989,17.08341
arg,1990,18.31297
arg,1991,18.93404
arg,1992,20.39513
arg,1993,20.26601
arg,1994,17.92054
arg,1995,17.70201
arg,1996,17.52432
arg,1997,16.26324
arg,1998,15.16376
arg,1999,14.82844
arg,2000,14.83298
arg,2001,14.25623
arg,2002,17.1705
arg,2003,15.26567
arg,2004,15.41956
arg,2005,15.12546
arg,2006,15.11757
arg,2007,16.7174
arg,2008,13.38278
arg,2009,14.7475
arg,2010,13.42535
arg,2011,14.4348
arg,2012,13.5998
arg,2013,16.01835
arg,2014,14.65738
arm,1990,15.91392
arm,1991,17.4443
arm,1992,28.09862
arm,1993,37.96664
arm,1994,39.60764
arm,1995,39.47132
arm,1996,37.80174
arm,1997,20.6336
arm,1998,28.49297
arm,1999,25.13556
arm,2000,25.37764
arm,2001,26.14447
arm,2002,25.62058
arm,2003,22.54136
arm,2004,15.85406
arm,2005,15.84613
arm,2006,13.11227
arm,2007,13.14005
arm,2008,15.45927
arm,2009,14.8651
arm,2010,11.24634
arm,2011,12.16689
arm,2012,12.20757
arm,2013,12.30869
arm,2014,11.9871
aus,1960,12.53205
aus,1961,11.47541
aus,1962,11.93124
aus,1963,11.56795
aus,1964,11.28311
aus,1965,10.65419
aus,1966,10.45141
aus,1967,9.98381
aus,1968,10.79929
aus,1969,10.47208
aus,1970,9.04801
aus,1971,8.98671
aus,1972,8.48641
aus,1973,12.72764
aus,1974,10.31708
aus,1975,10.2869
aus,1976,10.53383
aus,1977,10.28647
aus,1978,10.02751
aus,1979,10.00849
aus,1980,9.62471
aus,1981,10.95218
aus,1982,8.02582
aus,1983,8.01482
aus,1984,7.32709
aus,1985,8.80495
aus,1986,7.4202
aus,1987,7.8108
aus,1988,7.23025
aus,1989,7.54817
aus,1990,6.158
aus,1991,6.08231
aus,1992,6.25731
aus,1993,6.07464
aus,1994,6.05136
aus,1995,6.1416
aus,1996,6.10126
aus,1997,5.96717
aus,1998,6.31272
aus,1999,6.89349
aus,2000,7.13796
aus,2001,8.09355
aus,2002,6.62421
aus,2003,6.5802
aus,2004,7.59948
aus,2005,6.7231
aus,2006,6.74567
aus,2007,6.01616
aus,2008,6.09323
aus,2009,5.91145
aus,2010,6.47731
aus,2011,6.51577
aus,2012,5.7987
aus,2013,5.3401
aus,2014,4.77959
aut,1960,8.24375
aut,1961,8.29519
aut,1962,8.10936
aut,1963,8.4197
aut,1964,7.66486
aut,1965,7.36317
aut,1966,6.97071
aut,1967,6.98359
aut,1968,7.38025
aut,1969,7.46925
aut,1970,7.03548
aut,1971,7.28317
aut,1972,7.55748
aut,1973,7.47833
aut,1974,6.82533
aut,1975,6.75579
aut,1976,6.7836
aut,1977,6.50182
aut,1978,6.69639
aut,1979,6.27908
aut,1980,6.31731
aut,1981,6.43138
aut,1982,6.26731
aut,1983,6.02783
aut,1984,6.26935
aut,1985,6.29601
aut,1986,6.39198
aut,1987,5.74988
aut,1988,5.86513
aut,1989,5.6332
aut,1990,5.90717
aut,1991,6.03017
aut,1992,5.83912
aut,1993,6.1708
aut,1994,5.86824
aut,1995,6.03139
aut,1996,6.05704
aut,1997,5.71967
aut,1998,5.97389
aut,1999,5.54276
aut,2000,5.33955
aut,2001,6.03927
aut,2002,5.21859
aut,2003,5.66811
aut,2004,5.52883
aut,2005,5.3251
aut,2006,5.10388
aut,2007,5.22174
aut,2008,5.00395
aut,2009,5.40141
aut,2010,4.93273
aut,2011,5.31057
aut,2012,4.88866
aut,2013,5.24864
aut,2014,5.32978
aze,1990,13.42865
aze,1991,11.15139
aze,1992,12.38678
aze,1993,16.87575
aze,1994,16.65813
aze,1995,14.33349
aze,1996,18.41166
aze,1997,20.5512
aze,1998,16.17402
aze,1999,15.3004
aze,2000,14.81363
aze,2001,13.49499
aze,2002,20.50158
aze,2003,20.87757
aze,2004,19.10412
aze,2005,17.62417
aze,2006,15.38117
aze,2007,15.70925
aze,2008,14.61442
aze,2009,21.72991
aze,2010,20.47034
aze,2011,19.57721
aze,2012,14.65112
aze,2013,14.04899
aze,2014,13.59997
bel,1960,5.01584
bel,1961,5.27793
bel,1962,5.16956
bel,1963,4.34829
bel,1964,4.16038
bel,1965,4.3531
bel,1966,4.76422
bel,1967,5.61395
bel,1968,5.50642
bel,1969,5.17401
bel,1970,5.33368
bel,1971,4.95833
bel,1972,4.97841
bel,1973,4.71254
bel,1974,4.80692
bel,1975,5.17664
bel,1976,4.84689
bel,1977,5.14839
