geo,time,fb_cbk_dptr_p3
afg,2008,36.4
afg,2009,87.49
afg,2010,105.89
afg,2011,139.44
afg,2012,166.11
afg,2013,155.78
afg,2014,172.81
afg,2015,181.09
afg,2016,182.15
afg,2017,166.17
afg,2018,174.3
afg,2019,183.29
alb,2016,1109.42
alb,2017,1093.84
alb,2018,1051.96
alb,2019,1094.85
alb,2020,1133.12
are,2014,886.35
are,2015,884.53
are,2016,1008.79
are,2017,1063.09
are,2018,1082.67
are,2019,1080.4
are,2020,1223.65
arg,2004,477.33
arg,2005,508.1
arg,2006,549.85
arg,2007,605.42
arg,2008,616.11
arg,2009,641.25
arg,2010,674.73
arg,2011,727.23
arg,2012,807.35
arg,2013,862.55
arg,2014,908.47
arg,2015,954.59
arg,2016,1067.05
arg,2017,1148.18
arg,2018,1214.37
arg,2019,1180.76
arg,2020,1357.19
aze,2005,93.22
aze,2006,143.84
aze,2007,194.3
aze,2008,262.53
aze,2009,303.95
aze,2010,360.86
aze,2011,401.75
aze,2012,465.09
aze,2013,542.1
aze,2014,625.71
bdi,2004,12.88
bdi,2005,16.44
bdi,2006,18.55
bdi,2007,19.15
bdi,2008,19.66
bdi,2009,22.52
bdi,2010,30.42
bdi,2011,34.49
bdi,2012,36.36
bdi,2013,28.78
bdi,2014,33.07
bdi,2015,33.07
ben,2004,46.71
ben,2005,60.25
ben,2006,59.99
ben,2007,52.51
ben,2008,77.37
ben,2009,95.19
ben,2010,110.92
ben,2011,124.02
ben,2012,134.04
ben,2013,148.54
ben,2014,162.25
ben,2015,168.26
ben,2016,182.62
ben,2017,205.05
ben,2018,237.05
ben,2019,289.32
ben,2020,322.97
bfa,2004,54.41
bfa,2005,108.45
bfa,2006,57.73
bfa,2007,61.5
bfa,2008,69.04
bfa,2009,71.01
bfa,2010,78.64
bfa,2011,90.51
bfa,2012,105.43
bfa,2013,112.24
bfa,2014,126.51
bfa,2015,141.17
bfa,2016,161.25
bfa,2017,174.16
bfa,2018,178.35
bfa,2019,181.79
bfa,2020,194.06
bgd,2004,255.65
bgd,2005,262.28
bgd,2006,266.91
bgd,2007,271.57
bgd,2008,277.09
bgd,2009,278.99
bgd,2010,334.17
bgd,2011,477.37
bgd,2012,547.78
bgd,2013,527
bgd,2014,535.32
bgd,2015,653.32
bgd,2016,696.01
bgd,2017,730.78
bgd,2018,788.38
bgd,2019,849.06
bgd,2020,903.43
bgr,2019,1571.84
bgr,2020,1374.26
blz,2004,571.94
blz,2005,761.46
blz,2006,839.14
blz,2007,937.83
blz,2008,1045.02
blz,2009,942.86
blz,2010,968.07
blz,2011,685.34
blz,2012,678.08
blz,2013,720.59
blz,2014,692.39
blz,2015,631.95
blz,2016,730.28
blz,2017,674.36
blz,2018,650.78
blz,2019,714.36
blz,2020,760.39
bra,2004,380.15
bra,2005,418.75
bra,2006,431.91
bra,2007,441.79
bra,2008,469.4
bra,2009,477.88
bra,2010,534.61
bra,2011,617.75
bra,2012,643.59
bra,2013,624.48
bra,2014,618.88
bra,2015,586.15
bra,2016,577.14
bra,2017,657.8
bra,2018,665.09
bra,2019,662.73
brn,2008,1334.69
brn,2009,1401.39
brn,2010,1455.22
brn,2011,1465.72
brn,2012,1901.5
brn,2013,1546.12
brn,2014,1631.55
brn,2015,1587.91
brn,2016,1557.66
brn,2017,1509.74
brn,2018,1505.44
brn,2019,1597.94
bwa,2004,361.71
bwa,2005,360.27
bwa,2006,353.65
bwa,2007,395.4
bwa,2008,442.09
bwa,2009,509.52
bwa,2010,510.3
bwa,2011,478.81
bwa,2012,591.97
bwa,2013,645.92
bwa,2014,671.53
bwa,2015,664.68
bwa,2016,636.29
bwa,2017,696.34
bwa,2018,750.35
bwa,2019,777.72
bwa,2020,815.31
caf,2009,22.7
caf,2011,36.91
caf,2012,39.02
caf,2013,63.64
caf,2014,43.15
caf,2015,53.48
caf,2016,56.24
caf,2017,53.62
chn,2006,6.52
chn,2007,7.36
chn,2008,8.16
chn,2009,9.11
chn,2010,10.35
chn,2011,11.82
chn,2012,13.3
chn,2013,15
chn,2014,17.05
chn,2015,19.33
chn,2016,22.25
chn,2017,25.55
chn,2018,29.18
chn,2019,33.21
chn,2020,36.45
civ,2004,75.56
civ,2005,78.33
civ,2006,71.03
civ,2007,72.5
civ,2008,80
civ,2009,101.87
civ,2010,127.11
civ,2011,213.78
civ,2012,178.79
civ,2013,181.87
civ,2014,198.63
civ,2015,188.55
civ,2016,211.68
civ,2017,262.77
civ,2018,259.95
civ,2019,262.31
civ,2020,298.13
cmr,2004,1.17
cmr,2008,46
cmr,2009,43.48
cmr,2010,53.41
cmr,2011,49.84
cmr,2012,52.69
cmr,2013,59.73
cmr,2014,66.57
cmr,2015,83.68
cmr,2016,87.39
cmr,2017,82.98
cmr,2018,132.49
cmr,2019,130.66
cmr,2020,118.92
cod,2004,0.47
cod,2005,0.78
cod,2006,1.53
cod,2007,2.92
cod,2008,4.85
cod,2009,11.89
cod,2010,12.01
cod,2011,16
cod,2012,26.65
cod,2013,33.91
cod,2014,44.56
cod,2015,48.88
cod,2016,36.8
cod,2017,38.8
cod,2018,44.61
cog,2004,14.59
cog,2005,20.62
cog,2006,20.68
cog,2007,38.64
cog,2008,41.58
cog,2009,49.05
cog,2010,54.76
cog,2011,65.17
cog,2012,88.91
cog,2013,91.81
cog,2014,117.26
cog,2015,137.35
cog,2016,137.84
cog,2017,153.79
col,2009,1069.21
col,2010,1036.72
col,2011,1098.5
col,2012,1165.67
col,2013,1216.5
col,2014,1297.39
col,2015,1375.52
col,2016,1400.59
col,2017,1487.4
col,2018,1549.14
col,2019,1649.75
col,2020,1803.51
com,2004,71.55
com,2005,62.17
com,2006,52.85
com,2007,46.01
com,2008,49.32
com,2009,62.72
com,2010,60.77
com,2011,80.28
com,2012,93.06
com,2013,106.11
com,2014,119.55
com,2015,124.32
com,2016,129.65
com,2017,126.66
com,2018,126.7
com,2019,138.21
com,2020,135.3
cpv,2004,922.16
cpv,2005,1103.22
cpv,2006,1178
cpv,2007,1271.75
cpv,2008,1398.97
cpv,2009,1234.88
cpv,2010,1457.43
cpv,2011,1554.47
cpv,2012,1643.61
cpv,2013,1704.89
cpv,2014,1770.8
cpv,2015,1856.75
cpv,2016,1847.25
cpv,2017,2054.48
cpv,2018,2122.37
cpv,2019,2187.07
cpv,2020,2007.52
cri,2004,642.4
cri,2005,712.75
cri,2006,721.43
cri,2007,1053.79
cri,2008,1014.05
cri,2009,950.15
cri,2010,973.56
cri,2011,987.93
cri,2012,988.93
cri,2013,993.03
cri,2014,1031.16
cri,2015,1091.4
cri,2016,1181.23
cri,2017,1247.89
cri,2018,1337.94
cri,2019,1447.46
cri,2020,1456.13
cyp,2015,864.82
cyp,2016,897.05
cyp,2017,1411.46
cyp,2018,1414.65
cyp,2019,1513.26
cyp,2020,1438.48
dji,2008,41.27
dji,2009,57.05
dji,2010,67.78
dji,2011,78.87
dji,2012,90.06
dji,2013,112.78
dji,2014,123.13
dji,2015,124.76
dji,2016,105.56
dji,2017,148.08
dji,2018,227.53
dji,2019,249.69
dji,2020,203.09
dom,2011,583.53
dom,2012,688.22
dom,2013,664.05
dom,2014,711.87
dom,2015,736.61
dom,2016,753.53
dom,2017,802.38
dom,2018,873.51
dom,2019,794.47
