geo,time,sl_emp_self_ma_zs
afg,1991,89.54
afg,1992,89.73
afg,1993,90.33
afg,1994,90.99
afg,1995,90.73
afg,1996,91.03
afg,1997,91.32
afg,1998,91.58
afg,1999,91.9
afg,2000,92.33
afg,2001,92.86
afg,2002,91.92
afg,2003,91.52
afg,2004,91.45
afg,2005,91
afg,2006,90.76
afg,2007,90.12
afg,2008,89.82
afg,2009,88.44
afg,2010,87.01
afg,2011,86.24
afg,2012,84.81
afg,2013,83.65
afg,2014,82.73
afg,2015,81.95
afg,2016,81.13
afg,2017,79.92
afg,2018,79.81
afg,2019,79.67
ago,1991,53.64
ago,1992,53.56
ago,1993,54.35
ago,1994,54.28
ago,1995,53.97
ago,1996,53.32
ago,1997,53.45
ago,1998,53.56
ago,1999,51.43
ago,2000,51.07
ago,2001,51.3
ago,2002,51.53
ago,2003,51.35
ago,2004,50.87
ago,2005,50.3
ago,2006,51.35
ago,2007,51.48
ago,2008,52.26
ago,2009,57.28
ago,2010,58.88
ago,2011,60.43
ago,2012,60.55
ago,2013,61.43
ago,2014,63.42
ago,2015,65.22
ago,2016,66.61
ago,2017,67.89
ago,2018,69.48
ago,2019,69.67
alb,1991,67.82
alb,1992,68.91
alb,1993,69.09
alb,1994,69.33
alb,1995,69.19
alb,1996,68.82
alb,1997,69.13
alb,1998,68.54
alb,1999,67.54
alb,2000,66.56
alb,2001,65.37
alb,2002,64.48
alb,2003,63.47
alb,2004,62.34
alb,2005,60.99
alb,2006,59.26
alb,2007,58.12
alb,2008,55.04
alb,2009,52.92
alb,2010,52.19
alb,2011,58
alb,2012,59.27
alb,2013,57.01
alb,2014,57.35
alb,2015,59.89
alb,2016,59.95
alb,2017,58.68
alb,2018,57.27
alb,2019,55.79
are,1991,3.19
are,1992,3.2
are,1993,3.22
are,1994,3.22
are,1995,3.22
are,1996,3.22
are,1997,3.2
are,1998,3.24
are,1999,3.25
are,2000,3.2
are,2001,3.24
are,2002,3.27
are,2003,3.28
are,2004,3.28
are,2005,3.3
are,2006,3.56
are,2007,3.99
are,2008,4.57
are,2009,4.41
are,2010,4.19
are,2011,3.97
are,2012,3.79
are,2013,3.64
are,2014,3.5
are,2015,3.39
are,2016,3.26
are,2017,3.67
are,2018,4.02
are,2019,4.8
arg,1991,30.48
arg,1992,31.42
arg,1993,32.82
arg,1994,31.06
arg,1995,32.11
arg,1996,31.58
arg,1997,30.48
