geo,time,fb_cbk_brwr_p3
afg,2008,3.35
afg,2009,3.95
afg,2010,3.78
afg,2011,3.64
afg,2012,4.1
afg,2013,3.73
afg,2014,2.99
afg,2015,2.92
afg,2016,3.01
afg,2017,3.14
afg,2018,3.43
afg,2019,3.02
ago,2013,13.92
ago,2014,15.89
ago,2015,16.79
ago,2016,18.17
ago,2017,22.76
ago,2018,20.06
ago,2020,49.78
alb,2004,14.26
alb,2005,32.36
alb,2006,65.3
alb,2007,76.2
alb,2008,106.75
alb,2009,105.49
alb,2010,126.26
alb,2011,138.17
alb,2012,151.38
alb,2013,145.87
alb,2014,154.13
alb,2015,148.1
alb,2016,159.08
alb,2017,140.25
alb,2018,141.38
alb,2019,141.41
alb,2020,152.55
are,2014,471.92
are,2015,488.08
are,2016,543.09
are,2017,541.59
are,2018,540.49
are,2019,494.18
are,2020,469.65
arg,2004,167.41
arg,2005,190.32
arg,2006,223.36
arg,2007,256.18
arg,2008,285.48
arg,2009,296.03
arg,2010,304.73
arg,2011,326.28
arg,2012,347.83
arg,2013,344.06
arg,2014,355.92
arg,2015,380.52
arg,2016,395.62
arg,2017,395.63
arg,2018,407.36
arg,2019,407.32
arg,2020,396.44
aze,2005,20.69
aze,2006,34.63
aze,2007,60.15
aze,2008,78.36
aze,2009,69.09
aze,2010,82.17
aze,2011,110.85
aze,2012,152.74
aze,2013,237.37
aze,2014,290.89
bdi,2004,2.41
bdi,2005,2.78
bdi,2006,3.35
bdi,2007,3.22
bdi,2008,3.29
bdi,2009,3.48
bdi,2010,5.38
bdi,2011,5.97
bdi,2012,10.59
bdi,2013,12.46
bdi,2014,12.75
bdi,2015,14.72
bel,2007,552.15
bel,2008,562.1
bel,2009,567.94
bel,2010,570.27
bel,2011,696.41
bel,2012,711.19
bel,2013,709.61
bel,2014,703.34
bel,2015,699.72
bel,2016,699.2
bel,2017,698.2
bel,2018,696.11
bel,2019,688.14
bel,2020,681.22
bfa,2020,37.27
bgd,2004,87.58
bgd,2005,90.09
bgd,2006,91.17
bgd,2007,87.15
bgd,2008,87.24
bgd,2009,86.56
bgd,2010,87.66
bgd,2011,89.22
bgd,2012,87.59
bgd,2013,81.31
bgd,2014,76.48
bgd,2015,83.71
bgd,2016,81.35
bgd,2017,83.1
bgd,2018,83.09
bgd,2019,82.93
bgd,2020,82.98
bgr,2019,448.44
bgr,2020,404.93
bih,2007,250.92
bih,2008,259.98
bih,2009,256.61
bih,2010,256.93
bih,2011,267.15
bih,2012,279.26
bih,2013,302.06
bih,2014,294.89
bih,2015,298.48
bih,2016,305.94
bih,2017,312.62
bih,2018,319.62
bih,2019,340.9
bih,2020,328.17
blz,2004,192.08
blz,2005,321.44
blz,2006,242.91
blz,2007,272.43
blz,2008,308.21
blz,2009,342.31
blz,2010,320.81
blz,2011,227.8
blz,2012,210.44
blz,2013,174.01
blz,2014,195.82
blz,2015,160.01
blz,2016,164.35
blz,2017,149.87
blz,2018,152.2
blz,2019,151.85
blz,2020,178.08
bol,2004,23.34
bol,2005,22.54
bol,2006,27.22
bol,2007,31.02
bol,2008,25
bol,2009,27.28
bol,2010,28.08
bol,2011,32.88
bol,2012,39.44
bol,2013,48.78
bol,2014,54.71
bol,2015,59.93
bol,2016,63.63
bol,2017,69.87
bol,2018,71.13
bol,2019,73.44
bol,2020,80.57
bra,2007,96.21
bra,2008,104.88
bra,2009,150.21
bra,2010,204.61
bra,2011,234.62
bra,2012,369.74
bra,2013,393.92
bra,2014,399.59
bra,2015,403.24
bra,2016,552.59
bra,2017,545.36
bra,2018,549.09
bra,2019,655.77
bra,2020,665.61
brn,2008,665.59
brn,2009,742.16
brn,2010,588.33
brn,2011,564.89
brn,2012,613.07
brn,2013,631.34
brn,2014,627.97
brn,2015,635.64
brn,2016,392.1
brn,2017,405.44
brn,2018,345.64
brn,2019,334.45
bwa,2004,150.14
bwa,2005,154.4
bwa,2006,163.3
bwa,2007,187.61
bwa,2008,226.29
bwa,2009,244.91
bwa,2010,187.9
bwa,2011,164.34
bwa,2012,219.33
bwa,2013,202
bwa,2014,191.58
bwa,2015,264.95
bwa,2016,184.23
bwa,2017,174.46
bwa,2018,193.62
bwa,2019,232.83
bwa,2020,184.59
caf,2014,14.43
caf,2015,13.42
caf,2016,20.93
caf,2017,16.01
chl,2004,242.64
chl,2005,259.11
chl,2006,283.04
chl,2007,303.81
chl,2008,314.44
chl,2009,320.69
chl,2010,323.96
chl,2011,343.38
chl,2012,370.58
chl,2013,381.29
chl,2014,415.62
chl,2015,445.25
chl,2016,454.61
chl,2017,452.69
chl,2018,555.55
chl,2019,544.4
chl,2020,522.3
chn,2012,272.99
chn,2013,293.33
chn,2014,318.03
chn,2015,345.99
chn,2016,385.08
chn,2017,427.96
chn,2018,470.93
chn,2019,504.9
chn,2020,535.92
cmr,2009,9.9
cmr,2010,11.32
cmr,2011,17.96
cmr,2012,21.02
cmr,2013,22.24
cmr,2014,20.53
cmr,2015,23.69
cmr,2016,24.31
cmr,2017,27.32
cmr,2018,32.21
cmr,2019,33.52
cmr,2020,37.18
cod,2004,0.02
cod,2005,0.05
cod,2006,0.13
cod,2007,0.29
cod,2008,0.51
cod,2009,0.67
cod,2010,1.1
cod,2011,1.46
cod,2012,3.48
cod,2013,3.26
cod,2014,4.76
cod,2015,9.42
cod,2016,9.94
cod,2017,9.72
cod,2018,9.74
cog,2013,19.94
cog,2014,34.37
cog,2015,39.03
cog,2016,28.27
cog,2017,26.47
col,2004,102.72
col,2005,115.78
col,2006,139.44
col,2007,151.73
col,2008,159.69
col,2009,166.54
col,2010,169.68
col,2011,188.15
col,2012,201.89
col,2013,213.31
col,2014,220.59
col,2015,234.81
col,2016,239.25
col,2017,240.02
col,2018,243.2
col,2019,258.19
col,2020,246.27
com,2004,7.71
com,2005,7.24
com,2006,5.85
com,2007,5.68
com,2008,5.61
com,2009,6.31
com,2010,4.54
com,2011,8.91
com,2012,9.9
com,2013,10.82
com,2014,9.68
com,2015,10.33
com,2016,11.45
com,2017,13.18
com,2018,14.6
com,2019,14.62
com,2020,15.19
cpv,2004,85.6
cpv,2005,89.01
cpv,2006,95.01
cpv,2007,100.4
cpv,2008,109.4
cpv,2009,119.46
cpv,2010,124.21
cpv,2011,129.77
cpv,2012,109.24
cpv,2013,105.49
cpv,2014,154.13
cpv,2015,181.16
cpv,2016,183.63
cpv,2017,179.19
cpv,2018,193.69
cpv,2019,208.36
cpv,2020,214.69
cri,2006,193.99
cri,2007,207.53
cri,2008,204.73
cri,2009,186.6
cri,2010,191.9
cri,2011,194.84
cri,2012,200.05
cri,2013,208.16
cri,2014,212.69
cri,2015,225.43
cri,2016,240.52
cri,2017,253.47
cri,2018,265.49
cri,2019,265.37
cri,2020,241.78
cyp,2015,389.3
cyp,2016,382.21
cyp,2017,460.66
cyp,2018,365.81
cyp,2019,369.52
cyp,2020,329.56
dji,2008,8.58
dji,2009,12.54
dji,2010,16.71
dji,2011,17.94
dji,2012,20.14
dji,2013,48.09
dji,2014,56.13
dji,2015,63.77
dji,2016,34.42
dji,2017,41.2
dji,2018,23.16
dji,2019,25.6
dom,2006,115.55
dom,2007,126.95
dom,2008,132.04
dom,2009,136.24
dom,2010,136.27
dom,2011,145.1
dom,2012,133.4
dom,2013,147.35
dom,2014,160.89
dom,2015,179.25
dom,2016,192.33
dom,2017,192.51
dom,2018,191.14
dom,2019,207.68
dom,2020,193.94
dza,2004,25.92
dza,2005,23.14
dza,2006,23.19
dza,2007,27.61
dza,2008,28.76
dza,2009,34.75
dza,2010,34.6
dza,2011,39.08
dza,2012,42.58
dza,2013,45.02
dza,2014,42.54
dza,2015,44.24
dza,2016,39.19
dza,2017,40.64
dza,2018,45.18
dza,2019,50.33
dza,2020,46.57
ecu,2004,292.12
ecu,2005,389.68
ecu,2006,224.52
ecu,2007,226.28
ecu,2008,252.57
ecu,2009,270.68
ecu,2010,254.99
ecu,2011,292.04
ecu,2012,236.1
ecu,2013,212.73
ecu,2014,226.52
ecu,2015,221.15
ecu,2016,216.07
ecu,2017,207.47
ecu,2018,205.45
ecu,2019,132.86
egy,2005,39.07
egy,2006,37.76
egy,2007,52.16
egy,2008,68.09
egy,2009,69.63
egy,2010,77.97
egy,2011,77.28
egy,2012,77.88
egy,2013,105.99
egy,2014,100.09
egy,2015,101.35
egy,2016,108.24
egy,2017,103.53
egy,2018,116.91
egy,2019,123.51
egy,2020,123.66
esp,2017,323.33
esp,2018,316.02
esp,2019,329.34
esp,2020,344.16
est,2008,475.61
est,2009,543.73
est,2010,545.6
est,2011,516.42
est,2012,535.14
est,2013,519.78
est,2014,513.06
est,2015,525.11
est,2016,531.23
est,2017,526.02
est,2018,522.75
est,2019,557.72
