geo,time,sh_sta_bfed_zs
afg,2006,83
afg,2015,43.12627
afg,2018,57.5
ago,2001,11
ago,2016,37.4
alb,2000,6.3
alb,2005,3.4
alb,2006,39.5
alb,2009,37.1
alb,2018,36.5
are,1995,34
arg,2011,54
arg,2012,32
arm,2000,29.5
arm,2005,32.5
arm,2010,34.1
arm,2016,44.5
aze,2000,6.5
aze,2006,10.8
aze,2013,12.1
bdi,1987,77.4
bdi,2000,59.2
bdi,2005,44.7
bdi,2010,69.3
bdi,2011,69.3
bdi,2017,82.3
ben,1996,10.1
ben,2001,37.8
ben,2006,42.3
ben,2008,43
ben,2012,32.5
ben,2014,41.4
ben,2018,41.4
bfa,1993,9.2
bfa,1999,5.5
bfa,2003,18.3
bfa,2006,5.9
bfa,2009,16
bfa,2010,24.8
bfa,2012,38.2
bfa,2013,47.2
bfa,2014,50.1
bfa,2017,47.8
bgd,1994,46
bgd,1997,45.2
bgd,2000,46
bgd,2004,42
bgd,2006,37.2
bgd,2007,42.9
bgd,2011,64.1
bgd,2013,55.9
bgd,2014,55.3
bhr,1995,33.8
bih,1999,5.5
bih,2006,17.6
bih,2012,18.2
blr,2005,10.3
blr,2012,19
blz,1999,24
blz,2006,9.3
blz,2011,14.7
blz,2016,33.2
bol,1989,50.6
bol,1994,43.3
bol,1998,50.6
bol,2000,38.6
bol,2003,53.6
bol,2004,53.5
bol,2008,56.8
bol,2012,64.3
bol,2016,58.3
bra,1986,2.6
bra,2006,38.6
bra,2007,38.6
bra,2008,41
brb,2012,19.7
btn,2010,48.7
btn,2015,51.4
bwa,2000,33.7
bwa,2008,20.3
bwa,2017,30
caf,1995,3
caf,2000,16.5
caf,2006,22.8
caf,2010,34.3
caf,2011,33
caf,2014,28.8
chl,2002,63.2
chl,2004,63
chl,2006,84.5
chn,1998,67
chn,2003,50.8
chn,2008,27.6
chn,2013,20.8
civ,1994,3
civ,1999,3.5
civ,2000,8.5
civ,2004,5.4
civ,2006,4.2
civ,2012,11.8
civ,2016,23.1
cmr,1991,8.4
cmr,1998,12.2
cmr,2004,21
cmr,2006,21.1
cmr,2011,19.9
cmr,2014,28
cod,1995,23.8
cod,2001,23.8
cod,2007,35.8
cod,2010,36.4
cod,2014,47.3
cog,1999,4
cog,2005,19.1
cog,2012,20.2
cog,2015,32.9
col,1986,15.6
col,1990,13.4
col,1995,11.5
col,2000,25.1
col,2005,46.8
col,2015,36.1
com,1996,3.2
com,2000,10.2
com,2012,11.4
cpv,1998,38.9
cpv,2005,59.6
cri,1993,35
cri,2006,18.7
cri,2011,32.5
cub,2000,41.2
cub,2006,26.4
cub,2011,48.6
cub,2014,32.8
dji,2006,1.3
dji,2012,12.4
dom,1986,11.1
dom,1991,11.2
dom,1996,18
dom,1999,15.1
dom,2000,11
dom,2002,9.9
dom,2006,4.1
dom,2007,7.1
dom,2010,8
dom,2013,6.7
dom,2014,4.6
dza,2000,12.6
dza,2006,6.9
dza,2013,25.4
ecu,1987,25.9
ecu,1994,28.6
ecu,1999,34.8
ecu,2004,39.6
egy,1993,61.4
egy,1996,56.3
egy,2000,56.1
egy,2003,30.4
egy,2005,41.1
egy,2008,52.8
egy,2014,39.5
eri,1996,58.9
eri,2002,52
eri,2010,68.7
eth,2000,54.1
eth,2005,48.8
eth,2011,52
eth,2016,56.5
fji,1995,47
fji,2004,39.8
fsm,1999,60
gab,2000,6.2
gab,2001,5.4
gab,2012,5.1
gbm,2010,34.17197
geo,1999,18
geo,2005,11.8
geo,2009,54.8
gha,1988,2.2
gha,1994,7.4
gha,1998,31
gha,1999,31.5
gha,2003,53
gha,2006,54.9
gha,2008,62.1
gha,2011,45.7
gha,2014,52.1
gin,1999,11.2
gin,2003,22.8
gin,2005,27
gin,2008,48
gin,2012,20.4
gin,2016,34.2
gin,2018,33.4
gmb,2000,24.6
gmb,2006,39.7
gmb,2010,33.1
gmb,2013,46.8
gnb,2000,27.5
gnb,2006,15.5
gnb,2010,38.3
gnb,2014,52.5
gnq,2000,20.3
gnq,2011,7.4
grd,1998,39
gtm,1995,46.4
gtm,1999,39.2
gtm,2002,50.6
gtm,2009,49.6
gtm,2015,53.2
guy,2000,10.4
guy,2006,21
guy,2007,21.4
guy,2009,31.3
guy,2014,21.1
hnd,2001,34.9
hnd,2006,28.7
hnd,2012,30.7
hrv,1996,23.5
hrv,2007,95.9079
hrv,2008,98.13041
hti,1995,2.5
hti,2000,23
hti,2006,40.5
hti,2012,39.3
hti,2017,39.9
idn,1991,46.8
idn,1994,37.3
idn,1997,43
idn,2003,38.7
idn,2007,31.2
idn,2010,15.3
idn,2012,40.9
idn,2017,50.7
ind,1993,46
ind,1999,46.8
ind,2000,37
ind,2006,46.4
ind,2016,54.9
irn,2000,44.1
irn,2005,23
irn,2011,53.1
irq,2000,11.6
irq,2006,25.4
irq,2011,19.4
irq,2018,25.8
jam,2005,15.2
jam,2011,23.8
jor,1990,38.6
jor,1997,11
jor,2002,26.7
jor,2007,21.8
jor,2012,22.7
jor,2018,25.4
kaz,1995,9.6
kaz,1999,35.8
kaz,2006,16.3
kaz,2011,31.8
kaz,2015,37.8
ken,1989,23
ken,1993,17
ken,1998,12.6
ken,2000,13.8
ken,2003,12.2
ken,2009,31.9
ken,2014,61.4
kgz,1997,24
kgz,2006,35.6
kgz,2012,56
kgz,2014,40.9
kgz,2018,45.6
khm,1998,11.1
khm,2000,10.8
