global,time,ne_con_prvt_cd
world,1970,1751464467567.8501
world,1971,1938678582698.86011
world,1972,2228954060100.35986
world,1973,2678559547298.37012
world,1974,3066123268476.02002
world,1975,3476127163495.43018
world,1976,3763235994563.25977
world,1977,4263330516689.33984
world,1978,5002446428457.80957
world,1979,5804784698082.38965
world,1980,6558074980207.63965
world,1981,6745593554520.38965
world,1982,6818137457357.50977
world,1983,7038555437210.51953
world,1984,7260077980539.05957
world,1985,7664109494250.79004
world,1986,9056615613549.34766
world,1987,10263782610561.40039
world,1988,11400011277413.80078
world,1989,11783337629717.19922
world,1990,13313883021709.40039
world,1991,13921153650542.09961
world,1992,14971257543336.80078
world,1993,15338830704995.59961
world,1994,16523897067311.19922
world,1995,18260178664789.19922
world,1996,18758205423545.30078
world,1997,18746545611777
world,1998,18832288332360.39844
world,1999,19610967402781.69531
world,2000,20217409083484.80078
world,2001,20278660469364.39844
world,2002,21057317087045.89453
world,2003,23460977915292.89453
world,2004,26104615753928.89453
world,2005,28100225810885.10156
world,2006,30088218402426.10156
world,2007,33615004493128.5
world,2008,36711005553476.79688
world,2009,35372333266476.60156
world,2010,38015071692080.60156
world,2011,41712575810635.69531
world,2012,42580490859122.49219
world,2013,43809518145451.60156
world,2014,45032050679695.69531
world,2015,42620437591205.69531
world,2016,43507373736439.10156
world,2017,45988544867279.50781
world,2018,48479113264868
world,2019,49318586126851.60156
world,2020,46888282688015.29688
