geo,time,sl_tlf_0714_wk_ma_tm
afg,2011,15.4
ago,2001,14.9
alb,2010,28.6
aze,2005,16.7
bdi,2010,14.7
ben,2012,25.6
bfa,2010,24.2
bgd,2006,37.3
bgd,2013,36.34531
bol,2009,39.7
bol,2013,37.32158
bol,2015,39.3
bra,2011,32.5
bra,2013,29.63828
bra,2014,30.6594
bra,2015,30
caf,2010,17.5
chl,2012,11.6
civ,2012,24.1
cmr,2011,24.4
cod,2010,10.8
cod,2014,9.11405
cog,2012,15.2
col,2012,29.6
col,2014,32.0232
col,2015,29
cri,2011,29.6
cri,2016,30.39
dom,2009,19.1
dom,2012,25.74865
dom,2014,11.38505
dza,2013,14.2
ecu,2011,35.4
ecu,2015,24.80656
egy,2009,51.3
eth,2011,31.9
gab,2012,8.5
geo,2006,8.1
gha,2006,21.5
gin,2012,20.5
gmb,2008,21.5
gmb,2015,14.97
gnb,2006,13.2
gnb,2014,9.3684
gtm,2012,34.7
gtm,2014,41.30458
gtm,2015,34.18154
hnd,2013,31.2
hnd,2014,32.27877
hti,2012,8.1
idn,2010,29.3
irq,2011,27.7
jor,2007,53.2
jor,2016,50.53
kaz,2006,4
ken,2000,21.5
ken,2009,46.11559
kgz,2007,28.4
kgz,2014,12.43557
khm,2012,37.6
lao,2010,44
lbr,2010,36.4
lka,2009,25.9
lso,2000,23.4
mdg,2007,37.4
mex,2011,36.2
mex,2013,38.27394
mkd,2011,4
mli,2013,26.2
mng,2012,31.8
mng,2013,29.53233
moz,2008,15.3
mrt,2007,15.5
mrt,2011,24.08486
mwi,2011,12.9
mwi,2014,12.71756
mwi,2015,17.3
nam,1999,37
ner,2012,9.6
nga,2010,32.3
nga,2011,10.12274
nic,2010,33.3
nic,2012,30.09188
npl,2008,32.8
npl,2014,15.22909
pak,2011,41.9
pan,2012,29.6
pan,2014,22.68266
per,2015,19.23142
phl,2011,21.2
pry,2005,39.3
pry,2014,47.247
rou,2000,22.5
rwa,2010,21.3
rwa,2011,29.65908
rwa,2014,24.9
sdn,2014,12.80161
sen,2011,46.5
sen,2015,25.86648
sle,2013,10.8
slv,2012,29.8
slv,2013,35.64084
som,2006,35.6
srb,2005,13.6
swz,2010,8.8
syr,2006,30.9
tcd,2010,8.8
tcd,2015,13.04578
tgo,2010,31.6
tgo,2014,16.92816
tha,2005,27
tjk,2005,24
tls,2007,24.8
tto,2006,8
tun,2012,13.8
tur,2006,44.5
tza,2014,32.86476
uga,2012,32.6
ukr,2012,2
ury,2009,21.9
ven,2006,35.4
ven,2013,35.68478
vnm,2012,35.3
yem,2010,35
zmb,2008,5
zwe,1999,43.7
