geo,time,nv_mnf_txtl_zs_un
alb,1985,27.74958
alb,1986,26.51805
alb,1987,24.46586
alb,1988,25.80108
alb,1989,27.4746
alb,1990,32.65896
alb,2000,26.5402
alb,2001,30.53496
alb,2002,36.48631
alb,2003,32.43084
alb,2004,26.54961
alb,2005,25.49759
alb,2006,22.29335
alb,2007,24.86899
alb,2008,22.56257
alb,2009,25.79541
alb,2010,25.59423
alb,2011,30.31236
alb,2012,26.57889
alb,2013,30.07648
alb,2014,32.08049
alb,2015,32.38837
alb,2016,33.74222
alb,2017,34.87984
alb,2018,36.57947
alb,2019,36.5799
are,1977,2.62821
are,1978,1.50153
are,1981,1.69159
are,1985,1.15123
are,2012,3.46961
are,2013,3.45743
are,2014,3.67282
are,2015,3.8529
are,2016,3.62539
are,2017,3.6169
are,2018,3.57043
arg,1984,12.00814
arg,1985,10.31
arg,1986,11.04986
arg,1987,10.43
arg,1988,10.62017
arg,1989,10.29002
arg,1990,10.36
arg,1993,9.11593
arg,1994,7.88316
arg,1995,7.1488
arg,1996,7.08468
arg,1997,8.46351
arg,1998,8.25794
arg,1999,8.41683
arg,2000,8.00944
arg,2001,7.17753
arg,2002,5.66888
arg,2004,9.05373
arg,2005,9.22849
arg,2006,8.78323
arg,2007,8.63076
arg,2008,7.84294
arg,2009,8.10673
arg,2010,8.20827
arg,2011,8.58689
arg,2012,8.29016
arg,2013,8.36903
arg,2014,8.17902
arg,2015,8.60084
arg,2016,7.91774
arg,2017,6.94339
arg,2018,5.93752
arg,2019,5.62567
arm,2004,1.05364
arm,2005,0.87811
arm,2006,1.05357
arm,2007,1.14847
arm,2008,1.3349
arm,2009,1.54643
arm,2010,1.39354
arm,2011,1.68111
arm,2012,1.68111
arm,2013,1.68111
arm,2014,1.68111
arm,2015,1.526
arm,2016,1.77477
arm,2017,2.10146
arm,2018,3.53606
arm,2019,3.53606
aus,1963,11.69577
aus,1964,11.28729
aus,1965,10.92937
aus,1966,10.68488
aus,1967,10.37166
aus,1968,10.09997
aus,1969,9.7561
aus,1970,9.45798
aus,1971,9.28376
aus,1972,9.04025
aus,1973,9.01364
aus,1974,9.00647
aus,1975,7.4152
aus,1976,8.33235
aus,1977,7.71554
aus,1978,8.01322
aus,1979,8.00938
aus,1980,7.4998
aus,1981,7.47241
aus,1982,7.45393
aus,1983,7.2562
aus,1984,7.43681
aus,1985,7.28111
aus,1986,7.56105
aus,1987,7.84374
aus,1988,7.45711
aus,1989,6.86031
