global,time,en_atm_co2e_pp_gd
world,1990,0.70212
world,1991,0.67211
world,1992,0.64102
world,1993,0.61825
world,1994,0.58989
world,1995,0.57457
world,1996,0.55371
world,1997,0.53218
world,1998,0.51766
world,1999,0.49573
world,2000,0.47553
world,2001,0.4615
world,2002,0.4468
world,2003,0.44226
world,2004,0.42826
world,2005,0.4128
world,2006,0.38944
world,2007,0.37365
world,2008,0.35611
world,2009,0.34905
world,2010,0.34759
world,2011,0.33641
world,2012,0.32426
world,2013,0.31487
world,2014,0.30375
world,2015,0.2961
world,2016,0.28469
world,2017,0.27359
world,2018,0.2632
