geo,time,sp_pop_1564_to_zs
abw,1960,53.66992
abw,1961,54.05678
abw,1962,54.38328
abw,1963,54.71029
abw,1964,55.11993
abw,1965,55.6311
abw,1966,56.07554
abw,1967,56.70313
abw,1968,57.41445
abw,1969,58.08671
abw,1970,58.67971
abw,1971,59.55249
abw,1972,60.249
abw,1973,60.89006
abw,1974,61.63924
abw,1975,62.56656
abw,1976,63.07893
abw,1977,63.85051
abw,1978,64.82538
abw,1979,65.81027
abw,1980,66.63505
abw,1981,67.1851
abw,1982,67.57845
abw,1983,67.80438
abw,1984,67.94513
abw,1985,68.15441
abw,1986,67.75589
abw,1987,67.56748
abw,1988,67.61407
abw,1989,67.74971
abw,1990,67.79675
abw,1991,68.5231
abw,1992,69.02176
abw,1993,69.29825
abw,1994,69.47197
abw,1995,69.66785
abw,1996,69.45072
abw,1997,69.32628
abw,1998,69.27942
abw,1999,69.26128
abw,2000,69.24042
abw,2001,69.32334
abw,2002,69.42164
abw,2003,69.55482
abw,2004,69.73475
abw,2005,69.93532
abw,2006,69.85739
abw,2007,69.69038
abw,2008,69.44592
abw,2009,69.15973
abw,2010,68.83809
abw,2011,68.8856
abw,2012,68.98693
abw,2013,69.10885
abw,2014,69.18111
abw,2015,69.15977
abw,2016,69.13762
abw,2017,68.94634
abw,2018,68.64661
abw,2019,68.3212
abw,2020,68.01229
afg,1960,55.06084
afg,1961,54.73793
afg,1962,54.55853
afg,1963,54.46503
afg,1964,54.39103
afg,1965,54.3093
afg,1966,53.95559
afg,1967,53.65164
afg,1968,53.39365
afg,1969,53.19026
afg,1970,53.04314
afg,1971,52.69327
afg,1972,52.4353
afg,1973,52.25243
afg,1974,52.13682
afg,1975,52.09805
afg,1976,51.81646
afg,1977,51.58404
afg,1978,51.4111
afg,1979,51.33051
afg,1980,51.3855
afg,1981,51.08236
afg,1982,50.83269
afg,1983,50.62901
afg,1984,50.4325
afg,1985,50.18463
afg,1986,49.9905
afg,1987,49.92051
afg,1988,49.89524
afg,1989,49.78778
afg,1990,49.45924
afg,1991,49.54031
afg,1992,49.60985
afg,1993,49.62836
afg,1994,49.66189
afg,1995,49.81294
afg,1996,49.55906
afg,1997,49.30438
afg,1998,49.10366
afg,1999,48.95342
afg,2000,48.81468
afg,2001,48.90547
afg,2002,49.09875
afg,2003,49.34294
afg,2004,49.61243
afg,2005,49.91287
afg,2006,49.75844
afg,2007,49.60313
afg,2008,49.48568
afg,2009,49.444
afg,2010,49.49372
afg,2011,49.94395
afg,2012,50.52395
afg,2013,51.19312
afg,2014,51.90784
afg,2015,52.6443
afg,2016,53.20796
afg,2017,53.76322
afg,2018,54.3249
afg,2019,54.91193
afg,2020,55.52833
ago,1960,54.86099
ago,1961,54.16412
ago,1962,53.43894
ago,1963,52.83846
ago,1964,52.51015
ago,1965,52.47329
ago,1966,52.42508
ago,1967,52.59212
ago,1968,52.71513
ago,1969,52.55812
ago,1970,52.08056
ago,1971,51.95674
ago,1972,51.63904
ago,1973,51.28569
ago,1974,51.10202
ago,1975,51.15401
ago,1976,50.86244
ago,1977,50.93954
ago,1978,51.18909
ago,1979,51.35371
ago,1980,51.32759
ago,1981,51.15545
ago,1982,50.82013
ago,1983,50.43061
ago,1984,50.15099
ago,1985,50.04806
ago,1986,49.8256
ago,1987,49.76807
ago,1988,49.81904
ago,1989,49.89809
ago,1990,49.97046
ago,1991,49.85158
ago,1992,49.7846
ago,1993,49.76437
ago,1994,49.79524
ago,1995,49.87845
ago,1996,49.84312
ago,1997,49.87281
ago,1998,49.95625
ago,1999,50.08047
ago,2000,50.23329
ago,2001,50.24131
ago,2002,50.29598
ago,2003,50.38343
ago,2004,50.48632
ago,2005,50.58962
ago,2006,50.54946
ago,2007,50.53909
ago,2008,50.5457
ago,2009,50.5646
ago,2010,50.59763
ago,2011,50.50804
ago,2012,50.46798
ago,2013,50.47179
ago,2014,50.5198
ago,2015,50.61517
ago,2016,50.68563
ago,2017,50.80779
ago,2018,50.9747
ago,2019,51.17863
ago,2020,51.41318
alb,1960,54.43344
alb,1961,54.06735
alb,1962,53.69376
alb,1963,53.35197
alb,1964,53.11027
alb,1965,53.00893
alb,1966,52.95329
alb,1967,53.06193
alb,1968,53.29185
alb,1969,53.58091
alb,1970,53.89474
alb,1971,54.27468
alb,1972,54.63919
alb,1973,55.02296
alb,1974,55.47509
alb,1975,56.00809
alb,1976,56.47272
alb,1977,57.03333
alb,1978,57.63744
alb,1979,58.21161
alb,1980,58.72002
alb,1981,59.17331
alb,1982,59.56861
alb,1983,59.91959
alb,1984,60.24827
alb,1985,60.5582
alb,1986,60.81791
alb,1987,61.04361
alb,1988,61.24633
alb,1989,61.46118
alb,1990,61.73034
alb,1991,61.45699
alb,1992,61.2325
alb,1993,61.07131
alb,1994,60.94691
alb,1995,60.82531
alb,1996,61.21761
alb,1997,61.56705
alb,1998,61.888
alb,1999,62.22272
alb,2000,62.60815
alb,2001,63.01737
alb,2002,63.47477
alb,2003,63.97268
alb,2004,64.48562
alb,2005,64.9984
alb,2006,65.5224
alb,2007,65.96118
alb,2008,66.33379
alb,2009,66.64709
alb,2010,66.89951
alb,2011,67.51371
alb,2012,68.0119
alb,2013,68.37295
alb,2014,68.59903
alb,2015,68.70472
alb,2016,68.66009
alb,2017,68.64261
alb,2018,68.58239
alb,2019,68.39781
alb,2020,68.05956
are,1960,52.00286
are,1961,53.42077
are,1962,54.96709
are,1963,56.50763
are,1964,57.98579
are,1965,59.37927
are,1966,60.70911
are,1967,61.83742
are,1968,62.72786
are,1969,63.37922
are,1970,63.76421
are,1971,66.34675
are,1972,68.33618
are,1973,69.63869
are,1974,70.2786
are,1975,70.35916
are,1976,71.1018
are,1977,71.45472
are,1978,71.33337
are,1979,70.91974
are,1980,70.44008
are,1981,69.74759
are,1982,69.04892
are,1983,68.29491
are,1984,67.51295
are,1985,66.7739
are,1986,66.63857
are,1987,66.70994
are,1988,66.92685
are,1989,67.27025
are,1990,67.7352
are,1991,68.51596
are,1992,69.3031
are,1993,70.08907
are,1994,70.86845
are,1995,71.61228
are,1996,71.98859
are,1997,72.38218
are,1998,72.628
are,1999,72.74209
are,2000,72.86413
are,2001,75.06461
are,2002,77.00267
are,2003,78.59848
are,2004,79.84338
are,2005,80.77113
are,2006,82.65515
are,2007,84.0635
are,2008,85.01003
are,2009,85.64911
are,2010,86.15811
are,2011,85.83389
are,2012,85.61541
are,2013,85.41015
are,2014,85.1672
are,2015,84.90274
are,2016,84.6275
are,2017,84.4609
are,2018,84.31149
are,2019,84.13084
are,2020,83.92151
arg,1960,63.418
arg,1961,63.37708
arg,1962,63.39265
arg,1963,63.44778
arg,1964,63.51709
arg,1965,63.58565
arg,1966,63.58838
arg,1967,63.60028
arg,1968,63.61418
arg,1969,63.622
arg,1970,63.61567
arg,1971,63.52783
arg,1972,63.42785
arg,1973,63.31337
arg,1974,63.17872
arg,1975,63.01815
arg,1976,62.72091
arg,1977,62.38862
arg,1978,62.04551
arg,1979,61.73074
arg,1980,61.46625
arg,1981,61.12062
arg,1982,60.91252
arg,1983,60.78543
arg,1984,60.66594
arg,1985,60.52532
arg,1986,60.48476
arg,1987,60.37106
arg,1988,60.25057
arg,1989,60.21321
arg,1990,60.2916
arg,1991,60.28887
arg,1992,60.4059
arg,1993,60.59945
arg,1994,60.80209
arg,1995,60.98319
arg,1996,61.13576
arg,1997,61.29154
arg,1998,61.44964
arg,1999,61.62058
arg,2000,61.80917
arg,2001,62.02044
arg,2002,62.21343
arg,2003,62.40215
arg,2004,62.60527
arg,2005,62.82861
arg,2006,62.99229
arg,2007,63.19979
arg,2008,63.42379
arg,2009,63.62133
arg,2010,63.76902
arg,2011,63.88072
arg,2012,63.94713
arg,2013,63.98269
arg,2014,64.01547
arg,2015,64.06002
