geo,time,en_atm_noxe_ag_zs
abw,1970,38.67685
abw,1971,38.40687
abw,1972,38.18122
abw,1973,38.45377
abw,1974,38.43025
abw,1975,38.4892
abw,1976,26.76359
abw,1977,25.55129
abw,1978,13.32537
abw,1979,11.69009
abw,1980,11.34302
abw,1981,9.90515
abw,1982,9.13746
abw,1983,9.62416
abw,1984,8.94031
abw,1985,8.01542
abw,1986,10.73818
abw,1987,7.88637
abw,1988,6.54922
abw,1989,6.02934
afg,1970,85.98793
afg,1971,85.38868
afg,1972,82.26119
afg,1973,82.79046
afg,1974,82.51576
afg,1975,83.34999
afg,1976,82.88639
afg,1977,81.96774
afg,1978,80.8987
afg,1979,80.14178
afg,1980,79.99198
afg,1981,79.32178
afg,1982,79.52053
afg,1983,78.26643
afg,1984,77.60837
afg,1985,76.16075
afg,1986,72.93819
afg,1987,73.93839
afg,1988,74.18973
afg,1989,73.87513
afg,1990,83.38462
afg,1991,84.80243
afg,1992,85.625
afg,1993,86.5625
afg,1994,86.95652
afg,1995,88.56209
afg,1996,89.3617
afg,1997,90.2507
afg,1998,90.97938
afg,1999,91.56627
afg,2000,90.33149
afg,2001,88.81988
afg,2002,90
afg,2003,90.10417
afg,2004,90.02625
afg,2005,90.17632
afg,2006,83.74384
afg,2007,78.11765
afg,2008,75.15658
ago,1970,67.85502
ago,1971,52.74511
ago,1972,56.35858
ago,1973,59.63973
ago,1974,56.31011
ago,1975,62.86716
ago,1976,62.12089
ago,1977,67.15281
ago,1978,70.00565
ago,1979,76.39763
ago,1980,76.38829
ago,1981,77.0468
ago,1982,80.74187
ago,1983,82.30901
ago,1984,83.09452
ago,1985,87.45835
ago,1986,87.49231
ago,1987,88.16682
ago,1988,87.25731
ago,1989,87.63188
ago,1990,99.08136
ago,1991,99.08317
ago,1992,99.08616
ago,1993,99.01768
ago,1994,99.01445
ago,1995,98.94806
ago,1996,98.75731
ago,1997,98.73512
ago,1998,98.78869
ago,1999,98.61718
ago,2000,98.58757
ago,2001,98.55172
ago,2002,98.53503
ago,2003,98.66667
ago,2004,98.61955
ago,2005,98.54097
ago,2006,98.23815
ago,2007,98.24064
ago,2008,97.96407
alb,1970,75.96711
alb,1971,75.45492
alb,1972,74.96156
alb,1973,74.92592
alb,1974,74.83788
alb,1975,74.7534
alb,1976,76.06864
alb,1977,75.23295
alb,1978,75.84621
alb,1979,76.16621
alb,1980,75.24858
alb,1981,75.95397
alb,1982,77.1899
alb,1983,67.3491
alb,1984,69.6581
alb,1985,68.08648
alb,1986,66.68906
alb,1987,68.19512
alb,1988,68.91475
alb,1989,68.42893
alb,1990,84.90566
alb,1991,83.47107
alb,1992,84.95575
alb,1993,88.03419
alb,1994,91.9708
alb,1995,94.73684
alb,1996,93.27731
alb,1997,92.0354
alb,1998,92.30769
alb,1999,91.96429
alb,2000,91.52542
alb,2001,90.43478
alb,2002,92.24806
alb,2003,91.60305
alb,2004,91.33858
alb,2005,90.625
alb,2006,90.16393
alb,2007,90.16393
alb,2008,90.35088
and,1970,0
and,1971,0
and,1972,0
and,1973,0
and,1974,0
and,1975,0
and,1976,0
and,1977,0
and,1978,0
and,1979,0
and,1980,0
and,1981,0
and,1982,0
and,1983,0
and,1984,0
and,1985,0
and,1986,0
and,1987,0
and,1988,0
and,1989,0
are,1970,35.57948
are,1971,32.33719
are,1972,31.3663
are,1973,28.64499
are,1974,28.39058
are,1975,23.40917
are,1976,14.82232
are,1977,16.42222
are,1978,17.68855
are,1979,23.38003
are,1980,20.74526
are,1981,21.76907
are,1982,21.87606
are,1983,22.65107
are,1984,14.54435
are,1985,15.63343
are,1986,14.51159
are,1987,15.2431
are,1988,15.63225
are,1989,18.13546
are,1990,14.74359
are,1991,16.16766
are,1992,17.41573
are,1993,17.64706
are,1994,18.68687
are,1995,17.3913
are,1996,16.03053
are,1997,14.72603
are,1998,13.93189
are,1999,13.23944
are,2000,12.46753
are,2001,12.46819
are,2002,13.75921
are,2003,14.18269
are,2004,13.94799
are,2005,14.31871
are,2006,13.65639
are,2007,13.44538
are,2008,13.57285
arg,1970,81.19443
arg,1971,86.57811
arg,1972,84.35398
arg,1973,87.00428
arg,1974,85.78427
arg,1975,84.47648
arg,1976,82.74486
arg,1977,86.58134
arg,1978,83.83451
arg,1979,83.01802
arg,1980,82.13487
arg,1981,83.57798
arg,1982,82.82997
arg,1983,82.84514
arg,1984,86.69254
arg,1985,85.47303
arg,1986,84.81118
arg,1987,81.76955
arg,1988,85.10134
arg,1989,85.07144
arg,1990,95.86032
arg,1991,95.67552
arg,1992,95.59557
arg,1993,95.36777
arg,1994,95.359
arg,1995,95.09804
arg,1996,94.92166
arg,1997,94.7073
arg,1998,94.57343
arg,1999,94.53376
arg,2000,94.7275
arg,2001,94.58153
arg,2002,94.5099
arg,2003,94.86184
arg,2004,94.74761
arg,2005,94.5797
arg,2006,94.61384
arg,2007,94.7613
arg,2008,94.47466
arm,1970,81.01379
arm,1971,81.80808
arm,1972,81.36459
arm,1973,81.4341
arm,1974,81.14903
arm,1975,79.846
arm,1976,79.11744
arm,1977,79.3237
arm,1978,79.17475
arm,1979,78.85127
arm,1980,78.80059
arm,1981,78.52401
arm,1982,78.67757
arm,1983,79.48833
arm,1984,79.74445
arm,1985,79.91841
arm,1986,79.68581
arm,1987,79.72916
arm,1988,79.06124
arm,1989,78.44498
arm,1990,87.5
arm,1991,86.74699
arm,1992,86.66667
arm,1993,84.61538
arm,1994,84.48276
arm,1995,84.21053
arm,1996,85.96491
arm,1997,85.71429
arm,1998,87.03704
arm,1999,86.53846
arm,2000,86.79245
arm,2001,87.03704
arm,2002,87.30159
arm,2003,88.52459
arm,2004,89.39394
arm,2005,87.5
arm,2006,91.57895
arm,2007,89.87342
arm,2008,87.17949
asm,1970,93.66891
asm,1971,93.41089
asm,1972,93.23314
asm,1973,93.17611
asm,1974,93.04322
asm,1975,93.44141
asm,1976,93.40861
asm,1977,93.59734
asm,1978,93.39495
asm,1979,93.5823
asm,1980,94.56672
asm,1981,96.31503
asm,1982,92.54717
asm,1983,92.64922
asm,1984,92.6598
asm,1985,92.58985
asm,1986,92.56292
asm,1987,92.49751
asm,1988,92.41658
asm,1989,92.60293
atg,1970,55.92487
atg,1971,57.11478
atg,1972,56.07977
atg,1973,53.47654
atg,1974,51.88924
atg,1975,49.24038
atg,1976,47.11872
atg,1977,46.96756
atg,1978,48.5139
atg,1979,55.61398
atg,1980,54.31318
atg,1981,56.14019
atg,1982,51.33007
atg,1983,59.62072
atg,1984,55.47756
atg,1985,59.54446
atg,1986,64.96032
atg,1987,65.06188
atg,1988,59.69857
atg,1989,59.12305
atg,1990,50
atg,1991,50
atg,1992,50
atg,1993,50
atg,1994,50
atg,1995,50
atg,1996,50
atg,1997,50
atg,1998,50
atg,1999,50
atg,2000,50
atg,2001,50
atg,2002,50
atg,2003,50
atg,2004,50
atg,2005,33.33333
atg,2006,33.33333
atg,2007,33.33333
atg,2008,33.33333
aus,1970,82.82473
aus,1971,84.7954
aus,1972,80.88953
aus,1973,83.30156
aus,1974,82.58094
aus,1975,81.68723
aus,1976,79.44814
aus,1977,78.24167
aus,1978,80.44712
aus,1979,77.59745
aus,1980,76.50747
aus,1981,80.50214
aus,1982,77.03652
aus,1983,79.41242
aus,1984,79.64307
aus,1985,76.31778
aus,1986,78.63887
aus,1987,80.64388
aus,1988,80.89424
aus,1989,80.60576
aus,1990,95.80393
aus,1991,95.90962
aus,1992,95.43187
aus,1993,94.84143
aus,1994,94.73962
aus,1995,94.5589
aus,1996,93.72678
aus,1997,93.37777
aus,1998,93.40316
aus,1999,94.56594
aus,2000,94.78005
aus,2001,94.84102
aus,2002,94.1355
aus,2003,89.47199
aus,2004,92.28082
aus,2005,89.14077
aus,2006,91.77269
aus,2007,91.04843
aus,2008,88.19646
aut,1970,44.2194
aut,1971,44.56335
aut,1972,43.12441
aut,1973,41.53541
aut,1974,41.10243
aut,1975,41.27739
aut,1976,42.73822
aut,1977,42.1675
aut,1978,42.90988
aut,1979,43.39502
aut,1980,44.05719
aut,1981,43.98878
aut,1982,46.86571
aut,1983,47.7532
aut,1984,49.32162
aut,1985,52.61575
aut,1986,51.1755
aut,1987,53.34099
aut,1988,52.0527
aut,1989,52.91344
aut,1990,66.12245
aut,1991,65.17312
aut,1992,65.74468
aut,1993,64.08602
aut,1994,64.78261
aut,1995,63.39869
aut,1996,63.11301
aut,1997,62.93103
aut,1998,62.20302
aut,1999,61.33909
aut,2000,60.13072
aut,2001,61.88341
aut,2002,60.68966
aut,2003,58.75576
aut,2004,67.54617
aut,2005,67.36842
aut,2006,66.57825
aut,2007,65.84699
aut,2008,65.43536
aze,1970,86.49617
aze,1971,86.98907
aze,1972,86.67303
aze,1973,86.59415
aze,1974,86.2082
aze,1975,85.39167
aze,1976,84.84463
aze,1977,84.94327
aze,1978,84.60492
aze,1979,84.22392
aze,1980,84.10801
aze,1981,83.5571
aze,1982,83.45138
aze,1983,83.8952
aze,1984,84.09241
aze,1985,84.05652
aze,1986,84.17311
aze,1987,84.23391
aze,1988,83.63609
aze,1989,83.29275
aze,1990,90.52632
aze,1991,83.16151
aze,1992,81.17647
aze,1993,78.29787
aze,1994,77.13004
aze,1995,75.89286
aze,1996,75.46296
aze,1997,76.21145
aze,1998,76.52174
aze,1999,77.21519
aze,2000,77.31092
aze,2001,78.98833
aze,2002,79.5539
aze,2003,79.78339
aze,2004,80.34483
aze,2005,80.33898
aze,2006,80.84416
aze,2007,80.64516
aze,2008,81.45897
bdi,1970,80.33493
bdi,1971,80.49011
bdi,1972,81.3024
bdi,1973,81.59888
bdi,1974,81.79332
bdi,1975,81.67692
bdi,1976,81.50934
bdi,1977,81.33087
bdi,1978,81.08301
bdi,1979,81.15972
bdi,1980,78.24499
bdi,1981,75.18553
bdi,1982,74.95629
bdi,1983,74.69556
bdi,1984,73.98817
bdi,1985,73.06783
bdi,1986,74.47001
bdi,1987,73.2502
bdi,1988,73.63504
bdi,1989,72.23616
bdi,1990,76.47059
bdi,1991,76.66667
bdi,1992,76.22951
bdi,1993,74.59016
bdi,1994,73.50427
bdi,1995,73.77049
bdi,1996,73.55372
bdi,1997,73.77049
bdi,1998,68.21705
bdi,1999,68.18182
bdi,2000,67.66917
bdi,2001,67.40741
bdi,2002,66.66667
bdi,2003,65.21739
bdi,2004,65.49296
bdi,2005,64.82759
bdi,2006,65.33333
bdi,2007,65.56291
bdi,2008,66.24204
bel,1970,26.44223
bel,1971,25.12868
bel,1972,24.70152
bel,1973,24.95237
bel,1974,22.65524
bel,1975,26.88629
bel,1976,26.98021
bel,1977,24.04361
bel,1978,23.23242
bel,1979,23.22644
bel,1980,22.98148
bel,1981,22.33738
bel,1982,23.7643
bel,1983,23.08965
bel,1984,21.42364
bel,1985,21.97528
bel,1986,22.80982
bel,1987,23.95232
bel,1988,25.12256
bel,1989,25.85482
bel,1990,46.20098
bel,1991,46.55172
bel,1992,47.61905
bel,1993,46.125
bel,1994,43.25909
bel,1995,41.91011
bel,1996,40.2763
bel,1997,40.87912
bel,1998,40.47878
bel,1999,41.66667
bel,2000,34.92268
bel,2001,35.46667
bel,2002,43.94507
bel,2003,47.23757
bel,2004,46.11187
bel,2005,46.96756
bel,2006,53.53038
bel,2007,60.47359
bel,2008,58.30325
ben,1970,45.03994
ben,1971,44.98602
ben,1972,45.38576
ben,1973,46.08698
ben,1974,44.62341
ben,1975,45.82459
ben,1976,46.33611
ben,1977,46.92266
ben,1978,46.87708
ben,1979,47.07911
ben,1980,47.80523
ben,1981,47.67642
ben,1982,48.08747
ben,1983,48.61098
ben,1984,48.90798
ben,1985,49.17361
ben,1986,47.74383
ben,1987,47.75203
ben,1988,47.40492
ben,1989,47.43591
ben,1990,89.28571
ben,1991,89.65517
ben,1992,89.26554
ben,1993,88.88889
ben,1994,89.00524
ben,1995,88.10811
ben,1996,90.14085
ben,1997,90.58296
ben,1998,91.81034
ben,1999,91.66667
ben,2000,92.21311
ben,2001,90.04975
ben,2002,91.37931
ben,2003,89.95215
ben,2004,89.5
ben,2005,90.83333
ben,2006,89.49772
ben,2007,88.64629
ben,2008,86.19048
bfa,1970,88.77621
bfa,1971,88.72388
bfa,1972,88.31161
bfa,1973,87.775
bfa,1974,87.67957
bfa,1975,87.78222
bfa,1976,87.82587
bfa,1977,88.18955
bfa,1978,87.97428
bfa,1979,88.06953
bfa,1980,88.31716
bfa,1981,88.60094
bfa,1982,88.75446
bfa,1983,88.91688
bfa,1984,89.08271
bfa,1985,89.72154
bfa,1986,89.27289
bfa,1987,89.32311
bfa,1988,89.48251
bfa,1989,89.50762
bfa,1990,95
bfa,1991,95.01992
bfa,1992,95.10763
bfa,1993,95
bfa,1994,92.30769
bfa,1995,92.47312
bfa,1996,92.22423
bfa,1997,92.72097
bfa,1998,92.96741
bfa,1999,93.31104
bfa,2000,93.64341
bfa,2001,92.90541
bfa,2002,93.00477
bfa,2003,94.08673
bfa,2004,93.98207
bfa,2005,93.95808
bfa,2006,93.68687
bfa,2007,93.55638
bfa,2008,93.56015
bgd,1970,76.49557
bgd,1971,76.99738
bgd,1972,76.92002
bgd,1973,75.98012
bgd,1974,76.22328
bgd,1975,76.28795
bgd,1976,76.44717
bgd,1977,77.77144
bgd,1978,77.32359
bgd,1979,77.28338
bgd,1980,76.07834
bgd,1981,76.06454
bgd,1982,76.15333
bgd,1983,76.10939
bgd,1984,75.22964
bgd,1985,75.43607
bgd,1986,75.69913
bgd,1987,76.15306
bgd,1988,75.10152
bgd,1989,75.43019
bgd,1990,92.50914
bgd,1991,92.79489
bgd,1992,92.86122
bgd,1993,92.95696
bgd,1994,93.14995
bgd,1995,93.43766
bgd,1996,93.32024
