geo,time,sp_pop_totl_fe_in
abw,1960,27635
abw,1961,28252
abw,1962,28660
abw,1963,28909
abw,1964,29092
abw,1965,29266
abw,1966,29451
abw,1967,29625
abw,1968,29799
abw,1969,29992
abw,1970,30182
abw,1971,30402
abw,1972,30639
abw,1973,30885
abw,1974,31064
abw,1975,31148
abw,1976,31111
abw,1977,30989
abw,1978,30833
abw,1979,30749
abw,1980,30806
abw,1981,31044
abw,1982,31455
abw,1983,31918
abw,1984,32222
abw,1985,32302
abw,1986,32056
abw,1987,31574
abw,1988,31100
abw,1989,30994
abw,1990,31493
abw,1991,32694
abw,1992,34485
abw,1993,36628
abw,1994,38788
abw,1995,40708
abw,1996,42300
abw,1997,43614
abw,1998,44759
abw,1999,45858
abw,2000,47019
abw,2001,48249
abw,2002,49506
abw,2003,50706
abw,2004,51716
abw,2005,52454
abw,2006,52895
abw,2007,53086
abw,2008,53109
abw,2009,53112
abw,2010,53200
abw,2011,53402
abw,2012,53695
abw,2013,54050
abw,2014,54408
abw,2015,54742
abw,2016,55044
abw,2017,55328
abw,2018,55602
abw,2019,55867
abw,2020,56124
afg,1960,4347394
afg,1961,4439156
afg,1962,4535392
afg,1963,4636170
afg,1964,4741527
afg,1965,4851553
afg,1966,4964718
afg,1967,5080813
afg,1968,5202606
afg,1969,5333936
afg,1970,5476630
afg,1971,5630099
afg,1972,5790327
afg,1973,5951120
afg,1974,6104377
afg,1975,6242891
afg,1976,6369361
afg,1977,6482150
afg,1978,6565176
afg,1979,6597855
afg,1980,6568227
afg,1981,6472949
afg,1982,6324845
afg,1983,6149028
afg,1984,5980043
afg,1985,5846315
afg,1986,5747657
afg,1987,5686382
afg,1988,5695339
afg,1989,5814528
afg,1990,6067694
afg,1991,6477343
afg,1992,7024451
afg,1993,7639816
afg,1994,8227017
afg,1995,8718035
afg,1996,9082951
afg,1997,9344885
afg,1998,9553498
afg,1999,9784258
afg,2000,10090449
afg,2001,10489238
afg,2002,10958668
afg,2003,11466237
afg,2004,11962963
afg,2005,12414590
afg,2006,12809162
afg,2007,13161572
afg,2008,13496556
afg,2009,13850751
afg,2010,14249755
afg,2011,14702050
afg,2012,15196504
afg,2013,15715314
afg,2014,16232001
afg,2015,16727437
afg,2016,17196034
afg,2017,17644126
afg,2018,18078879
afg,2019,18512030
afg,2020,18952076
ago,1960,2691228
ago,1961,2723756
ago,1962,2764418
ago,1963,2805973
ago,1964,2838088
ago,1965,2854424
ago,1966,2851120
ago,1967,2833547
ago,1968,2815789
ago,1969,2817270
ago,1970,2851560
ago,1971,2924403
ago,1972,3030866
ago,1973,3161052
ago,1974,3300203
ago,1975,3437420
ago,1976,3569942
ago,1977,3700950
ago,1978,3832790
ago,1979,3969827
ago,1980,4115191
ago,1981,4268958
ago,1982,4429534
ago,1983,4596506
ago,1984,4769228
ago,1985,4947169
ago,1986,5130467
ago,1987,5319218
ago,1988,5512806
ago,1989,5710436
ago,1990,5911638
ago,1991,6116458
ago,1992,6325395
ago,1993,6539142
ago,1994,6758623
ago,1995,6984738
ago,1996,7218187
ago,1997,7459618
ago,1998,7709857
ago,1999,7969817
ago,2000,8240458
ago,2001,8521795
ago,2002,8814755
ago,2003,9122235
ago,2004,9447886
ago,2005,9794134
ago,2006,10162225
ago,2007,10551020
ago,2008,10957506
ago,2009,11377265
ago,2010,11806970
ago,2011,12245836
ago,2012,12694373
ago,2013,13151985
ago,2014,13618285
ago,2015,14093136
ago,2016,14576127
ago,2017,15067450
ago,2018,15568328
ago,2019,16080520
ago,2020,16605398
alb,1960,781769
alb,1961,806619
alb,1962,831763
alb,1963,856833
alb,1964,881990
alb,1965,906689
alb,1966,930924
alb,1967,955715
alb,1968,983247
alb,1969,1012156
alb,1970,1038402
alb,1971,1064057
alb,1972,1091186
alb,1973,1117546
alb,1974,1143735
alb,1975,1170481
alb,1976,1196620
alb,1977,1223320
alb,1978,1248859
alb,1979,1273859
alb,1980,1300202
alb,1981,1326732
alb,1982,1355555
alb,1983,1385115
alb,1984,1414748
alb,1985,1443843
alb,1986,1470768
alb,1987,1498508
alb,1988,1525951
alb,1989,1569250
alb,1990,1603543
alb,1991,1604790
alb,1992,1610302
alb,1993,1617124
alb,1994,1620663
alb,1995,1617400
alb,1996,1605627
alb,1997,1586848
alb,1998,1564426
alb,1999,1543050
alb,2000,1525873
alb,2001,1509233
alb,2002,1506138
alb,2003,1504374
alb,2004,1502239
alb,2005,1497383
alb,2006,1489229
alb,2007,1478257
alb,2008,1466219
alb,2009,1454862
alb,2010,1445588
alb,2011,1438949
alb,2012,1433116
alb,2013,1426832
alb,2014,1420670
alb,2015,1414246
alb,2016,1410814
alb,2017,1409327
alb,2018,1406333
alb,2019,1401011
alb,2020,1393469
are,1960,46149
are,1961,48642
are,1962,51736
are,1963,55203
are,1964,58666
are,1965,61926
are,1966,64924
are,1967,67995
are,1968,71880
are,1969,77557
are,1970,85787
are,1971,96772
are,1972,110434
are,1973,126830
are,1974,145927
are,1975,167657
are,1976,192027
are,1977,218891
are,1978,247898
are,1979,278570
are,1980,310457
are,1981,343530
are,1982,377622
are,1983,412013
are,1984,445799
are,1985,478413
are,1986,509470
are,1987,539222
are,1988,568502
are,1989,598501
are,1990,630117
are,1991,663919
are,1992,699752
are,1993,736910
are,1994,774363
are,1995,811508
are,1996,848997
are,1997,887893
are,1998,928516
