global,time,sl_emp_1524_sp_ma_zs
world,1991,59.05106
world,1992,58.41666
world,1993,57.42883
world,1994,56.70003
world,1995,55.89327
world,1996,55.04532
world,1997,54.41773
world,1998,53.62356
world,1999,53.19346
world,2000,52.7586
world,2001,52.28103
world,2002,51.6964
world,2003,51.22058
world,2004,51.27208
world,2005,50.87166
world,2006,50.47413
world,2007,49.94037
world,2008,49.25821
world,2009,47.79275
world,2010,47.00211
world,2011,46.38317
world,2012,45.63115
world,2013,44.92451
world,2014,44.32955
world,2015,43.62152
world,2016,43.04247
world,2017,42.66373
world,2018,42.38129
world,2019,42.19153
world,2020,38.82459
