global,time,sl_emp_totl_sp_ma_zs
world,1991,75.94031
world,1992,75.66571
world,1993,75.22046
world,1994,74.86828
world,1995,74.55875
world,1996,74.29344
world,1997,74.17476
world,1998,73.84768
world,1999,73.66094
world,2000,73.62528
world,2001,73.28983
world,2002,72.86868
world,2003,72.59888
world,2004,72.64632
world,2005,72.56628
world,2006,72.53348
world,2007,72.4644
world,2008,72.18986
world,2009,71.34144
world,2010,71.1553
world,2011,71.11794
world,2012,70.90116
world,2013,70.58341
world,2014,70.39237
world,2015,70.17532
world,2016,69.89132
world,2017,69.68831
world,2018,69.56633
world,2019,69.42447
world,2020,66.55884
world,2021,67.34037
