global,time,sp_dyn_imrt_ma_in
world,1990,68.7
world,1991,67.8
world,1992,66.8
world,1993,65.8
world,1994,64.8
world,1995,63.5
world,1996,62.2
world,1997,60.7
world,1998,59.1
world,1999,57.6
world,2000,55.7
world,2001,53.9
world,2002,52
world,2003,50.1
world,2004,48.5
world,2005,46.6
world,2006,45
world,2007,43.4
world,2008,41.9
world,2009,40.4
world,2010,39.1
world,2011,37.7
world,2012,36.5
world,2013,35.5
world,2014,34.4
world,2015,33.5
world,2016,32.6
world,2017,31.7
world,2018,30.9
world,2019,30.2
world,2020,29.5
