global,time,nv_ind_totl_kd_zg
world,1995,2.89946
world,1996,3.26351
world,1997,3.31392
world,1998,2.15891
world,1999,3.19319
world,2000,5.04241
world,2001,0.00339
world,2002,1.49315
world,2003,3.71279
world,2004,5.37467
world,2005,3.77396
world,2006,5.45985
world,2007,4.61079
world,2008,0.96219
world,2009,-4.63456
world,2010,6.6905
world,2011,3.86795
world,2012,2.37408
world,2013,2.96556
world,2014,3.591
world,2015,3.39658
world,2016,2.84049
world,2017,3.62592
world,2018,3.50103
world,2019,1.94678
world,2020,-2.48074
