geo,time,fr_inr_dpst
abw,1986,6.4
abw,1987,6.58333
abw,1988,6.7
abw,1989,6.7
abw,1990,6.7
abw,1991,6.55
abw,1992,5.89167
abw,1993,4.975
abw,1994,3.99167
abw,1995,4.36667
abw,1996,4.26667
abw,1997,4.35833
abw,1998,4.9
abw,1999,6.16667
abw,2000,6.2
abw,2001,6.5
abw,2002,6.2
abw,2003,5.1
abw,2004,3.1
abw,2005,4.1
abw,2006,4.4
abw,2007,4.5
abw,2008,4.2
abw,2009,3.4
abw,2010,1.9
abw,2011,1.6
abw,2012,1.4
abw,2013,3.2
abw,2014,2.3
abw,2015,1.9
abw,2016,2
abw,2017,1.6
abw,2018,1.2
abw,2019,2.2
abw,2020,1.3
ago,1995,125.91667
ago,1996,147.125
ago,1997,29.25
ago,1998,36.875
ago,1999,36.5725
ago,2000,39.5784
ago,2001,47.90879
ago,2002,48.69083
ago,2003,26.1725
ago,2004,15.43935
ago,2005,13.3985
ago,2006,4.50033
ago,2007,6.75643
ago,2008,6.53808
ago,2009,7.58937
ago,2010,12.7563
ago,2011,6.30923
ago,2012,3.60364
ago,2013,3.14507
ago,2014,3.52696
ago,2015,3.31462
ago,2016,5.54432
ago,2017,6.34219
ago,2018,6.87666
ago,2019,6.4154
ago,2020,6.20173
ago,2021,7.04591
alb,1992,18.5
alb,1993,27.33333
alb,1994,19.83333
alb,1995,15.3
alb,1996,16.78333
alb,1997,27.27583
alb,1998,22.56
alb,1999,12.94583
alb,2000,8.3025
alb,2001,7.725
alb,2002,8.53833
alb,2003,8.3755
alb,2004,6.60669
alb,2005,5.08755
alb,2006,5.22743
alb,2007,5.6591
alb,2008,6.80274
alb,2009,6.77244
alb,2010,6.41754
alb,2011,5.86175
alb,2012,5.42491
alb,2013,4.1642
alb,2014,1.91417
alb,2015,1.39333
alb,2016,0.83083
alb,2017,0.76667
alb,2018,0.75167
alb,2019,0.4925
alb,2020,0.40933
alb,2021,0.41
arg,2010,9.16684
arg,2011,10.67917
arg,2012,12.0235
arg,2013,14.85445
arg,2014,20.41768
arg,2015,21.16915
arg,2016,24.27996
arg,2017,18.99974
arg,2018,31.9214
arg,2019,47.28679
arg,2020,29.32014
arg,2021,33.54533
arm,1995,56.18333
arm,1996,32.19167
arm,1997,26.07667
arm,1998,24.93583
arm,1999,27.34917
arm,2000,18.07774
arm,2001,14.90167
arm,2002,9.59877
arm,2003,6.87451
arm,2004,4.89602
arm,2005,5.81314
arm,2006,5.83669
arm,2007,6.2543
arm,2008,6.62802
arm,2009,8.65293
arm,2010,8.95026
arm,2011,9.24804
arm,2012,9.56911
arm,2013,10.16027
arm,2014,10.42579
arm,2015,14.14816
arm,2016,11.61566
arm,2017,9.01333
arm,2018,8.66373
arm,2019,8.48695
arm,2020,8.11789
arm,2021,8.24153
atg,1982,4.99614
atg,1983,7.60523
atg,1984,7.99382
atg,1985,7.99382
atg,1986,5.30146
atg,1987,5.09329
atg,1988,4.66306
atg,1989,4.99614
atg,1990,5.99537
atg,1991,5.99537
atg,1992,5.75262
atg,1993,5.00783
atg,1994,4.18785
atg,1995,4.02228
atg,1996,4.33129
atg,1997,4.35611
atg,1998,4.34438
atg,1999,4.44955
atg,2000,5.17722
atg,2001,4.48931
atg,2002,4.36397
atg,2003,4.857
atg,2004,4.12193
atg,2005,3.85811
atg,2006,3.83456
atg,2007,3.52392
atg,2008,3.5372
atg,2009,3.48358
atg,2010,3.37031
atg,2011,3.37538
atg,2012,3.16043
atg,2013,3.04435
atg,2014,2.89339
atg,2015,2.46617
atg,2016,1.9275
atg,2017,1.755
atg,2018,1.65209
atg,2019,1.57649
atg,2020,1.5146
atg,2021,1.58213
aus,1981,13.62458
aus,1982,15.01335
aus,1983,12.84979
aus,1984,12.46483
aus,1985,14.00953
aus,1986,16.21695
aus,1987,14.88178
aus,1988,13.36144
aus,1989,18.3464
aus,1990,15.82712
aus,1991,11.05169
aus,1992,7.12415
aus,1993,5.76462
aus,1994,5.75
aus,1995,7.14852
aus,1996,6.68072
aus,1997,5.04831
aus,1998,4.33686
aus,1999,4.05911
aus,2000,4.90699
aus,2001,3.7375
aus,2002,3.7
aus,2003,3.50833
aus,2004,3.85
aus,2005,3.89167
aus,2006,4.0625
aus,2007,4.52917
aus,2008,4.725
aus,2009,3.07917
aus,2010,4.2125
aus,2011,4.3375
aus,2012,3.91667
aus,2013,3.25
aus,2014,2.90417
aus,2015,2.30417
aus,2016,2.14167
aus,2017,2.00833
aus,2018,1.97917
aus,2019,1.55833
aze,1998,13.46
aze,1999,12.08
aze,2000,12.89917
aze,2001,8.45833
aze,2002,8.65917
aze,2003,9.54333
aze,2004,9.18167
aze,2005,8.52
aze,2006,10.58083
aze,2007,11.55667
aze,2008,12.22417
aze,2009,12.19583
aze,2010,11.64
aze,2011,10.87417
aze,2012,10.215
aze,2013,9.89167
aze,2014,9.17167
aze,2015,8.99833
aze,2016,7.73289
aze,2017,8.42833
aze,2018,10.27583
aze,2019,9.69417
aze,2020,8.69071
aze,2021,8.70763
ben,2005,7.6075
ben,2006,7.82167
ben,2007,7.81333
ben,2008,8.12417
ben,2009,8.57917
ben,2010,8.38667
ben,2011,8.50083
ben,2012,7.9925
ben,2013,7.65417
ben,2014,7.25833
ben,2015,6.99833
ben,2016,6.925
ben,2017,5.26667
ben,2018,5.39333
ben,2019,5.31167
ben,2020,5.095
ben,2021,5.3
bfa,2005,7.6075
bfa,2006,7.82167
bfa,2007,7.81333
bfa,2008,8.12417
bfa,2009,8.57917
bfa,2010,8.38667
bfa,2011,8.50083
bfa,2012,7.9925
bfa,2013,7.65417
bfa,2014,7.25833
bfa,2015,6.99833
bfa,2016,6.925
bfa,2017,5.26667
bfa,2018,5.39333
bfa,2019,5.31167
bfa,2020,5.095
bfa,2021,5.3
bgd,1976,7.6538
bgd,1977,7.93727
bgd,1978,7.93727
bgd,1979,7.93727
bgd,1980,9.35464
bgd,1981,13.60676
bgd,1982,13.60676
bgd,1983,13.60676
bgd,1984,13.60676
bgd,1985,13.60676
bgd,1986,13.60676
bgd,1987,13.60676
bgd,1988,13.60676
bgd,1989,13.60676
bgd,1990,13.65211
bgd,1991,13.66345
bgd,1992,11.86717
bgd,1993,9.27338
bgd,1994,7.26072
bgd,1995,6.85251
bgd,1996,8.25949
bgd,1997,9.20062
bgd,1998,9.30167
bgd,1999,9.4375
bgd,2000,8.68667
bgd,2001,9.15333
bgd,2002,7.9075
bgd,2003,7.11
bgd,2004,5.80167
bgd,2005,5.53417
bgd,2006,5.985
bgd,2007,6.99333
bgd,2008,7.54667
bgd,2009,7.81417
bgd,2010,7.21083
bgd,2011,8.8375
bgd,2012,10.21583
bgd,2013,11.72167
bgd,2014,9.8
bgd,2015,8.24417
bgd,2016,6.19917
bgd,2017,5.60583
bgd,2018,6.6575
bgd,2019,6.775
bgd,2020,6.0675
bgd,2021,5.045
bgr,2000,3.13848
bgr,2001,2.91938
bgr,2002,2.80317
bgr,2003,2.93229
bgr,2004,3.04971
bgr,2005,3.08435
bgr,2006,3.17257
bgr,2007,3.68195
bgr,2008,4.44464
bgr,2009,6.1775
bgr,2010,4.07608
bgr,2011,3.36827
bgr,2012,3.08417
bgr,2013,2.41331
bgr,2014,1.65582
bgr,2015,0.61389
bgr,2016,0.17338
bgr,2017,0.04631
bgr,2018,0.02746
bgr,2019,0.02497
bgr,2020,0.01331
bgr,2021,0.01577
bhr,1976,6.5
bhr,1977,6.5
bhr,1978,6.5
bhr,1979,6.83333
bhr,1980,7.875
bhr,1981,9
bhr,1982,8.58333
bhr,1983,7
bhr,1984,7
bhr,1985,6.70833
bhr,1986,5.58333
bhr,1987,5
bhr,1988,5.5
bhr,1989,7.33333
bhr,1990,7.5
bhr,1992,3.625
bhr,1993,3.025
bhr,1994,4
bhr,1995,5.7
bhr,1996,5.175
bhr,1997,5.275
bhr,1998,4.735
bhr,1999,4.795
bhr,2000,5.8175
bhr,2001,2.7075
bhr,2002,1.335
bhr,2003,1.475
bhr,2004,1.5425
bhr,2005,3.1425
bhr,2006,4.37
bhr,2007,4.485
bhr,2008,1.6475
bhr,2009,1.58167
bhr,2010,1.225
bhr,2011,1.0225
bhr,2012,1.08417
bhr,2013,1.05833
bhr,2014,0.98167
bhr,2015,0.99333
bhs,1985,6.39833
bhs,1986,5.57
bhs,1987,5.5
bhs,1988,5.97
bhs,1989,6.48333
bhs,1990,6.57083
bhs,1991,6.91667
bhs,1992,6.13333
bhs,1993,5.19
bhs,1994,4.30083
bhs,1995,4.19667
bhs,1996,5.13583
bhs,1997,5.22833
bhs,1998,5.3625
bhs,1999,4.5725
bhs,2000,4.07917
bhs,2001,4.24583
bhs,2002,4.25167
bhs,2003,3.94917
bhs,2004,3.825
bhs,2005,3.22333
bhs,2006,3.35833
bhs,2007,3.69083
bhs,2008,3.92083
bhs,2009,3.7825
bhs,2010,3.44083
bhs,2011,2.63369
bhs,2012,2.01208
bhs,2013,1.68
bhs,2014,1.4175
bhs,2015,1.405
bhs,2016,1.24167
bhs,2017,0.99417
bhs,2018,0.84083
bhs,2019,0.58833
bhs,2020,0.45229
bhs,2021,0.5215
bih,2002,4.52833
bih,2003,4.025
bih,2004,3.72083
bih,2005,3.56417
bih,2006,3.69333
bih,2007,3.55583
bih,2008,3.485
bih,2009,3.6
bih,2010,3.15917
bih,2011,2.79583
bih,2012,3.17733
bih,2013,3.00617
bih,2014,2.66179
bih,2015,2.05966
bih,2016,1.58257
bih,2017,1.20899
bih,2018,0.98174
bih,2019,0.91289
bih,2020,0.7958
bih,2021,0.57641
blr,1993,65.075
blr,1994,89.6
blr,1995,100.81667
blr,1996,32.35833
blr,1997,15.64167
blr,1998,14.33333
blr,1999,23.8
blr,2000,37.55
blr,2001,34.175
blr,2002,26.85
blr,2003,17.44167
blr,2004,12.71667
blr,2005,9.23333
blr,2006,7.68333
blr,2007,8.30833
blr,2008,8.525
