geo,time,ag_lnd_totl_k2
abw,1961,180
abw,1962,180
abw,1963,180
abw,1964,180
abw,1965,180
abw,1966,180
abw,1967,180
abw,1968,180
abw,1969,180
abw,1970,180
abw,1971,180
abw,1972,180
abw,1973,180
abw,1974,180
abw,1975,180
abw,1976,180
abw,1977,180
abw,1978,180
abw,1979,180
abw,1980,180
abw,1981,180
abw,1982,180
abw,1983,180
abw,1984,180
abw,1985,180
abw,1986,180
abw,1987,180
abw,1988,180
abw,1989,180
abw,1990,180
abw,1991,180
abw,1992,180
abw,1993,180
abw,1994,180
abw,1995,180
abw,1996,180
abw,1997,180
abw,1998,180
abw,1999,180
abw,2000,180
abw,2001,180
abw,2002,180
abw,2003,180
abw,2004,180
abw,2005,180
abw,2006,180
abw,2007,180
abw,2008,180
abw,2009,180
abw,2010,180
abw,2011,180
abw,2012,180
abw,2013,180
abw,2014,180
abw,2015,180
abw,2016,180
abw,2017,180
abw,2018,180
abw,2019,180
abw,2020,180
abw,2021,180
afg,1961,652860
afg,1962,652860
afg,1963,652860
afg,1964,652860
afg,1965,652860
afg,1966,652860
afg,1967,652860
afg,1968,652860
afg,1969,652860
afg,1970,652860
afg,1971,652860
afg,1972,652860
afg,1973,652860
afg,1974,652860
afg,1975,652860
afg,1976,652860
afg,1977,652860
afg,1978,652860
afg,1979,652860
afg,1980,652860
afg,1981,652860
afg,1982,652860
afg,1983,652860
afg,1984,652860
afg,1985,652860
afg,1986,652860
afg,1987,652860
afg,1988,652860
afg,1989,652860
afg,1990,652860
afg,1991,652860
afg,1992,652860
afg,1993,652860
afg,1994,652860
afg,1995,652860
afg,1996,652860
afg,1997,652860
afg,1998,652860
afg,1999,652860
afg,2000,652860
afg,2001,652860
afg,2002,652860
afg,2003,652860
afg,2004,652860
afg,2005,652860
afg,2006,652860
afg,2007,652860
afg,2008,652860
afg,2009,652860
afg,2010,652860
afg,2011,652860
afg,2012,652860
afg,2013,652860
afg,2014,652860
afg,2015,652860
afg,2016,652860
afg,2017,652860
afg,2018,652860
afg,2019,652860
afg,2020,652860
afg,2021,652860
ago,1961,1246700
ago,1962,1246700
ago,1963,1246700
ago,1964,1246700
ago,1965,1246700
ago,1966,1246700
ago,1967,1246700
ago,1968,1246700
ago,1969,1246700
ago,1970,1246700
ago,1971,1246700
ago,1972,1246700
ago,1973,1246700
ago,1974,1246700
ago,1975,1246700
ago,1976,1246700
ago,1977,1246700
ago,1978,1246700
ago,1979,1246700
ago,1980,1246700
ago,1981,1246700
ago,1982,1246700
ago,1983,1246700
ago,1984,1246700
ago,1985,1246700
ago,1986,1246700
ago,1987,1246700
ago,1988,1246700
ago,1989,1246700
ago,1990,1246700
ago,1991,1246700
ago,1992,1246700
ago,1993,1246700
ago,1994,1246700
ago,1995,1246700
ago,1996,1246700
ago,1997,1246700
ago,1998,1246700
ago,1999,1246700
ago,2000,1246700
ago,2001,1246700
ago,2002,1246700
ago,2003,1246700
ago,2004,1246700
ago,2005,1246700
ago,2006,1246700
ago,2007,1246700
ago,2008,1246700
ago,2009,1246700
ago,2010,1246700
ago,2011,1246700
ago,2012,1246700
ago,2013,1246700
ago,2014,1246700
ago,2015,1246700
ago,2016,1246700
ago,2017,1246700
ago,2018,1246700
ago,2019,1246700
ago,2020,1246700
ago,2021,1246700
alb,1961,27400
alb,1962,27400
alb,1963,27400
alb,1964,27400
alb,1965,27400
alb,1966,27400
alb,1967,27400
alb,1968,27400
alb,1969,27400
alb,1970,27400
alb,1971,27400
alb,1972,27400
alb,1973,27400
alb,1974,27400
alb,1975,27400
alb,1976,27400
alb,1977,27400
alb,1978,27400
alb,1979,27400
alb,1980,27400
alb,1981,27400
alb,1982,27400
alb,1983,27400
alb,1984,27400
alb,1985,27400
alb,1986,27400
alb,1987,27400
alb,1988,27400
alb,1989,27400
alb,1990,27400
alb,1991,27400
alb,1992,27400
alb,1993,27400
alb,1994,27400
alb,1995,27400
alb,1996,27400
alb,1997,27400
alb,1998,27400
alb,1999,27400
alb,2000,27400
alb,2001,27400
alb,2002,27400
alb,2003,27400
alb,2004,27400
alb,2005,27400
alb,2006,27400
alb,2007,27400
alb,2008,27400
alb,2009,27400
alb,2010,27400
alb,2011,27400
alb,2012,27400
alb,2013,27400
alb,2014,27400
alb,2015,27400
alb,2016,27400
alb,2017,27400
alb,2018,27400
alb,2019,27400
alb,2020,27400
alb,2021,27400
and,1961,470
and,1962,470
and,1963,470
and,1964,470
and,1965,470
and,1966,470
and,1967,470
and,1968,470
and,1969,470
and,1970,470
and,1971,470
and,1972,470
and,1973,470
and,1974,470
and,1975,470
and,1976,470
and,1977,470
and,1978,470
and,1979,470
and,1980,470
and,1981,470
and,1982,470
and,1983,470
and,1984,470
and,1985,470
and,1986,470
and,1987,470
and,1988,470
and,1989,470
and,1990,470
and,1991,470
and,1992,470
and,1993,470
and,1994,470
and,1995,470
and,1996,470
and,1997,470
and,1998,470
and,1999,470
and,2000,470
and,2001,470
and,2002,470
and,2003,470
and,2004,470
and,2005,470
and,2006,470
and,2007,470
and,2008,470
and,2009,470
and,2010,470
and,2011,470
and,2012,470
and,2013,470
and,2014,470
and,2015,470
and,2016,470
and,2017,470
and,2018,470
and,2019,470
and,2020,470
and,2021,470
are,1961,71020
are,1962,71020
are,1963,71020
are,1964,71020
are,1965,71020
are,1966,71020
are,1967,71020
are,1968,71020
are,1969,71020
are,1970,71020
are,1971,71020
are,1972,71020
are,1973,71020
are,1974,71020
are,1975,71020
are,1976,71020
are,1977,71020
are,1978,71020
are,1979,71020
are,1980,71020
are,1981,71020
are,1982,71020
are,1983,71020
are,1984,71020
are,1985,71020
are,1986,71020
are,1987,71020
are,1988,71020
are,1989,71020
are,1990,71020
are,1991,71020
are,1992,71020
are,1993,71020
are,1994,71020
are,1995,71020
are,1996,71020
are,1997,71020
are,1998,71020
are,1999,71020
are,2000,71020
are,2001,71020
are,2002,71020
are,2003,71020
are,2004,71020
are,2005,71020
are,2006,71020
are,2007,71020
are,2008,71020
are,2009,71020
are,2010,71020
are,2011,71020
are,2012,71020
are,2013,71020
are,2014,71020
are,2015,71020
are,2016,71020
are,2017,71020
are,2018,71020
are,2019,71020
are,2020,71020
are,2021,71020
arg,1961,2736690
arg,1962,2736690
arg,1963,2736690
arg,1964,2736690
arg,1965,2736690
arg,1966,2736690
arg,1967,2736690
arg,1968,2736690
arg,1969,2736690
arg,1970,2736690
arg,1971,2736690
arg,1972,2736690
arg,1973,2736690
arg,1974,2736690
arg,1975,2736690
arg,1976,2736690
arg,1977,2736690
arg,1978,2736690
arg,1979,2736690
arg,1980,2736690
arg,1981,2736690
arg,1982,2736690
arg,1983,2736690
arg,1984,2736690
arg,1985,2736690
arg,1986,2736690
arg,1987,2736690
arg,1988,2736690
arg,1989,2736690
arg,1990,2736690
arg,1991,2736690
arg,1992,2736690
arg,1993,2736690
arg,1994,2736690
arg,1995,2736690
arg,1996,2736690
arg,1997,2736690
arg,1998,2736690
arg,1999,2736690
arg,2000,2736690
arg,2001,2736690
arg,2002,2736690
arg,2003,2736690
arg,2004,2736690
arg,2005,2736690
arg,2006,2736690
arg,2007,2736690
arg,2008,2736690
arg,2009,2736690
