global,time,ny_adj_nnty_kd
world,1971,19112174973004.5
world,1972,20169712284250.80078
world,1973,21362177996297.60156
world,1974,21019927965723.39844
world,1975,21124148731548.80078
world,1976,22157148161311.30078
world,1977,22932604377524.69531
world,1978,23969769444586.5
world,1979,24392047326855.89453
world,1980,24459216688213.19922
world,1981,24938117237760.69531
world,1982,25159490856706.69531
world,1983,26136777094399.89453
world,1984,27747297469916.80078
world,1985,29142654676530
world,1986,30217836597927.69531
world,1987,31029768077360.19922
world,1988,31814377109885.69531
world,1989,32846954846070.69531
world,1990,33844475539174.39844
world,1991,34311593150421.39844
world,1992,35194031579491.29688
world,1993,35698110325390.70312
world,1994,37081179754936.89844
world,1995,38210042308828.39844
world,1996,39154805211466.29688
world,1997,40704036362820.39844
world,1998,41512041956638.09375
world,1999,42754667046964
world,2000,44234130541752.39844
world,2001,45192296215353.39844
world,2002,46866657712543.29688
world,2003,47661577189457.79688
world,2004,50198337847079.20312
world,2005,52064587400487.89844
world,2006,54766523338347.29688
world,2007,57529918614913.29688
world,2008,57438744635893.10156
world,2009,57088673137834.60156
world,2010,59997689088136.20312
world,2011,61626000512234.49219
world,2012,56268339056708.39844
world,2013,57601918940498
world,2014,59570811276375.20312
world,2015,61475319602770.39844
world,2016,63101723733101.29688
world,2017,65445461882388.29688
world,2018,67105756514583.29688
world,2019,68634618847696.09375
