geo,time,ms_mil_xpnd_zs
afg,2004,16.13434
afg,2005,12.68976
afg,2006,10.36038
afg,2007,11.9484
afg,2008,11.16541
afg,2009,9.86039
afg,2010,9.3546
afg,2011,8.30276
afg,2012,4.69637
afg,2013,4.31176
afg,2014,5.10979
afg,2015,3.83314
afg,2016,3.68025
afg,2017,3.65259
afg,2018,3.72486
afg,2019,4.27574
afg,2020,4.48966
ago,1996,6.03292
ago,1997,13.87546
ago,1998,6.23387
ago,1999,27.37552
ago,2000,12.88332
ago,2001,10.78863
ago,2002,9.19173
ago,2003,10.93456
ago,2004,11.647
ago,2005,13.91894
ago,2006,12.29089
ago,2007,8.16726
ago,2008,6.78449
ago,2009,10.46416
ago,2010,10.60449
ago,2011,8.70454
ago,2012,8.69862
ago,2013,12.02507
ago,2014,12.88774
ago,2015,11.47985
ago,2016,12.39996
ago,2017,10.53525
ago,2018,9.50392
ago,2019,8.55102
ago,2020,7.7938
alb,2005,4.73438
alb,2006,5.42899
alb,2007,6.22608
alb,2008,6.2562
alb,2009,4.64273
alb,2010,5.30374
alb,2011,5.28386
alb,2012,5.2679
alb,2013,4.82649
alb,2014,4.24378
alb,2015,3.82627
alb,2016,3.78723
alb,2017,3.80518
alb,2018,4.02943
alb,2019,4.39407
alb,2020,4.66811
are,1997,19.15982
are,1998,20.60725
are,1999,20.652
are,2000,26.18588
are,2001,22.24509
are,2002,22.85465
are,2003,23.40298
are,2004,26.04259
are,2005,23.2249
are,2006,20.64326
are,2007,18.58166
are,2008,16.71084
are,2009,15.5931
are,2010,18.74156
are,2011,17.54851
are,2012,17.42759
are,2013,19.91489
are,2014,17.03877
arg,1995,5.76285
arg,1996,4.89338
arg,1997,4.51497
arg,1998,4.39388
arg,1999,4.2852
arg,2000,4.0698
arg,2001,4.0071
arg,2002,4.46886
arg,2003,4.30795
arg,2004,3.83548
arg,2005,3.46832
arg,2006,2.96143
arg,2007,2.682
arg,2008,2.47951
arg,2009,2.56777
arg,2010,2.44282
arg,2011,2.18981
arg,2012,2.13144
arg,2013,2.22785
arg,2014,2.26006
arg,2015,2.05512
arg,2016,1.94895
arg,2017,2.06159
arg,2018,1.88014
arg,2019,1.83507
arg,2020,1.71141
arm,2005,14.45281
arm,2006,14.73773
arm,2007,13.571
arm,2008,15.27066
arm,2009,14.55882
arm,2010,16.28077
arm,2011,15.43779
arm,2012,15.98841
arm,2013,16.79748
arm,2014,16.4371
arm,2015,16.09987
arm,2016,15.12266
arm,2017,14.79148
arm,2018,17.13067
arm,2019,19.22597
arm,2020,16.71953
aus,1988,7.04352
aus,1989,6.91502
aus,1990,6.79191
aus,1991,6.54926
aus,1992,6.36202
aus,1993,6.38109
aus,1994,6.26089
aus,1995,6.00409
aus,1996,5.76108
aus,1997,5.6863
aus,1998,5.38823
aus,1999,5.20877
aus,2000,5.18288
aus,2001,5.23376
aus,2002,5.35459
aus,2003,5.28148
aus,2004,5.23522
aus,2005,5.1995
aus,2006,5.26489
aus,2007,5.28442
aus,2008,5.12611
aus,2009,5.09118
aus,2010,5.02028
aus,2011,4.83693
aus,2012,4.56899
aus,2013,4.49406
aus,2014,4.81012
aus,2015,5.22469
aus,2016,5.59138
aus,2017,5.43709
aus,2018,5.13013
aus,2019,4.88985
aus,2020,4.63774
aut,1988,2.70275
aut,1989,2.63571
aut,1990,2.54509
aut,1991,2.41118
aut,1992,2.23902
aut,1993,2.05751
aut,1994,2.02628
aut,1995,1.90123
aut,1996,1.86221
aut,1997,1.94612
aut,1998,1.83072
aut,1999,1.94447
aut,2000,1.93159
aut,2001,1.76504
aut,2002,1.68193
aut,2003,1.82318
aut,2004,1.65791
aut,2005,1.66192
aut,2006,1.55983
aut,2007,1.82864
aut,2008,1.74591
aut,2009,1.53928
aut,2010,1.55432
aut,2011,1.55407
aut,2012,1.52005
aut,2013,1.45375
aut,2014,1.42911
aut,2015,1.36813
aut,2016,1.45876
aut,2017,1.54374
aut,2018,1.52967
aut,2019,1.50482
aut,2020,1.43036
aze,1994,8.02326
aze,1995,14.67337
aze,1996,11.40741
aze,1997,11.5047
aze,1998,13.3871
aze,1999,13.46467
aze,2000,12.42741
aze,2001,13.77803
aze,2002,9.69351
aze,2003,11.20155
aze,2004,10.85673
aze,2005,10.22013
aze,2006,13.50833
aze,2007,10.98742
aze,2008,10.46834
aze,2009,9.63696
aze,2010,8.73333
aze,2011,13.84348
aze,2012,12.7159
aze,2013,12.01947
aze,2014,12.52259
aze,2015,14.12855
aze,2016,10.42616
aze,2017,10.55362
aze,2018,10.71181
aze,2019,11.54652
aze,2020,12.70056
bdi,1990,17.28188
bdi,1991,16.37926
bdi,1992,11.85305
bdi,1993,13.8276
bdi,1994,20.10519
bdi,1995,16.362
bdi,1996,20.60141
bdi,1997,29.11908
bdi,1998,28.33899
bdi,1999,24.75613
bdi,2000,19.72922
bdi,2001,23.90262
bdi,2002,22.60865
bdi,2003,15.17343
bdi,2004,12.01666
bdi,2005,13.38528
bdi,2006,9.62808
bdi,2007,8.76318
bdi,2008,6.61009
bdi,2012,6.73123
bdi,2013,7.13968
bdi,2014,8.07471
bdi,2015,9.19945
bdi,2016,9.93676
bdi,2017,8.31228
bdi,2018,7.95388
bdi,2019,9.05055
bdi,2020,6.86565
bel,1988,4.63837
bel,1989,4.47022
bel,1990,4.2796
bel,1991,4.06262
bel,1992,3.2373
bel,1993,3.00544
bel,1994,3.03096
bel,1995,2.93407
bel,1996,2.86382
bel,1997,2.82523
bel,1998,2.78141
bel,1999,2.76042
bel,2000,2.73463
bel,2001,2.59931
bel,2002,2.45226
bel,2003,2.39228
bel,2004,2.34514
bel,2005,2.11453
bel,2006,2.16466
bel,2007,2.26103
bel,2008,2.40651
bel,2009,2.13561
bel,2010,2.02398
bel,2011,1.90259
bel,2012,1.84455
bel,2013,1.79798
bel,2014,1.74634
bel,2015,1.69264
bel,2016,1.68453
bel,2017,1.69835
bel,2018,1.7083
bel,2019,1.71967
bel,2020,1.77507
ben,1989,10.46518
ben,1990,9.23934
ben,1999,4.51694
ben,2000,2.63947
ben,2001,2.31735
ben,2002,4.07498
ben,2003,4.72912
ben,2004,5.06117
ben,2005,4.81642
ben,2006,5.11866
ben,2008,4.56348
ben,2012,4.93158
ben,2013,4.6142
ben,2014,4.92757
ben,2015,4.39874
ben,2016,4.36613
ben,2017,5.17636
ben,2018,3.82293
ben,2019,3.24163
ben,2020,2.70389
bfa,1988,11.99144
bfa,1989,16.01452
bfa,1990,13.14482
bfa,1991,11.61708
bfa,1992,11.24647
bfa,1993,9.41533
bfa,1994,7.96159
bfa,1995,7.08714
bfa,1996,6.46393
bfa,1997,6.99255
bfa,1998,6.34202
bfa,1999,5.75814
bfa,2000,6.2442
bfa,2001,5.87756
bfa,2002,6.05109
bfa,2003,6.09743
bfa,2004,5.95841
bfa,2005,5.94498
bfa,2006,5.07504
bfa,2007,6.19887
bfa,2008,6.68571
bfa,2009,6.28634
bfa,2010,5.65589
bfa,2011,5.63175
bfa,2012,5.18807
bfa,2013,4.89335
bfa,2014,6.0797
bfa,2015,6.1437
bfa,2016,5.38717
bfa,2017,5.19531
bfa,2018,7.94946
bfa,2019,9.52463
bfa,2020,8.46896
bgd,1988,10.33377
bgd,1989,10.45006
bgd,1990,10.28201
bgd,1991,10.42656
bgd,1992,11.58163
bgd,1993,11.15832
bgd,1994,11.82608
bgd,1995,11.44236
bgd,1996,11.98728
bgd,1997,12.26547
bgd,1998,12.32689
bgd,1999,14.15816
bgd,2000,12.3097
bgd,2001,10.51397
bgd,2002,10.12357
bgd,2003,9.87597
bgd,2004,10.10515
bgd,2005,9.47922
bgd,2006,9.77436
bgd,2007,10.35752
bgd,2008,8.13035
bgd,2009,9.72939
bgd,2010,11.17228
bgd,2011,10.45518
bgd,2012,9.94524
bgd,2013,9.13186
bgd,2014,9.72599
bgd,2015,10.51398
bgd,2016,10.92092
bgd,2017,9.78248
bgd,2018,9.46241
bgd,2019,9.55974
bgd,2020,9.31099
bgr,1998,6.96468
bgr,1999,7.24462
bgr,2000,7.14354
bgr,2001,7.84747
bgr,2002,7.92535
bgr,2003,7.52499
bgr,2004,6.85835
bgr,2005,6.56793
bgr,2006,6.40533
bgr,2007,6.72976
bgr,2008,6.37285
bgr,2009,5.15093
bgr,2010,4.75326
bgr,2011,4.11218
bgr,2012,4.08945
bgr,2013,4.0994
bgr,2014,3.53182
bgr,2015,3.33762
bgr,2016,3.80092
bgr,2017,3.81598
bgr,2018,4.2221
bgr,2019,8.73665
bgr,2020,4.80694
bhr,1990,14.28571
bhr,1991,16.98113
bhr,1992,16.74641
bhr,1993,16.77316
bhr,1994,16.28615
bhr,1995,17.09145
bhr,1996,19.29825
bhr,1997,13.6108
bhr,1998,17.58865
bhr,1999,17.01863
bhr,2000,17.15375
bhr,2001,14.64435
bhr,2002,14.52174
bhr,2003,15.91468
bhr,2004,15.52795
bhr,2005,12.90107
bhr,2006,12.86651
bhr,2007,12.66247
bhr,2008,11.84164
bhr,2009,14.08412
bhr,2010,11.48188
bhr,2011,12.94039
bhr,2012,12.04607
bhr,2013,12.06429
bhr,2014,15.55088
bhr,2015,12.67118
bhr,2016,13.30078
bhr,2017,13.34646
bhr,2018,12.00669
bhr,2019,12.197
bhr,2020,12.52549
bih,2002,7.55265
bih,2003,5.03363
bih,2004,4.32063
bih,2005,3.46768
bih,2006,3.13458
bih,2007,2.73448
bih,2008,2.52302
bih,2009,2.81081
bih,2010,2.58874
bih,2011,2.45007
bih,2012,2.44406
bih,2013,2.41657
bih,2014,2.22141
bih,2015,2.30364
bih,2016,2.21351
bih,2017,2.12
bih,2018,2.06584
bih,2019,2.0258
bih,2020,1.95256
blr,2001,32.80212
blr,2002,30.93829
blr,2003,28.85784
blr,2004,29.84615
blr,2005,32.21011
blr,2006,35.02197
blr,2007,32.44939
blr,2008,23.42896
blr,2009,25.67715
blr,2010,30.26605
blr,2011,30.38934
blr,2012,31.60582
blr,2013,31.13684
blr,2014,32.67157
blr,2015,30.10518
blr,2016,30.81185
blr,2017,29.36056
blr,2018,31.24018
blr,2019,31.76687
blr,2020,30.79572
blz,1996,4.68581
blz,1997,5.39943
blz,2000,2.70062
blz,2001,2.46028
blz,2002,2.60131
blz,2003,2.64775
blz,2004,2.98776
blz,2005,3.433
blz,2006,3.82054
blz,2007,3.38477
blz,2008,4.83662
blz,2009,4.366
blz,2010,3.75453
blz,2011,3.58101
blz,2012,3.45889
blz,2013,3.77071
blz,2014,3.7579
blz,2015,3.22711
blz,2016,3.52196
blz,2017,3.67425
blz,2018,3.9137
blz,2019,3.73335
blz,2020,3.83522
bol,1988,8.4283
bol,1989,8.83535
bol,1990,12.36451
bol,1991,11.11831
bol,1992,9.92439
bol,1993,7.05054
bol,1994,8.40746
bol,1995,8.13117
bol,1996,7.6279
bol,1997,8.03957
bol,1998,8.97848
bol,1999,7.26476
bol,2000,7.03718
bol,2001,7.08767
bol,2002,6.09581
bol,2003,6.70777
bol,2004,5.95155
bol,2005,5.34189
bol,2006,5.2546
bol,2007,5.16524
bol,2008,5.55362
bol,2009,5.56708
bol,2010,5.28978
bol,2011,4.76331
bol,2012,5.12121
bol,2013,4.79018
bol,2014,4.38507
bol,2015,3.9108
bol,2016,4.07706
bol,2017,3.98024
bol,2018,4.14236
bol,2019,4.05817
