geo,time,sp_dyn_le00_fe_in
abw,1960,67.129
abw,1961,67.625
abw,1962,68.065
abw,1963,68.458
abw,1964,68.817
abw,1965,69.165
abw,1966,69.526
abw,1967,69.917
abw,1968,70.345
abw,1969,70.811
abw,1970,71.306
abw,1971,71.815
abw,1972,72.313
abw,1973,72.779
abw,1974,73.204
abw,1975,73.579
abw,1976,73.902
abw,1977,74.183
abw,1978,74.43
abw,1979,74.647
abw,1980,74.839
abw,1981,75.01
abw,1982,75.164
abw,1983,75.305
abw,1984,75.436
abw,1985,75.556
abw,1986,75.663
abw,1987,75.754
abw,1988,75.827
abw,1989,75.886
abw,1990,75.932
abw,1991,75.969
abw,1992,76.002
abw,1993,76.033
abw,1994,76.066
abw,1995,76.1
abw,1996,76.133
abw,1997,76.164
abw,1998,76.192
abw,1999,76.221
abw,2000,76.257
abw,2001,76.307
abw,2002,76.375
abw,2003,76.465
abw,2004,76.575
abw,2005,76.703
abw,2006,76.845
abw,2007,76.992
abw,2008,77.14
abw,2009,77.285
abw,2010,77.425
abw,2011,77.561
abw,2012,77.695
abw,2013,77.83
abw,2014,77.965
abw,2015,78.101
abw,2016,78.237
abw,2017,78.372
abw,2018,78.507
abw,2019,78.641
abw,2020,78.774
afg,1960,33.314
afg,1961,33.84
afg,1962,34.359
afg,1963,34.866
afg,1964,35.364
afg,1965,35.853
afg,1966,36.338
afg,1967,36.823
afg,1968,37.314
afg,1969,37.815
afg,1970,38.327
afg,1971,38.851
afg,1972,39.385
afg,1973,39.931
afg,1974,40.49
afg,1975,41.064
afg,1976,41.656
afg,1977,42.265
afg,1978,42.894
afg,1979,43.541
afg,1980,44.209
afg,1981,44.899
afg,1982,45.607
afg,1983,46.331
afg,1984,47.066
afg,1985,47.807
afg,1986,48.55
afg,1987,49.29
afg,1988,50.023
afg,1989,50.742
afg,1990,51.442
afg,1991,52.119
afg,1992,52.774
afg,1993,53.405
afg,1994,54.012
afg,1995,54.592
afg,1996,55.141
afg,1997,55.663
afg,1998,56.162
afg,1999,56.645
afg,2000,57.12
afg,2001,57.596
afg,2002,58.08
afg,2003,58.578
afg,2004,59.093
afg,2005,59.628
afg,2006,60.183
afg,2007,60.751
afg,2008,61.326
afg,2009,61.898
