global,time,bm_klt_dinv_cd_wd
world,1970,11972440706.6858
world,1971,12429980154.8976
world,1972,15311103802.4142
world,1973,23945354316.3935
world,1974,20537321354.2243
world,1975,27919348391.1172
world,1976,27700816046.8966
world,1977,28433876964.4189
world,1978,37604884589.08649
world,1979,61038690056.7228
world,1980,55928602802.8898
world,1981,51022667695.5068
world,1982,36915317371.6095
world,1983,42724915308.2849
world,1984,53710071307.5478
world,1985,51541856528.7282
world,1986,95230977114.40919
world,1987,149674197479.43301
world,1988,190444752698.173
world,1989,244062434553.56799
world,1990,277902904615.39093
world,1991,220821710343.32901
world,1992,230349593468.702
world,1993,253969347093.11301
world,1994,313388224376.96698
world,1995,401029729130.802
world,1996,439076354134.914
world,1997,524383215114.41101
world,1998,779903213833.36194
world,1999,1205787664684.53003
world,2000,1403568606560.8999
world,2001,840337221898.66492
world,2002,656652723213.50598
world,2003,726268670648.24097
world,2004,1197099010009.57007
world,2005,1418207762880.55005
world,2006,2153218737684.12012
world,2007,3195385688676.9502
world,2008,2603701544749.31006
world,2009,1349320112058.88989
world,2010,1792461982362.69995
world,2011,2216479822207.50977
world,2012,1739641250441.73999
world,2013,1971120978801.20972
world,2014,1792548685751.58008
world,2015,2182195636357.58008
world,2016,2142870260067.36011
world,2017,2116011462587.73999
world,2018,676383857229.48206
world,2019,1165666812355.94995
world,2020,1009824276136.31006
