geo,time,hd_hci_ovrl_lb
afg,2017,0.376
afg,2018,0.38103
afg,2020,0.38715
ago,2017,0.326
ago,2018,0.3283
ago,2020,0.32986
alb,2010,0.53226
alb,2017,0.608
alb,2018,0.61592
alb,2020,0.62473
are,2010,0.61054
are,2017,0.643
are,2018,0.66347
are,2020,0.66179
arg,2010,0.5777
arg,2017,0.6
arg,2018,0.60723
arg,2020,0.59167
arm,2017,0.559
arm,2018,0.57188
arm,2020,0.56922
atg,2018,0.5683
atg,2020,0.58408
aus,2010,0.74817
aus,2017,0.793
aus,2018,0.77155
aus,2020,0.76195
aut,2010,0.72965
aut,2017,0.783
aut,2018,0.75972
aut,2020,0.7372
aze,2010,0.48571
aze,2017,0.576
aze,2018,0.6099
aze,2020,0.56164
bdi,2010,0.3297
bdi,2017,0.358
bdi,2018,0.36812
bdi,2020,0.36438
bel,2010,0.7458
bel,2017,0.745
bel,2018,0.75391
bel,2020,0.75198
ben,2010,0.34916
ben,2017,0.377
ben,2018,0.37573
ben,2020,0.37856
bfa,2010,0.30976
bfa,2017,0.352
bfa,2018,0.35911
bfa,2020,0.36323
bgd,2017,0.468
bgd,2018,0.45012
bgd,2020,0.45527
bgr,2010,0.62168
bgr,2017,0.652
bgr,2018,0.65661
bgr,2020,0.60325
bhr,2010,0.5985
bhr,2017,0.654
bhr,2018,0.65583
bhr,2020,0.64454
bih,2017,0.606
bih,2018,0.61028
bih,2020,0.57088
blr,2020,0.69027
bra,2010,0.52842
bra,2017,0.552
bra,2018,0.54015
bra,2020,0.54636
brn,2020,0.61885
btn,2020,0.45032
bwa,2010,0.34576
bwa,2017,0.398
bwa,2018,0.38771
bwa,2020,0.38892
caf,2020,0.25584
can,2010,0.76961
can,2017,0.791
can,2018,0.79184
can,2020,0.78955
che,2010,0.75976
che,2017,0.749
che,2018,0.7563
che,2020,0.74679
chl,2010,0.61961
chl,2017,0.659
chl,2018,0.65446
chl,2020,0.64107
chn,2017,0.662
chn,2018,0.63433
chn,2020,0.63998
civ,2010,0.29317
civ,2017,0.334
civ,2018,0.35279
civ,2020,0.3615
cmr,2010,0.36362
cmr,2017,0.369
cmr,2018,0.37344
cmr,2020,0.37665
cod,2017,0.348
cod,2018,0.34329
cod,2020,0.34386
cog,2010,0.39341
cog,2017,0.394
cog,2018,0.39261
cog,2020,0.39295
col,2010,0.57101
col,2017,0.58
col,2018,0.5873
col,2020,0.59171
com,2017,0.365
com,2018,0.35734
com,2020,0.3601
cri,2010,0.59167
cri,2017,0.609
cri,2018,0.5961
cri,2020,0.61889
cyp,2010,0.6805
cyp,2017,0.742
cyp,2018,0.74504
cyp,2020,0.74592
cze,2010,0.71908
cze,2017,0.772
cze,2018,0.75572
cze,2020,0.74287
deu,2010,0.75322
deu,2017,0.783
deu,2018,0.75262
deu,2020,0.74011
dma,2018,0.53734
dma,2020,0.52907
dnk,2010,0.74172
dnk,2017,0.762
dnk,2018,0.76207
dnk,2020,0.74765
dom,2017,0.477
dom,2018,0.49291
dom,2020,0.4887
dza,2010,0.52622
dza,2017,0.515
dza,2018,0.525
dza,2020,0.52731
ecu,2010,0.51707
ecu,2017,0.593
ecu,2018,0.58741
ecu,2020,0.58535
egy,2010,0.47185
egy,2017,0.471
egy,2018,0.4788
egy,2020,0.48026
esp,2010,0.70322
esp,2017,0.735
esp,2018,0.7293
esp,2020,0.72287
est,2010,0.71775
est,2017,0.733
est,2018,0.76145
est,2020,0.76545
eth,2017,0.371
eth,2018,0.37413
eth,2020,0.37213
fin,2010,0.80986
fin,2017,0.804
fin,2018,0.80563
fin,2020,0.78703
fji,2020,0.4965
fra,2010,0.74732
fra,2017,0.755
fra,2018,0.74739
fra,2020,0.75449
fsm,2018,0.43461
fsm,2020,0.47042
gab,2017,0.426
gab,2018,0.43295
gab,2020,0.43346
gbr,2010,0.75838
gbr,2017,0.772
gbr,2018,0.76891
gbr,2020,0.77494
geo,2010,0.53497
geo,2017,0.596
geo,2018,0.60086
geo,2020,0.56171
gha,2017,0.424
gha,2018,0.43169
gha,2020,0.43752
gin,2017,0.354
gin,2018,0.35154
gin,2020,0.35246
gmb,2010,0.35523
gmb,2017,0.371
gmb,2018,0.37708
gmb,2020,0.39423
grc,2010,0.70368
grc,2017,0.668
grc,2018,0.68298
grc,2020,0.68039
grd,2018,0.53103
grd,2020,0.55335
gtm,2010,0.43523
gtm,2017,0.444
gtm,2018,0.44721
gtm,2020,0.45128
guy,2017,0.476
guy,2018,0.47691
guy,2020,0.47737
hkg,2010,0.77183
hkg,2017,0.81
hkg,2018,0.81119
hkg,2020,0.80241
hnd,2017,0.473
hnd,2018,0.46867
hnd,2020,0.46916
hrv,2010,0.68534
hrv,2017,0.709
hrv,2018,0.72093
hrv,2020,0.70036
hti,2017,0.424
hti,2018,0.4273
hti,2020,0.42823
hun,2010,0.68138
hun,2017,0.688
hun,2018,0.695
hun,2020,0.67453
idn,2010,0.48659
idn,2017,0.521
idn,2018,0.52659
idn,2020,0.53002
ind,2017,0.432
ind,2018,0.48079
ind,2020,0.48927
irl,2010,0.75732
irl,2017,0.793
irl,2018,0.80383
irl,2020,0.78353
irn,2010,0.55676
irn,2017,0.573
irn,2018,0.58041
irn,2020,0.58134
irq,2017,0.385
irq,2018,0.39303
irq,2020,0.40058
isl,2010,0.75049
isl,2017,0.732
isl,2018,0.73708
isl,2020,0.73906
isr,2010,0.7089
isr,2017,0.746
isr,2018,0.7522
isr,2020,0.72277
ita,2010,0.74512
ita,2017,0.759
ita,2018,0.74486
ita,2020,0.71979
jam,2017,0.526
jam,2018,0.52221
jam,2020,0.51799
jor,2010,0.54724
jor,2017,0.544
jor,2018,0.53531
jor,2020,0.54121
jpn,2010,0.80601
jpn,2017,0.834
jpn,2018,0.83252
jpn,2020,0.7968
kaz,2010,0.58546
kaz,2017,0.723
kaz,2018,0.76354
kaz,2020,0.62194
ken,2017,0.5
ken,2018,0.52342
ken,2020,0.52703
kgz,2017,0.567
kgz,2018,0.58453
kgz,2020,0.58721
khm,2017,0.473
khm,2018,0.4711
khm,2020,0.47126
kir,2017,0.45
kir,2018,0.44338
kir,2020,0.46254
kna,2018,0.56069
kna,2020,0.57305
kor,2010,0.81332
kor,2017,0.827
kor,2018,0.82385
kor,2020,0.78834
kos,2017,0.551
kos,2018,0.56176
kos,2020,0.56072
kwt,2010,0.56256
kwt,2017,0.559
kwt,2018,0.55461
kwt,2020,0.55297
lao,2017,0.433
lao,2018,0.44191
lao,2020,0.44142
lbn,2017,0.525
lbn,2018,0.51425
lbn,2020,0.50497
lbr,2017,0.305
lbr,2018,0.30263
lbr,2020,0.30316
lca,2018,0.57465
lca,2020,0.58772
lka,2017,0.574
lka,2018,0.58744
lka,2020,0.59228
lso,2010,0.32629
lso,2017,0.347
lso,2018,0.37448
lso,2020,0.37546
ltu,2010,0.68071
ltu,2017,0.698
ltu,2018,0.7154
ltu,2020,0.69712
lux,2010,0.69622
lux,2017,0.684
lux,2018,0.68637
lux,2020,0.68055
lva,2010,0.66783
lva,2017,0.708
lva,2018,0.72541
lva,2020,0.69416
mac,2010,0.64469
mac,2017,0.753
mac,2018,0.75866
mac,2020,0.7896
mar,2010,0.46676
mar,2017,0.489
mar,2018,0.48173
mar,2020,0.49341
mda,2010,0.54686
mda,2017,0.567
mda,2018,0.57262
mda,2020,0.57467
mdg,2010,0.37482
mdg,2017,0.353
mdg,2018,0.36859
mdg,2020,0.37471
mex,2010,0.58389
mex,2017,0.599
mex,2018,0.60379
mex,2020,0.60458
mhl,2018,0.38689
mhl,2020,0.40399
mkd,2010,0.52782
mkd,2017,0.528
mkd,2018,0.53026
mkd,2020,0.55136
mli,2017,0.286
mli,2018,0.31016
mli,2020,0.30682
mlt,2010,0.67532
mlt,2017,0.69
mlt,2018,0.70248
mlt,2020,0.70254
mmr,2017,0.456
mmr,2018,0.45415
mmr,2020,0.4591
mne,2010,0.57725
mne,2017,0.606
mne,2018,0.61376
mne,2020,0.62431
mng,2017,0.604
mng,2018,0.59937
mng,2020,0.59664
moz,2017,0.342
moz,2018,0.33761
moz,2020,0.34305
mrt,2017,0.317
mrt,2018,0.33532
mrt,2020,0.34517
mus,2010,0.58966
mus,2017,0.601
mus,2018,0.60657
mus,2020,0.60499
mwi,2010,0.35319
mwi,2017,0.389
mwi,2018,0.39435
mwi,2020,0.3953
mys,2010,0.57717
mys,2017,0.611
mys,2018,0.62006
mys,2020,0.60102
nam,2010,0.37926
nam,2017,0.411
nam,2018,0.42183
nam,2020,0.42296
ner,2017,0.3
ner,2018,0.2973
ner,2020,0.29483
nga,2017,0.318
nga,2018,0.33013
nga,2020,0.33457
nic,2017,0.514
nic,2018,0.49948
nic,2020,0.50007
nld,2010,0.78276
nld,2017,0.79
nld,2018,0.7951
nld,2020,0.78025
nor,2010,0.76309
nor,2017,0.76
nor,2018,0.76159
nor,2020,0.76417
npl,2017,0.477
npl,2018,0.48388
npl,2020,0.4897
nru,2020,0.48509
nzl,2010,0.77152
nzl,2017,0.755
nzl,2018,0.76229
nzl,2020,0.76801
omn,2010,0.53586
omn,2017,0.611
omn,2018,0.59807
omn,2020,0.59517
pak,2017,0.37
pak,2018,0.3861
pak,2020,0.39176
pan,2010,0.50002
pan,2017,0.516
pan,2018,0.50209
pan,2020,0.48944
per,2010,0.53487
per,2017,0.569
per,2018,0.58292
per,2020,0.59317
phl,2017,0.53
phl,2018,0.53478
phl,2020,0.50062
plw,2018,0.54743
plw,2020,0.56732
png,2017,0.359
png,2018,0.4095
png,2020,0.41304
pol,2010,0.69487
pol,2017,0.734
pol,2018,0.75102
pol,2020,0.74304
prt,2010,0.73411
prt,2017,0.766
prt,2018,0.77451
prt,2020,0.75944
pry,2010,0.49533
pry,2017,0.514
pry,2018,0.50909
pry,2020,0.50954
pse,2017,0.542
pse,2018,0.55953
pse,2020,0.56718
qat,2010,0.58568
qat,2017,0.599
qat,2018,0.62754
qat,2020,0.63216
rou,2010,0.59193
rou,2017,0.587
rou,2018,0.58485
rou,2020,0.57261
rus,2010,0.59408
rus,2017,0.682
rus,2018,0.7201
rus,2020,0.67292
rwa,2017,0.357
rwa,2018,0.36163
rwa,2020,0.36368
sau,2010,0.53675
sau,2017,0.572
sau,2018,0.56672
sau,2020,0.56492
sdn,2017,0.367
sdn,2018,0.36142
sdn,2020,0.36208
sen,2010,0.37901
sen,2017,0.402
sen,2018,0.40524
sen,2020,0.40379
sgp,2010,0.84249
sgp,2017,0.868
sgp,2018,0.87759
sgp,2020,0.87168
slb,2017,0.43
slb,2018,0.41959
slb,2020,0.40878
sle,2017,0.335
sle,2018,0.33742
sle,2020,0.3452
slv,2017,0.487
slv,2018,0.53106
slv,2020,0.53096
srb,2010,0.64374
srb,2017,0.74
srb,2018,0.7452
srb,2020,0.66512
ssd,2017,0.266
ssd,2018,0.26962
ssd,2020,0.26735
svk,2010,0.6713
svk,2017,0.679
svk,2018,0.67101
svk,2020,0.65712
svn,2010,0.74804
svn,2017,0.776
svn,2018,0.78111
svn,2020,0.76878
swe,2010,0.75357
swe,2017,0.787
swe,2018,0.79234
swe,2020,0.78532
swz,2010,0.29724
swz,2017,0.38
swz,2018,0.34977
swz,2020,0.35249
syc,2010,0.56339
syc,2017,0.646
syc,2018,0.60751
syc,2020,0.60929
tcd,2010,0.27378
tcd,2017,0.278
tcd,2018,0.28203
tcd,2020,0.28163
tgo,2010,0.35522
tgo,2017,0.394
tgo,2018,0.40035
tgo,2020,0.40965
tha,2010,0.5758
tha,2017,0.589
tha,2018,0.60391
tha,2020,0.59782
tjk,2017,0.515
tjk,2018,0.52551
tjk,2020,0.48066
tls,2010,0.39776
tls,2017,0.41
tls,2018,0.43104
tls,2020,0.43153
ton,2017,0.496
ton,2018,0.50174
ton,2020,0.51433
tto,2010,0.5338
tto,2017,0.59
tto,2018,0.57313
tto,2020,0.57424
tun,2010,0.51608
tun,2017,0.496
tun,2018,0.50109
