global,time,si_pov_gaps
world,1981,18.1
world,1982,17.3
world,1983,16.3
world,1984,14.7
world,1985,13.8
world,1986,13.2
world,1987,12.7
world,1988,11.8
world,1989,13.3
world,1990,12.9
world,1991,12.8
world,1992,12.4
world,1993,12
world,1994,11.3
world,1995,10.5
world,1996,9.9
world,1997,9.9
world,1998,10
world,1999,9.6
world,2000,9.2
world,2001,8.8
world,2002,8.3
world,2003,7.8
world,2004,7
world,2005,6.4
world,2006,6.1
world,2007,5.6
world,2008,5.4
world,2009,5.1
world,2010,4.6
world,2011,4
world,2012,3.7
world,2013,3.3
world,2014,3.1
world,2015,3
world,2016,2.9
world,2017,2.8
world,2018,2.7
