global,time,ic_tax_labr_cp_zs
world,2005,16.86564
world,2006,16.57485
world,2007,16.29706
world,2008,16.28363
world,2009,16.00698
world,2010,15.95407
world,2011,15.9546
world,2012,15.96517
world,2013,16.17566
world,2014,16.19841
world,2015,16.21005
world,2016,16.2455
world,2017,16.0873
world,2018,16.17632
world,2019,16.27789
