geo,time,gc_tax_gsrv_cn
bel,1998,25830000000
bel,1999,27821200000
bel,2000,29187000000
bel,2001,28825800000
bel,2002,27505000000
bel,2003,28103900000
bel,2004,30307300000
bel,2005,31743900000
bel,2006,33226400000
bel,2007,34746600000
bel,2008,35193500000
bel,2009,34745900000
bel,2010,37261900000
bel,2011,38381900000
bel,2012,40884700000
bel,2013,40994500000
bel,2014,41445400000
bel,2015,41974800000
bel,2016,43855200000
bel,2017,45139500000
bel,2018,47331200000
bel,2019,48514900000
ben,1972,1721000000
ben,1973,2087000000
ben,1974,2184000000
ben,1975,2267000000
ben,1976,3285000000
ben,1977,4037000000
ben,1978,4037000000
ben,1979,3770000000
bfa,2002,130176282334
bfa,2003,147209293281.89999
bfa,2004,177266962809
bfa,2005,185811088412
bfa,2006,194347024416
bfa,2007,217313127652
bfa,2008,243815710870
bfa,2009,282942741937
bfa,2010,318436000000
bfa,2011,366763000000
bfa,2012,467465000000
bfa,2013,523444000000
bfa,2014,509613853289
bfa,2015,528792599070.79999
bfa,2016,601600000000
bfa,2017,670207854137
bfa,2018,756482089975.71814
bfa,2019,805696242907.75085
bgd,2001,66568780000
bgd,2002,75228380000
bgd,2003,108949240000
bgd,2004,100539870000
bgd,2005,109990725000
bgd,2006,125517335000
bgd,2007,140969068000
bgd,2008,171902957000
bgd,2009,200555946000
bgd,2010,240716688000
bgd,2011,304282400000
bgd,2012,352579400000
bgd,2013,402282200000
bgd,2014,428603900000
bgd,2015,474400070000
bgd,2016,577640000000
bgr,1990,3875000
bgr,1991,8438000
bgr,1992,10242000
bgr,1993,18238000
bgr,1994,57707000
bgr,1995,85110000
bgr,1996,156338000
bgr,1997,1448757000
bgr,1998,2698465000
bgr,1999,2841912000
bgr,2000,3431506000
bgr,2001,3738097000
bgr,2002,3823158000
bgr,2003,4795986000
bgr,2004,6012031000
bgr,2005,6971223000
bgr,2006,8236573000
bgr,2007,9924584000
bgr,2008,11926231000
bgr,2009,10098471000
bgr,2010,10231148000
bgr,2011,10699791000
