geo,time,se_prm_enrr_ma
abw,1999,113.24245
abw,2000,112.63307
abw,2001,111.1213
abw,2002,113.96286
abw,2003,113.06831
abw,2004,115.24099
abw,2005,114.9338
abw,2006,116.84974
abw,2007,117.78122
abw,2008,115.33124
abw,2009,115.43852
abw,2010,114.52933
abw,2011,106.73775
abw,2012,102.82369
abw,2013,117.29655
abw,2014,118.93408
afg,1970,52.73643
afg,1971,54.34515
afg,1972,54.59771
afg,1973,54.78181
afg,1974,55.70808
afg,1975,57.10255
afg,1976,58.54949
afg,1977,59.54239
afg,1978,61.70905
afg,1980,70.82911
afg,1981,76.08024
afg,1982,22.85051
afg,1984,29.53234
afg,1985,31.87166
afg,1986,33.21058
afg,1988,42.9249
afg,1989,39.22045
afg,1990,37.16967
afg,1991,35.07012
afg,1993,42.18265
afg,1994,52.37869
afg,1995,55.6434
afg,1999,45.281
afg,2000,40.57923
afg,2001,40.56284
afg,2002,93.73143
afg,2003,118.63766
afg,2004,144.61192
afg,2005,123.10604
afg,2006,124.55409
afg,2007,121.90059
afg,2008,122.53326
afg,2009,116.36466
afg,2010,118.6145
afg,2011,113.58244
afg,2012,119.8585
afg,2013,122.21875
afg,2014,124.20944
afg,2015,122.65498
afg,2016,121.52124
afg,2017,121.39005
afg,2018,124.22975
afg,2019,127.108
ago,1971,71.36841
ago,1972,77.93541
ago,1982,122.47267
ago,1983,113.84543
ago,1986,87.40954
ago,1987,87.6382
ago,1988,86.80456
ago,1989,84.73695
ago,1990,76.36248
ago,1991,69.84406
ago,1992,69.16341
ago,1998,78.30568
ago,2008,114.03228
ago,2009,113.49148
ago,2010,117.65417
ago,2011,146.93794
ago,2015,121.13591
alb,1976,122.63541
alb,1978,117.48541
alb,1979,114.63082
alb,1980,109.16849
alb,1981,106.81737
alb,1982,104.94124
alb,1983,103.14818
alb,1984,104.86474
alb,1985,104.46475
alb,1986,103.98996
alb,1987,102.60057
alb,1988,99.1245
alb,1989,99.15024
alb,1990,99.23334
alb,1991,101.03975
alb,1992,98.7751
alb,1993,96.88289
alb,1994,102.14209
alb,1995,105.65663
alb,1996,107.67183
alb,1997,109.83158
alb,1998,108.79419
alb,1999,106.69804
alb,2000,104.33872
alb,2001,102.20929
alb,2002,101.68775
alb,2003,99.55539
alb,2004,97.54762
alb,2005,100.41829
alb,2006,97.48182
alb,2007,95.98913
alb,2008,95.56895
alb,2009,93.22988
alb,2010,93.20702
alb,2011,94.31533
alb,2012,96.85884
alb,2013,98.95978
alb,2014,102.35866
alb,2015,104.03387
alb,2016,103.84185
alb,2017,105.46986
alb,2018,105.15258
alb,2019,103.38077
alb,2020,98.87397
and,1975,85.36965
and,1983,108.42797
are,1971,93.91656
are,1972,102.64079
are,1973,100.76024
are,1974,94.96389
are,1975,91.88519
are,1976,99.1653
are,1977,102.00258
are,1978,99.36172
are,1979,94.35532
are,1980,92.53267
are,1981,90.4425
are,1982,94.67406
are,1983,95.29551
are,1984,96.00035
are,1985,95.69688
are,1986,95.75512
are,1987,97.79451
are,1988,101.47641
are,1989,106.31896
are,1990,109.98462
are,1991,109.91398
are,1992,104.38485
are,1993,100.81254
are,1994,101.17438
are,1995,102.08444
are,1996,98.71231
are,1997,94.74472
are,1998,90.79261
are,2007,101.12369
are,2012,99.05749
are,2013,97.36524
are,2014,102.14638
are,2015,111.4482
are,2016,110.59621
are,2017,109.43032
are,2019,114.30043
are,2020,114.81979
arg,1970,105.51845
arg,1971,106.53385
arg,1972,106.53024
arg,1973,106.03679
arg,1974,107.13872
arg,1975,106.87749
arg,1976,106.53496
