geo,time,dt_nfl_rdbn_cd
ago,1989,230747.4
ago,1990,-2236037.3
ago,1991,20054695.1
ago,1992,13170526.8
ago,1993,3682286.9
ago,1994,-448235.6
ago,1995,-1841926.3
ago,1998,658037.1
ago,1999,0
ago,2000,-23635250.8
ago,2001,-1503687.2
ago,2002,-2644099.1
ago,2003,-2367975.1
ago,2004,-1637623.8
ago,2005,-1597004.4
ago,2006,-1612662.6
ago,2007,-541942.2
ago,2008,-411086.4
ago,2009,-411842.8
ago,2010,-408950
ago,2011,-358380.7
ago,2014,625925708.2
ago,2015,0
ago,2016,399238708.6
ago,2017,121131604.5
ago,2018,7107055.1
ago,2019,-19474826
ago,2020,106594712.9
alb,1994,187000
alb,1995,4634481.4
alb,1996,4719869.7
alb,1997,-47562.4
alb,1998,-734975.4
alb,1999,-1122090.7
alb,2000,-36944.2
alb,2001,1443674.5
alb,2002,3660546.4
alb,2003,10886896.2
alb,2004,11189751.3
alb,2005,14135992
alb,2006,13746333.7
alb,2007,8261859.5
alb,2008,26511465.7
alb,2009,27672098.7
alb,2010,1922669.3
alb,2011,26628595.3
alb,2012,25658039.9
alb,2013,-6440296
alb,2014,9862635.3
alb,2015,-6988157.7
alb,2016,-20320147.4
alb,2017,-23697221.8
alb,2018,109473960.6
alb,2019,-18664232.6
alb,2020,92127446.3
arg,1970,21122000
arg,1971,26933000
arg,1972,-1837000
arg,1973,35080000
arg,1974,35489000
arg,1975,47615000
arg,1976,51814000
arg,1977,50228000
arg,1978,139919000
arg,1979,68911000
arg,1980,14076000
arg,1981,91819000
arg,1982,95533000
arg,1983,79049000
arg,1984,116908000
arg,1985,155484000
arg,1986,93144000
arg,1987,57054000
arg,1988,66119000
arg,1989,344235000
arg,1990,177926000
arg,1991,179215000
arg,1992,-9790000
arg,1993,807720000
arg,1994,10431000
arg,1995,744760000
arg,1996,224527000
arg,1997,608332000
arg,1998,1146767000
arg,1999,911829000
arg,2000,630126000
arg,2001,1203010000
arg,2002,-505483000
arg,2003,300349000
arg,2004,-145173000
arg,2005,61846000
arg,2006,-87088000
arg,2007,-9322000
arg,2008,-61177000
arg,2009,914168000
arg,2010,609286000
arg,2011,389455000
arg,2012,115208000
arg,2013,248249000
arg,2014,330297000
arg,2015,-129552000
arg,2016,220013000
arg,2017,375912000
arg,2018,542719000
arg,2019,316757000
arg,2020,723876000
arm,1993,2574000
arm,1994,23743000
arm,1995,10517000
arm,1996,28246000
arm,1997,-700000
arm,1998,-5780000
arm,1999,-3961000
arm,2000,-5198000
arm,2001,-4161000
arm,2002,-6083000
arm,2003,-7645000
arm,2004,-7844000
arm,2005,-7939000
arm,2006,-7939000
arm,2007,-6891000
arm,2009,1275802.4
arm,2010,8746363.8
arm,2011,4209525.6
arm,2012,1771247.6
arm,2013,29412749.9
arm,2014,17144020.5
arm,2015,9399907.7
arm,2016,110642839.7
arm,2017,116779723.3
arm,2018,75844416.7
arm,2019,66740328.8
arm,2020,1440878.3
aze,1995,3912000
aze,1996,5688000
aze,1997,26740000
aze,1998,18216000
aze,1999,22978000
aze,2000,9091000
aze,2001,-1695000
aze,2002,540000
aze,2003,-5331000
aze,2004,-8460000
aze,2005,-11793000
aze,2006,7165000
aze,2007,90579000
aze,2008,48790000
aze,2009,93766157.1
aze,2010,39579000
aze,2011,96511000
aze,2012,143285000
aze,2013,122387956.3
aze,2014,145402108.8
aze,2015,150165000
aze,2016,745554000
aze,2017,503299000
aze,2018,454566000
aze,2019,446788000
aze,2020,75511000
bdi,1975,1001974.9
bdi,1976,952132.5
bdi,1977,1972034.2
bdi,1978,197878
bdi,1979,-138249.6
bdi,1980,270729.7
bdi,1981,-339791
bdi,1982,-363302.4
bdi,1983,6497072.6
bdi,1984,10487461.2
bdi,1985,4973209.3
bdi,1986,2447060.3
bdi,1987,7006254
bdi,1988,1271644
bdi,1989,-2599754.1
bdi,1990,-3662919.5
bdi,1991,-3879832.1
bdi,1992,-4241332.4
bdi,1993,-1421527.4
bdi,1994,-3180610.9
bdi,1995,-2052822.3
bdi,1996,-4054835.5
bdi,1997,-3831034.6
bdi,1998,-4060835
bdi,1999,-1960360.9
bdi,2000,0
bdi,2001,-167924.5
bdi,2002,0
bdi,2003,-579740.8
bdi,2004,-6955084.6
bdi,2005,-2694668.1
bdi,2006,0
bdi,2007,0
ben,1973,87400.7
ben,1974,178342.5
ben,1975,117808
ben,1976,1723071.3
ben,1977,572111.8
ben,1978,5625747
ben,1979,1660287.6
ben,1980,2004440.9
ben,1981,2293589.5
ben,1982,-129198.7
ben,1983,403060
ben,1984,-542366.5
ben,1985,-1568989.6
ben,1986,-1428332.2
ben,1987,-1054409.2
ben,1988,-908701.1
ben,1989,-2751021.8
ben,1990,-1354927.2
ben,1991,-1237166.9
ben,1992,-1490312.1
ben,1993,-471980.6
ben,1994,-624379.2
ben,1995,-682756.9
ben,1999,2265769.4
ben,2000,-176746.7
ben,2001,-53430.6
ben,2002,-255086.9
ben,2003,-351485.3
ben,2004,-349755
ben,2005,-344220.2
ben,2006,-176568.9
ben,2007,0
ben,2008,0
ben,2019,0
ben,2020,161595.8
bfa,1972,1300934.2
bfa,1973,768033.3
bfa,1976,1154100
bfa,1977,-318748
bfa,1978,854131.7
bfa,1979,-543954.1
bfa,1980,-438634.2
bfa,1981,-398782.6
bfa,1982,-372136.5
bfa,1983,-179613
