global,time,nv_agr_totl_kd
world,1968,833261372938.6051
world,1969,855200295691.68494
world,1970,899920764209.44299
world,1971,918318273394.16492
world,1972,920293611564.62402
world,1973,968146141536.40283
world,1974,997240677188.97083
world,1975,1031283042548.89001
world,1976,1043880818457.65002
world,1977,1070552741695.18994
world,1978,1088434762379.18005
world,1979,1101832330138.36011
world,1980,1126379230137.03003
world,1981,1175592129692.21997
world,1982,1238088415052.81006
world,1983,1285505381417.68994
world,1984,1360904845433.48999
world,1985,1397429030009.32007
world,1986,1429807502701.17993
world,1987,1463613627044.48999
world,1988,1537454215633.31006
world,1989,1578496876385.36011
world,1990,1644349249881.84009
world,1991,1658955852207.96997
world,1992,1711336161054.1001
world,1993,1721629101288.18994
world,1994,1747655708991.20996
world,1995,1778692566906.38989
world,1996,1871095865575.87988
world,1997,1896721417649.12012
world,1998,1939060399323.20972
world,1999,2010817660369.67993
world,2000,2073215800875.54004
world,2001,2111742674285.11011
world,2002,2149766318326.47998
world,2003,2209650577183.20947
world,2004,2305539503428.97021
world,2005,2394422098222.62939
world,2006,2461308858636.25977
world,2007,2495099882545.77979
world,2008,2579403960133.60938
world,2009,2644352408754.2002
world,2010,2720460533040.93018
world,2011,2822903780548.16016
world,2012,2861109192222.02002
world,2013,2994591397748.49023
world,2014,3081181937104.62939
world,2015,3160497234673.68018
world,2016,3231736581969.35986
world,2017,3349806123920.20947
world,2018,3430694426079.29004
world,2019,3535099760815.14941
world,2020,3607526744063.44971
