geo,time,dt_nfl_blat_cd
afg,2006,39732213.8
afg,2007,6865113.1
afg,2008,603733.3
afg,2009,-2259000
afg,2010,0
afg,2014,8137200
afg,2015,15759466.7
afg,2016,-1661288
afg,2017,-151466.7
afg,2018,7029466.7
afg,2019,23451000.5
afg,2020,-500000
ago,1989,116577837.3
ago,1990,111897401.7
ago,1991,40803939.5
ago,1992,27146648.4
ago,1993,-1519440
ago,1994,7868835.9
ago,1995,69656427.8
ago,1996,-16040355
ago,1997,-40015135.2
ago,1998,-389775739.5
ago,1999,-403538000
ago,2000,-230675962.9
ago,2001,-1028465932.6
ago,2002,-34729145.5
ago,2003,60902959.1
ago,2004,21577903.3
ago,2005,-211880169.9
ago,2006,-742466354.8
ago,2007,539135892.7
ago,2008,783988856.2
ago,2009,785484145.2
ago,2010,983508275.6
ago,2011,1982682062.9
ago,2012,363753695.3
ago,2013,2973475971.2
ago,2014,2196809388.7
ago,2015,-684364679.4
ago,2016,8940002385.7
ago,2017,1038481802.1
ago,2018,754804726.8
ago,2019,-3057652204.9
ago,2020,-676975051.5
alb,1991,19659270.7
alb,1992,47335480.2
alb,1993,35593320.6
alb,1994,35532537.2
alb,1995,24218482.8
alb,1996,39314130.4
alb,1997,25197140.8
alb,1998,11377269.3
alb,1999,17893433.1
alb,2000,12322470
alb,2001,36795353.2
alb,2002,27440474.9
alb,2003,16703064.6
alb,2004,15279483.7
alb,2005,12273502.1
alb,2006,22536514.9
alb,2007,6649659.3
alb,2008,15818313
alb,2009,26233901.3
alb,2010,8143362.4
alb,2011,1500079.2
alb,2012,18658815.8
alb,2013,13175689
alb,2014,31496278.5
alb,2015,32606722.6
alb,2016,14061963.7
alb,2017,3090373.8
alb,2018,-11134826.9
alb,2019,-1908150.6
alb,2020,-1483026.8
arg,1970,4626961.1
arg,1971,-7669128.8
arg,1972,-8056518.7
arg,1973,46569944.5
arg,1974,93565890.9
arg,1975,7211035.1
arg,1976,19463322.6
arg,1977,-13792854.5
arg,1978,179350517.7
arg,1979,130603916
arg,1980,-28600769.3
arg,1981,-94149852.2
arg,1982,-24944887.4
arg,1983,78183757
arg,1984,-130154854.8
arg,1985,7150504.6
arg,1986,-68076834.6
arg,1987,-12929683.7
arg,1988,90452580
arg,1989,7151076.8
arg,1990,124468082.2
arg,1991,487927366.8
arg,1992,331518679.9
arg,1993,698187231.4
arg,1994,634158662.1
arg,1995,56292817
arg,1996,-985516663.5
arg,1997,-1169303475.1
arg,1998,-1100296712
arg,1999,-1256292024.9
arg,2000,-983821085.5
arg,2001,-701625577.2
arg,2002,748397078.1
arg,2003,-30048207.8
arg,2004,-8290849.6
arg,2005,-20608425.8
arg,2006,-5300166.1
arg,2007,-100304375.9
arg,2008,-91863629.3
arg,2009,282535277
arg,2010,-252531195.6
arg,2011,-292553427.1
arg,2012,-214336359.4
arg,2013,385432026.5
arg,2014,3168632129.5
arg,2015,780373475.1
arg,2016,-926968971.8
arg,2017,292296406.2
arg,2018,-777571309.4
arg,2019,-785349297.1
arg,2020,-443993871.6
arm,1993,23392160
arm,1994,23222400
arm,1995,-2817000
arm,1996,1447679.4
arm,1997,24518472.1
arm,1998,47361908.4
arm,1999,3215355.6
arm,2000,-1036850.1
arm,2001,-3966086.8
arm,2002,13396219.2
arm,2003,-21343862.2
arm,2004,-22089343.1
arm,2005,11965070.8
arm,2006,9093323.3
arm,2007,94783835.4
arm,2008,69702761.7
arm,2009,610909964
arm,2010,64933374.7
arm,2011,31773650
arm,2012,30390954.1
arm,2013,-484557620.8
arm,2014,16146518.9
arm,2015,17959121.5
arm,2016,112733493.5
arm,2017,276983817.1
arm,2018,121794539.4
arm,2019,117553127.9
arm,2020,-48213369.9
aze,1994,59263000
aze,1995,12537000
aze,1996,3017000
aze,1997,2622916.4
aze,1998,25589205.6
aze,1999,84779904.1
aze,2000,153176525.8
aze,2001,69519726.5
aze,2002,111945014.2
aze,2003,56574059.4
aze,2004,-5581954.8
aze,2005,-7695759.4
aze,2006,46133338.8
aze,2007,11642194.8
aze,2008,52703390.6
aze,2009,14772259.2
aze,2010,10624280.2
aze,2011,190158344.9
aze,2012,232157227.8
aze,2013,103106994.1
aze,2014,14654919.5
aze,2015,-45845875.7
aze,2016,-26009922.5
aze,2017,-12770162
aze,2018,389574.1
aze,2019,130458160.1
aze,2020,37029295.7
bdi,1970,2877.7
bdi,1973,627962.8
bdi,1974,903247.9
bdi,1975,908575.3
bdi,1976,1238310.9
bdi,1977,9874869.8
bdi,1978,5492663.3
bdi,1979,15121160.7
bdi,1980,17247150.8
bdi,1981,12400669.4
bdi,1982,22628175.8
bdi,1983,39235295.3
bdi,1984,15750123.5
bdi,1985,23086505.9
bdi,1986,16864392.4
bdi,1987,36525590.4
bdi,1988,13379920.7
bdi,1989,35250241.4
bdi,1990,21908844.1
bdi,1991,8025704.8
bdi,1992,16664712.5
bdi,1993,616117.9
bdi,1994,-1352435.2
bdi,1995,-862909.2
bdi,1996,599019.3
bdi,1997,3167628.5
bdi,1998,-393228.2
bdi,1999,-385539.7
bdi,2000,0
bdi,2001,-995202.1
bdi,2002,3717113.4
bdi,2003,-304072.3
bdi,2004,-149384
bdi,2005,-233626.5
bdi,2007,975706.1
bdi,2008,-773791.4
bdi,2009,4989000
bdi,2011,-2407611.3
bdi,2012,20713754.3
bdi,2013,607164.7
bdi,2014,15121031.4
