global,time,fs_ast_cgov_gd_zs
world,1960,19.28223
world,1961,19.57328
world,1962,19.59685
world,1963,18.63587
world,1964,17.93814
world,1965,17.1299
world,1966,16.07684
world,1967,16.74414
world,1968,15.99446
world,1969,13.37247
world,1970,14.7515
world,1971,14.17669
world,1972,13.7115
world,1973,12.37156
world,1974,10.75765
world,1975,12.17609
world,1976,12.2409
world,1977,11.39639
world,1978,12.0173
world,1979,11.95452
world,1980,12.25443
world,1981,11.5397
world,1982,13.52639
world,1983,15.22888
world,1984,16.14642
world,1985,17.23918
world,1986,21.2846
world,1987,21.74145
world,1988,21.40036
world,1989,21.37646
world,1990,19.39536
world,1991,20.18968
world,1992,21.37713
world,1993,22.79835
world,1994,22.35791
world,1995,22.68767
world,1996,20.95602
world,1997,17.3242
world,1998,19.43355
world,1999,20.42536
world,2000,21.15166
world,2001,18.69866
world,2002,19.76095
world,2003,20.02984
world,2004,19.22685
world,2005,17.51145
world,2006,15.6857
world,2007,14.40183
world,2008,14.00192
world,2009,19.47877
world,2010,21.10837
world,2011,23.31391
world,2012,24.71987
world,2013,23.23651
world,2014,24.19024
world,2015,26.01972
world,2016,30.38941
world,2017,31.10278
world,2018,31.29505
world,2019,33.25486
world,2020,41.09282
