geo,time,hd_hci_ovrl_ub_fe
afg,2017,0.375
afg,2018,0.37534
afg,2020,0.38044
ago,2017,0.381
ago,2018,0.37548
ago,2020,0.37722
alb,2010,0.57752
alb,2017,0.65
alb,2018,0.67592
alb,2020,0.67546
are,2010,0.66221
are,2018,0.70084
are,2020,0.6996
arg,2010,0.62494
arg,2017,0.642
arg,2018,0.63926
arg,2020,0.62449
arm,2017,0.605
arm,2018,0.61713
arm,2020,0.61389
atg,2018,0.61024
atg,2020,0.64051
aus,2010,0.77935
aus,2017,0.815
aus,2018,0.80566
aus,2020,0.79293
aut,2010,0.76501
aut,2017,0.809
aut,2018,0.79013
aut,2020,0.77346
aze,2010,0.52067
aze,2018,0.66429
aze,2020,0.60278
bdi,2010,0.36057
bdi,2017,0.407
bdi,2018,0.42878
bdi,2020,0.42567
bel,2010,0.77519
bel,2017,0.777
bel,2018,0.78157
bel,2020,0.78211
ben,2010,0.37869
ben,2017,0.425
ben,2018,0.4213
ben,2020,0.42493
bfa,2010,0.32911
bfa,2017,0.375
bfa,2018,0.39954
bfa,2020,0.40684
bgd,2017,0.502
bgd,2018,0.48073
bgd,2020,0.487
bgr,2010,0.68037
bgr,2017,0.726
bgr,2018,0.70313
bgr,2020,0.64371
bhr,2010,0.64237
bhr,2017,0.713
bhr,2018,0.70341
bhr,2020,0.695
bih,2017,0.639
bih,2018,0.63744
bih,2020,0.60175
blr,2020,0.74448
brn,2020,0.65391
btn,2020,0.4986
bwa,2010,0.41732
bwa,2017,0.474
bwa,2018,0.45569
bwa,2020,0.4574
can,2010,0.79129
can,2017,0.817
can,2018,0.81903
can,2020,0.81945
che,2010,0.78574
che,2017,0.789
che,2018,0.78245
che,2020,0.77582
chl,2010,0.65125
chl,2017,0.686
chl,2018,0.68888
chl,2020,0.6766
chn,2017,0.683
chn,2018,0.66715
chn,2020,0.67196
civ,2010,0.31391
civ,2017,0.342
civ,2018,0.38464
civ,2020,0.39652
cmr,2010,0.39319
cmr,2017,0.418
cmr,2018,0.41446
cmr,2020,0.41921
cod,2017,0.386
cod,2018,0.38485
cod,2020,0.38696
cog,2010,0.42876
cog,2017,0.438
cog,2018,0.44928
cog,2020,0.45104
col,2010,0.59608
col,2017,0.613
col,2018,0.62329
col,2020,0.62636
com,2017,0.439
com,2018,0.43693
com,2020,0.44354
cri,2010,0.61813
cri,2017,0.63
cri,2018,0.62461
cri,2020,0.65498
cyp,2010,0.71811
cyp,2017,0.768
cyp,2018,0.77112
cyp,2020,0.77166
cze,2010,0.76482
cze,2017,0.81
cze,2018,0.79101
cze,2020,0.78493
deu,2010,0.78703
deu,2017,0.813
deu,2018,0.78827
deu,2020,0.78002
dma,2018,0.5967
dma,2020,0.59481
dnk,2010,0.76898
dnk,2017,0.802
dnk,2018,0.79628
dnk,2020,0.78233
dom,2017,0.522
dom,2018,0.53878
dom,2020,0.53596
dza,2010,0.54829
dza,2017,0.554
dza,2018,0.56043
dza,2020,0.56514
ecu,2010,0.55174
ecu,2017,0.629
ecu,2018,0.62448
ecu,2020,0.62301
egy,2010,0.50075
egy,2017,0.52
egy,2018,0.52616
