geo,time,se_prm_tchr_fe_zs
abw,1999,77.80127
abw,2000,77.77778
abw,2001,78.71486
abw,2002,79.65116
abw,2004,80.7971
abw,2005,80.77601
abw,2006,81.64336
abw,2007,82.82828
abw,2008,82.55613
abw,2009,82.98969
abw,2010,84.12969
abw,2011,84.76821
abw,2012,84.52579
afg,1970,16.64379
afg,1971,16.78384
afg,1972,16.3017
afg,1973,18.31461
afg,1974,18.28887
afg,1975,18.06768
afg,1976,17.12732
afg,1989,55.96583
afg,1990,58.74487
afg,1993,41.22525
afg,1994,37.68138
afg,1999,9.72143
afg,2007,27.69055
afg,2008,28.99976
afg,2009,29.46975
afg,2010,31.00002
afg,2011,31.00014
afg,2012,31.00013
afg,2013,31.00025
afg,2015,34.54507
afg,2016,34.0001
afg,2017,34.75636
afg,2018,36.05203
afg,2019,36.15738
ago,1998,24.47424
ago,2007,40.00046
ago,2011,36.81257
ago,2015,49.10104
ago,2016,47.17877
alb,1997,72.91261
alb,2000,75.40435
alb,2001,73.46712
alb,2003,75.70991
alb,2008,80.88936
alb,2009,81.95881
alb,2010,81.77754
alb,2011,82.80818
alb,2012,83.17775
alb,2013,83.59931
alb,2014,83.83448
alb,2015,84.34628
alb,2016,84.66606
alb,2017,84.73776
alb,2018,84.93263
alb,2019,85.33442
alb,2020,85.83988
and,1975,75.35211
and,1983,57.46479
and,2002,75
and,2003,77.84257
and,2004,76.8546
and,2005,74.1573
and,2006,76.02906
and,2007,76.85185
and,2008,77.90179
and,2009,78.52194
and,2010,79.69095
and,2011,78.52194
and,2012,79.11833
and,2013,80.73394
and,2014,79.62529
and,2015,81.38425
and,2016,81.99052
and,2017,84.97537
and,2018,79.85437
and,2019,79.56204
and,2020,79.56204
are,1973,43.59305
are,1974,46.88427
are,1975,48.44151
are,1976,48.98151
are,1977,49.9742
are,1978,51.97416
are,1979,52.90568
are,1980,53.46535
are,1981,54.36947
are,1982,53.78255
are,1983,55.55766
are,1984,53.92194
are,1985,53.69882
are,1986,54.05847
are,1987,55.18917
are,1988,54.93075
are,1989,63.18034
are,1990,64.15569
are,1991,64.25834
are,1992,65.08867
are,1993,67.79053
are,1994,68.67968
are,1995,69.06596
are,1996,69.36435
are,1997,69.71761
are,1998,70.13826
are,1999,73.36728
are,2000,73.01963
are,2001,73.84055
are,2002,76.23503
are,2003,79.87502
are,2004,82.59384
are,2005,84.42191
are,2006,84.218
are,2007,84.50039
are,2009,85.86884
are,2010,86.41307
are,2011,87.34235
are,2012,92.40721
are,2013,90.15785
are,2014,90.69026
are,2015,89.5891
are,2016,90.20081
are,2019,76.31093
are,2020,77.23363
arg,1970,91.74212
arg,1971,92.0107
arg,1972,92.19817
arg,1973,92.471
arg,1974,92.54713
arg,1975,92.42029
arg,1976,92.53222
arg,1977,92.54604
arg,1981,92.05142
arg,1982,91.72198
arg,1984,92.47392
arg,1985,92.30264
arg,1986,92.57217
arg,1987,91.26929
arg,1988,91.4604
arg,1994,89.32579
arg,1998,89.09769
arg,1999,88.36588
arg,2000,89.09751
arg,2001,86.36244
arg,2002,86.36218
arg,2004,87.6032
arg,2005,87.6248
arg,2006,88.2932
arg,2007,87.26037
arg,2008,87.42139
arm,1991,93.66837
arm,1994,95.59963
arm,1996,93.99985
arm,1999,99.62326
arm,2001,99.09993
arm,2002,99.09686
arm,2003,99.09627
arm,2004,99.12729
arm,2005,99.17005
arm,2006,98.91608
arm,2007,99.68211
arm,2019,88.80111
arm,2020,88.89164
asm,1984,52.89017
asm,1985,62.39554
asm,1986,62.55507
asm,1987,69.11447
asm,1988,65.80517
asm,1989,65.2452
asm,1990,64.20824
asm,1991,64.21053
asm,1992,65.07634
atg,1972,64.83051
atg,1974,65.68182
atg,1975,82.3913
atg,1976,84.54198
atg,1977,88.06683
atg,1978,71.01449
atg,1979,85.64103
atg,2000,78.70504
atg,2007,92.37918
atg,2008,93.48148
atg,2009,94.96403
atg,2010,94.37751
atg,2011,91.17647
atg,2012,92.18543
atg,2014,92.57703
atg,2015,92.88762
atg,2017,91.39394
atg,2018,92.15686
aus,1971,53.5015
aus,1972,54.19017
aus,1973,70.47849
aus,1974,70.86311
aus,1975,71.67368
aus,1976,71.55981
aus,1977,71.50428
aus,1978,71.01777
aus,1979,70.78021
aus,1981,69.99322
aus,1984,71.83067
aus,1986,70.94227
aus,1987,71.35624
aus,1988,71.72724
aus,1989,72.27106
aus,1991,73.7381
aus,1992,74.16875
aus,1993,74.44837
aus,1995,76.08749
aus,1996,76.16729
aus,1997,76.89402
aut,1971,63.30445
aut,1972,64.85061
aut,1973,66.2334
aut,1974,68.26195
aut,1975,70.00553
aut,1976,70.55433
aut,1978,72.00267
aut,1979,73.97981
aut,1980,73.80636
aut,1981,75.48047
aut,1982,76.59374
aut,1983,77.08701
aut,1984,77.26362
aut,1985,78.70453
aut,1986,78.94592
aut,1987,79.7432
aut,1988,80.63006
aut,1989,80.73763
aut,1990,81.25222
aut,1991,81.72178
aut,1992,82.42221
aut,1993,82.5529
