geo,time,se_xpd_seco_zs
abw,1998,24.99765
abw,1999,29.22213
abw,2000,27.69825
abw,2001,29.55082
abw,2002,28.01178
abw,2004,28.42047
abw,2005,26.76837
abw,2012,31.29913
abw,2013,31.47156
abw,2014,34.43069
abw,2015,30.67691
abw,2016,33.24558
afg,1971,40.82087
afg,1975,36.84718
afg,1979,21.31231
afg,1980,21.50639
afg,1981,24.53649
afg,1982,22.49563
afg,1983,23.06347
afg,2010,26.69373
afg,2011,26.62432
afg,2012,25.39486
afg,2013,25.77935
afg,2014,25.39206
afg,2015,24.3563
afg,2016,21.83389
afg,2017,22.25369
ago,2005,55.21764
ago,2006,42.42431
alb,1994,19.674
alb,2013,19.83156
alb,2015,21.58166
alb,2016,25.36938
alb,2017,21.5625
and,2002,16.15862
and,2004,18.76191
and,2005,20.61861
and,2006,21.49304
and,2007,24.6467
and,2009,26.12787
and,2010,20.93461
and,2011,21.35985
and,2013,35.24732
and,2014,20.50635
and,2015,24.91345
and,2016,23.97025
and,2017,24.76438
and,2018,25.30678
arg,1970,30.28571
arg,1972,31.97026
arg,1973,33.01663
arg,1974,23.76396
arg,1975,30.86385
arg,1976,36.55797
arg,1977,29.68849
arg,1978,26.65889
arg,1979,28.08603
arg,1980,26.62529
arg,1982,26.16797
arg,1983,27.6454
arg,1984,26.94889
arg,1985,37.82183
arg,1986,43.64731
arg,1987,42.37857
arg,1989,45.12031
arg,1990,43.72448
arg,1996,33.63842
arg,1998,33.21242
arg,1999,36.90678
arg,2000,35.70325
arg,2001,36.62538
arg,2002,39.24177
arg,2003,37.2599
arg,2004,37.79909
arg,2005,41.68709
arg,2006,40.02116
arg,2007,39.24554
arg,2008,39.19364
arg,2009,40.77314
arg,2010,39.64997
arg,2011,40.47189
arg,2012,40.43839
arg,2013,41.52728
arg,2014,41.47732
arg,2015,41.33272
arg,2016,40.93612
arg,2017,39.5394
arm,2012,50.65113
arm,2013,48.881
arm,2014,54.46204
arm,2016,51.07427
arm,2017,46.87318
asm,1974,0
asm,1975,0
asm,1976,0
atg,1999,37.28083
atg,2002,35.1522
atg,2009,48.39249
aus,1993,41.8426
aus,1994,38.75274
aus,1995,37.63153
aus,1996,39.5365
aus,2000,38.58981
aus,2005,39.71213
aus,2006,39.60015
aus,2007,38.9362
aus,2008,38.6164
aus,2009,37.7816
aus,2010,36.78888
aus,2011,36.59127
aus,2012,35.26151
aus,2013,33.06493
aus,2014,32.36199
aus,2015,30.52541
aus,2016,31.27629
aut,1970,50.99292
aut,1971,51.85804
aut,1972,51.29145
aut,1973,53.95279
aut,1974,53.02287
aut,1975,53.07383
aut,1976,53.77747
aut,1977,54.28821
aut,1978,55.07731
aut,1979,55.81209
aut,1980,56.07734
aut,1981,52.47386
aut,1982,51.5995
aut,1983,51.45033
aut,1984,49.03708
aut,1985,49.59442
aut,1986,48.4376
aut,1987,49.50904
aut,1988,48.86982
aut,1989,48.55928
aut,1990,48.90799
aut,1991,48.0473
aut,1992,48.13036
aut,1993,47.07635
aut,1995,46.89327
aut,1996,48.33468
aut,1998,44.06058
aut,1999,44.83275
aut,2000,45.41346
aut,2001,45.20663
aut,2002,45.71637
aut,2003,48.93912
aut,2004,47.2796
aut,2005,45.93728
aut,2006,46.57931
