global,time,ny_gnp_pcap_cd
world,1962,481.25537
world,1963,508.13032
world,1964,544.26002
world,1965,585.83911
world,1966,628.376
world,1967,655.71861
world,1968,703.73634
world,1969,759.41123
world,1970,802.29937
world,1971,863.06811
world,1972,970.28225
world,1973,1172.50283
world,1974,1373.07076
world,1975,1540.0208
world,1976,1620.13743
world,1977,1717.43947
world,1978,1927.45185
world,1979,2280.23591
world,1980,2610.86818
world,1981,2716.10231
world,1982,2586.82964
world,1983,2453.13475
world,1984,2496.18102
world,1985,2574.04642
world,1986,2843.80613
world,1987,3320.6448
world,1988,3922.51948
world,1989,4058.48818
world,1990,4205.57484
world,1991,4314.82603
world,1992,4631.93758
world,1993,4717.26252
world,1994,4937.38074
world,1995,5250.25262
world,1996,5520.97609
world,1997,5569.15092
world,1998,5328.8938
world,1999,5333.72469
world,2000,5521.49438
world,2001,5499.62797
world,2002,5457.19615
world,2003,5857.98735
world,2004,6676.45007
world,2005,7394.09495
world,2006,7888.8252
world,2007,8408.90251
world,2008,9008.85037
world,2009,9042.07532
world,2010,9475.93029
world,2011,9945.0846
world,2012,10523.92999
world,2013,10895.27022
world,2014,11006.64632
world,2015,10651.50977
world,2016,10393.16085
world,2017,10466.71761
world,2018,11151.08578
world,2019,11554.40887
world,2020,11077.47327
