global,time,eg_elc_rnew_zs
world,1990,19.36204
world,1991,19.23357
world,1992,19.1584
world,1993,19.78795
world,1994,19.53812
world,1995,19.83536
world,1996,19.5051
world,1997,19.38297
world,1998,19.03618
world,1999,18.66458
world,2000,18.33315
world,2001,17.86959
world,2002,17.78865
world,2003,17.37855
world,2004,17.80972
world,2005,17.97509
world,2006,18.11623
world,2007,17.8814
world,2008,18.55475
world,2009,19.33418
world,2010,19.561
world,2011,19.93283
world,2012,20.90154
world,2013,21.71035
world,2014,22.40726
world,2015,22.85446
