geo,time,sh_sta_diab_zs
abw,2000,12.1
abw,2011,12.4
abw,2021,4.3
afg,2011,7.6
afg,2021,10.9
ago,2011,2.9
ago,2021,4.6
alb,2011,2.8
alb,2021,10.2
and,2011,5.4
and,2021,9.7
are,2011,18.8
are,2021,16.4
arg,2011,5.5
arg,2021,5.4
arm,2011,8.5
arm,2021,5.6
asm,2021,20.3
atg,2011,12.5
atg,2021,11.7
aus,2000,0
aus,2011,6.6
aus,2021,6.4
aut,2011,6.6
aut,2021,4.6
aze,2011,2.8
aze,2021,5.6
bdi,2011,2.7
bdi,2021,6.5
bel,2011,4.8
bel,2021,3.6
ben,2011,2
ben,2021,1.1
bfa,2011,3
bfa,2021,2.1
bgd,2011,10.5
bgd,2021,14.2
bgr,2011,6.7
bgr,2021,7.4
bhr,2000,14.8
bhr,2011,19.5
bhr,2021,11.3
bhs,2011,12.1
bhs,2021,8.8
bih,2011,7.5
bih,2021,9.1
blr,2011,8
blr,2021,5.6
blz,2011,17
blz,2021,14.5
bmu,2000,12.1
bmu,2011,12
bmu,2021,13
bol,2011,6.6
bol,2021,5.5
bra,2011,10.1
bra,2021,8.8
brb,2000,13.2
brb,2011,12.4
brb,2021,14
brn,2011,9.4
brn,2021,11.1
btn,2011,5.7
btn,2021,10.4
bwa,2011,10.8
bwa,2021,5.2
caf,2011,3.2
caf,2021,5.8
can,2011,8.4
can,2021,7.7
chanisl,2011,4.9
chanisl,2021,6.3
che,2011,5.9
che,2021,4.6
chl,2011,9.5
chl,2021,10.8
chn,2011,8.8
chn,2021,10.6
civ,2011,4.9
civ,2021,2.1
cmr,2000,0
cmr,2011,6.1
cmr,2021,5.5
cod,2011,3.1
cod,2021,5.8
cog,2011,5.5
cog,2021,5.5
col,2011,9.8
col,2021,8.3
com,2011,8.4
com,2021,11.7
cpv,2011,5.4
cpv,2021,2.1
cri,2011,9.6
cri,2021,8.8
cub,2011,9.4
cub,2021,7.6
cym,2000,12.1
cym,2011,12
cym,2021,13
cyp,2011,9.3
cyp,2021,8.6
cze,2000,11.7
cze,2011,5.3
cze,2021,7.1
deu,2011,5.3
deu,2021,6.9
dji,2011,6.3
dji,2021,7.4
dma,2011,8.9
dma,2021,11.7
dnk,2011,5.6
dnk,2021,5.3
dom,2011,8.1
dom,2021,10.5
dza,2011,7
dza,2021,7.1
ecu,2011,6.6
ecu,2021,4.4
egy,2011,16.6
egy,2021,20.9
eri,2011,3.6
eri,2021,6.5
esp,2011,6.3
esp,2021,10.3
est,2011,7
est,2021,6.5
eth,2011,3.4
eth,2021,5
fin,2011,5.8
fin,2021,6.1
fji,2011,10.9
fji,2021,17.7
fra,2011,5.4
fra,2021,5.3
fro,2021,3.8
fsm,2011,15.7
fsm,2021,15.6
gab,2011,10.3
gab,2021,5.5
gbm,2021,6.3
gbr,2011,5.2
gbr,2021,6.3
geo,2011,2.8
geo,2021,5.7
gha,2011,5
gha,2021,2.6
gin,2011,4.4
gin,2021,2.1
gmb,2011,2
gmb,2021,1.9
gnb,2011,3
gnb,2021,2.1
gnq,2011,4.2
gnq,2021,5.5
grc,2011,5.1
grc,2021,6.4
grd,2000,12.1
grd,2011,8.6
grd,2021,12.6
grl,2021,3.3
gtm,2011,9.3
gtm,2021,13.1
gum,2011,8.6
gum,2021,19.1
guy,2011,16.7
guy,2021,11.7
hkg,2000,12.1
hkg,2011,7.6
hkg,2021,7.8
hnd,2011,6.7
hnd,2021,5.1
hrv,2011,5.2
hrv,2021,4.8
hti,2011,6.6
hti,2021,8.9
hun,2011,6
hun,2021,7
idn,2011,5.1
idn,2021,10.6
ind,2011,9
ind,2021,9.6
irl,2011,5.2
irl,2021,3
irn,2011,11.1
irn,2021,9.1
irq,2011,9.1
irq,2021,10.7
isl,2011,3.2
isl,2021,5.5
isr,2011,7.4
isr,2021,8.5
ita,2011,5.1
ita,2021,6.4
jam,2011,15.7
jam,2021,11.1
jor,2011,12.1
jor,2021,15.4
jpn,2011,7.7
jpn,2021,6.6
kaz,2011,7.7
kaz,2021,6.6
ken,2011,5.1
ken,2021,4
kgz,2011,6.3
kgz,2021,6.6
khm,2011,2.9
khm,2021,7.3
kir,2011,25.3
kir,2021,22.1
kna,2000,12.1
kna,2011,8.5
kna,2021,16.1
kor,2011,7.5
kor,2021,6.8
kwt,2011,20.7
kwt,2021,24.9
lao,2011,3.3
lao,2021,6.2
lbn,2011,19.6
lbn,2021,8
lbr,2011,3.3
lbr,2021,2.1
lby,2011,13.8
lby,2021,8.7
lca,2011,8.4
lca,2021,11.7
lie,2011,4.7
lie,2021,6.1
lka,2011,7.5
lka,2021,11.3
lso,2011,3.4
lso,2021,4.6
ltu,2011,7.8
ltu,2021,5.8
lux,2011,4.5
lux,2021,5.9
lva,2011,7.8
lva,2021,5.9
mac,2011,7.2
mac,2021,7.8
mar,2011,6.8
mar,2021,9.1
mco,2011,5.6
mco,2021,6.2
mda,2011,2.7
mda,2021,5.6
mdg,2011,4.7
mdg,2021,4.6
mdv,2011,9.2
mdv,2021,9.2
mex,2000,14.2
mex,2011,15.6
mex,2021,16.9
mhl,2011,21.8
mhl,2021,23
mkd,2011,7.7
mkd,2021,6.1
mli,2011,1.9
mli,2021,2.1
mlt,2011,6.6
mlt,2021,8
mmr,2011,7.1
mmr,2021,7.1
mne,2011,7.7
mne,2021,9.1
mng,2011,7.1
mng,2021,6.9
mnp,2021,23.4
moz,2011,3.1
moz,2021,3.3
mrt,2011,4.3
mrt,2021,2.1
mus,2000,15
mus,2011,14.8
mus,2021,22.6
mwi,2011,5.6
mwi,2021,7.3
mys,2011,12.1
mys,2021,19
nam,2011,7.8
nam,2021,6.7
ncl,2011,8.6
ncl,2021,23.4
ner,2011,4.2
ner,2021,5.2
nga,2011,4.8
nga,2021,3.6
nic,2011,11
nic,2021,9.3
nld,2011,5.3
nld,2021,4.5
nld_curacao,2021,11.7
nor,2011,4.7
nor,2021,3.6
