geo,time,ic_frm_thev_zs
afg,2008,12.3
afg,2014,17.3
ago,2006,18
ago,2010,12.5
alb,2007,16.6
alb,2013,5.2
alb,2019,5.7
arg,2006,38.9
arg,2010,32.7
arg,2017,14.5
arm,2009,11.1
arm,2013,4.5
arm,2020,8.6
atg,2010,20.1
aze,2009,4.1
aze,2013,1.9
aze,2019,1.7
bdi,2006,21.9
bdi,2014,11.3
bel,2020,20.7
ben,2009,16
ben,2016,9.4
bfa,2009,18.1
bgd,2007,6.5
bgd,2013,7.6
bgr,2007,20.9
bgr,2009,17.8
bgr,2013,20.3
bgr,2019,10.3
bhs,2010,44
bih,2009,19
bih,2013,19.4
bih,2019,17.7
blr,2008,26.7
blr,2013,20.5
blr,2018,10.2
blz,2010,7.6
bol,2006,30
bol,2010,30.5
bol,2017,21.8
bra,2009,38.3
brb,2010,8.5
btn,2009,16.5
btn,2015,15.7
bwa,2006,42.5
bwa,2010,50.7
caf,2011,40.1
chl,2006,45.4
chl,2010,47.7
chn,2012,3.9
civ,2009,22.6
civ,2016,20.6
cmr,2009,45.5
cmr,2016,34
cod,2006,30.7
cod,2010,24.7
cod,2013,20.6
cog,2009,25.6
col,2006,24
col,2010,28.7
col,2017,21.2
cpv,2009,43.2
cri,2010,32.8
cyp,2019,12.8
cze,2009,35.5
cze,2013,35.9
cze,2019,19.9
dji,2013,14.5
dma,2010,2.1
dnk,2020,24.7
dom,2010,26.9
dom,2016,16.7
ecu,2006,32.5
ecu,2010,31.3
ecu,2017,17.3
egy,2013,7.2
egy,2016,6.1
egy,2020,0.2
eri,2009,0.7
est,2009,44.4
est,2013,24.3
est,2019,14.4
eth,2011,10
eth,2015,6.5
fin,2020,18.4
fji,2009,30.9
fsm,2009,50.2
gab,2009,21.9
geo,2008,17.8
geo,2013,2.9
geo,2019,11.5
gha,2007,24.3
gha,2013,20.1
gin,2006,24.7
gin,2016,12.9
gmb,2006,30.8
gmb,2018,29.3
gnb,2006,35.3
grc,2018,19.3
grd,2010,34.4
gtm,2006,30.8
gtm,2010,34.7
gtm,2017,37.4
guy,2010,43.2
hnd,2006,39.7
hnd,2010,30.9
hnd,2016,27.7
hrv,2007,28.5
hrv,2013,22.1
hrv,2019,6.7
hun,2009,17.8
hun,2013,9.4
hun,2019,9.9
idn,2009,4.3
idn,2015,4
ind,2014,3.7
irl,2020,27.9
irq,2011,8.6
isr,2013,10.1
ita,2019,4.1
jam,2010,13.3
jor,2013,1.6
jor,2019,0.7
kaz,2009,17.1
kaz,2013,13.6
kaz,2019,7.6
ken,2013,28.9
ken,2018,22.7
kgz,2009,15.2
kgz,2013,15
kgz,2019,6.2
khm,2016,27.5
kna,2010,49
kos,2009,5
kos,2013,23.6
kos,2019,3.7
lao,2009,21.7
lao,2012,25.5
lao,2016,4
lao,2018,9.5
lbn,2013,4.2
lbn,2019,2.4
lbr,2009,41.1
lbr,2017,33.7
lca,2010,6.5
lka,2011,8.1
lso,2009,55.6
lso,2016,24
ltu,2009,30.8
ltu,2013,16.6
ltu,2019,7.9
lux,2020,17.5
lva,2009,34.1
lva,2013,18.2
lva,2019,15.2
mar,2013,7.7
mar,2019,7.8
mda,2009,17.1
mda,2013,7.6
mda,2019,12.6
mdg,2009,26.7
mdg,2013,24.4
mex,2006,23.1
mex,2010,40.3
mkd,2009,22.9
