geo,time,tx_uvi_mrch_xd_wd
abw,2000,100
abw,2001,91.55335
abw,2002,87.07338
abw,2003,103.07267
abw,2004,131.63347
abw,2005,193.76282
abw,2006,229.44264
abw,2007,249.0971
abw,2008,326.40433
abw,2009,210.67714
abw,2010,244.61312
abw,2011,329.34711
abw,2012,336.36979
abw,2013,326.1592
abw,2014,308.92557
abw,2015,251.84396
abw,2016,259.81563
abw,2017,281.20179
abw,2018,294.06933
abw,2019,292.81004
abw,2020,287.42676
afg,2000,100
afg,2001,111.07162
afg,2002,108.2646
afg,2003,111.41736
afg,2004,133.09904
afg,2005,145.27983
afg,2006,163.66742
afg,2007,182.73282
afg,2008,217.25706
afg,2009,209.3971
afg,2010,237.37648
afg,2011,274.125
afg,2012,248.85453
afg,2013,240.00747
afg,2014,235.73636
afg,2015,224.23362
afg,2016,227.46273
afg,2017,247.23845
afg,2018,256.54563
afg,2019,260.75886
afg,2020,268.93841
ago,1985,63
ago,1986,58
ago,1987,62
ago,1988,64
ago,1989,74
ago,1990,82
ago,1991,96
ago,1992,48
ago,1993,58
ago,1994,48
ago,1995,63
ago,1996,90
ago,1997,69
ago,1998,43
ago,1999,63
ago,2000,100
ago,2001,87.87912
ago,2002,89.06759
ago,2003,102.79145
ago,2004,129.92839
ago,2005,180.86032
ago,2006,214.86206
ago,2007,244.51302
ago,2008,320.80109
ago,2009,210.76632
ago,2010,263.87943
ago,2011,372.06999
ago,2012,376.53483
ago,2013,364.10918
ago,2014,341.42208
ago,2015,182.75299
ago,2016,153.72885
ago,2017,197.25165
ago,2018,257.28984
ago,2019,233.15455
ago,2020,149.66684
alb,2000,100
alb,2001,98.88072
alb,2002,98.19014
alb,2003,100.38541
alb,2004,106.54862
alb,2005,111.95789
alb,2006,118.48012
alb,2007,126.59289
alb,2008,144.50375
alb,2009,131.00277
alb,2010,145.37246
alb,2011,166.44646
alb,2012,163.86243
alb,2013,160.61574
alb,2014,156.98327
alb,2015,138.27812
alb,2016,135.20785
alb,2017,142.74295
alb,2018,150.92241
alb,2019,148.08448
alb,2020,147.02542
and,2000,100
and,2001,98.27039
and,2002,97.4222
and,2003,99.17938
and,2004,100.53631
and,2005,108.9528
and,2006,124.60081
and,2007,129.14903
and,2008,135.11512
and,2009,131.998
and,2010,132.93399
and,2011,137.17733
and,2012,135.65476
and,2013,132.36784
and,2014,131.15894
and,2015,126.42984
and,2016,123.92415
and,2017,125.44032
and,2018,135.81478
and,2019,134.89333
and,2020,139.11152
are,1980,111.73
are,1981,128.924
are,1982,123.074
are,1983,107.6
are,1984,104.65
are,1985,100
are,1986,49.2536
are,1987,62.7095
are,1988,48.7462
are,2000,100
are,2001,92.95165
are,2002,90.64783
are,2003,103.07434
are,2004,122.9636
are,2005,155.7677
are,2006,180.41239
are,2007,196.15009
are,2008,248.87942
are,2009,201.9813
are,2010,235.26719
are,2011,294.32834
are,2012,294.31303
are,2013,284.3198
are,2014,276.12553
are,2015,221.84799
are,2016,209.46562
are,2017,228.41994
are,2018,254.2211
are,2019,245.25343
are,2020,232.84507
arg,1980,85
arg,1981,79
arg,1982,68
arg,1983,73
arg,1984,72
arg,1985,80
arg,1986,84
arg,1987,83
arg,1988,78
arg,1989,76
arg,1990,75
arg,1991,93
arg,1992,97
arg,1993,98
arg,1994,106
arg,1995,109
arg,1996,116
arg,1997,109
arg,1998,99
arg,1999,91
arg,2000,100
arg,2001,95.20729
arg,2002,91.56131
arg,2003,101.97001
arg,2004,117.43605
arg,2005,122.90503
arg,2006,135.46016
arg,2007,153.33725
arg,2008,193.88415
arg,2009,173.06675
arg,2010,187.18024
arg,2011,221.6995
arg,2012,227.10967
arg,2013,223.87533
arg,2014,218.34754
arg,2015,185.15143
arg,2016,176.18348
arg,2017,178.88856
arg,2018,189.20906
arg,2019,177.65363
arg,2020,172.6845
arm,2000,100
arm,2001,97.51157
arm,2002,96.54687
arm,2003,101.62753
arm,2004,116.64234
arm,2005,122.8624
arm,2006,149.01575
arm,2007,161.47778
arm,2008,188.4652
arm,2009,169.09227
arm,2010,204.24079
arm,2011,228.2798
arm,2012,214.73912
arm,2013,202.61719
arm,2014,197.40668
arm,2015,176.46825
arm,2016,172.03677
arm,2017,193.33707
arm,2018,205.44324
arm,2019,201.5869
arm,2020,206.21521
asm,2000,100
asm,2001,95.61066
asm,2002,92.55866
asm,2003,109.83636
asm,2004,122.3083
asm,2005,120.08799
asm,2006,203.77162
asm,2007,217.73613
asm,2008,239.76933
asm,2009,229.98071
asm,2010,252.84723
asm,2011,269.00617
asm,2012,270.36418
asm,2013,271.28326
asm,2014,273.18828
asm,2015,255.47065
asm,2016,260.14966
asm,2017,263.93751
asm,2018,278.66281
asm,2019,271.83658
asm,2020,271.3677
atg,2000,100
atg,2001,89.51203
atg,2002,89.40734
atg,2003,89.00108
atg,2004,91.1036
atg,2005,91.70436
atg,2006,101.36187
atg,2007,111.05272
atg,2008,138.52605
atg,2009,131.11193
atg,2010,144.79287
atg,2011,171.00706
atg,2012,168.1839
atg,2013,163.88607
atg,2014,163.21749
atg,2015,145.09524
atg,2016,137.36984
atg,2017,140.2381
atg,2018,152.02892
atg,2019,147.55349
atg,2020,141.32298
aus,2000,100
aus,2001,98.12626
aus,2002,100.04729
aus,2003,109.85967
aus,2004,129.09676
aus,2005,152.89814
aus,2006,174.19139
aus,2007,194.69672
aus,2008,243.94188
aus,2009,211.57789
aus,2010,258.53134
aus,2011,327.4519
aus,2012,302.91494
aus,2013,280.97193
aus,2014,252.69239
aus,2015,191.13818
aus,2016,182.68878
aus,2017,220.16419
aus,2018,232.99464
aus,2019,244.34298
aus,2020,234.88615
aut,2000,100
aut,2001,98.07806
aut,2002,102.84978
aut,2003,121.4532
aut,2004,134.99915
aut,2005,139.62984
aut,2006,146.03672
aut,2007,164.59528
aut,2008,182.04896
aut,2009,168.15308
aut,2010,163.39057
aut,2011,179.47648
aut,2012,168.9067
aut,2013,174.6898
aut,2014,174.39292
aut,2015,148.63532
aut,2016,149.86178
aut,2017,157.49696
aut,2018,169.26113
aut,2019,162.85411
aut,2020,166.54443
aze,2000,100
aze,2001,88.59894
aze,2002,88.50264
aze,2003,101.79831
aze,2004,129.10909
aze,2005,173.2103
aze,2006,207.28246
aze,2007,227.26716
aze,2008,307.69808
aze,2009,201.59932
aze,2010,255.08552
aze,2011,345.5091
aze,2012,350.84114
aze,2013,339.53733
aze,2014,312.43876
aze,2015,181.67203
aze,2016,150.23892
aze,2017,186.79004
aze,2018,239.59399
aze,2019,213.91524
aze,2020,154.20029
bdi,1980,702
bdi,1981,516
bdi,1982,540
bdi,1983,577
bdi,1984,608
bdi,1985,603
bdi,1986,785
bdi,1987,548
bdi,1988,682
bdi,1989,568
bdi,1990,440
bdi,1991,446
bdi,1992,286
bdi,1993,295
bdi,1994,413
bdi,1995,440
bdi,1996,270
bdi,1997,264
bdi,1998,206
bdi,1999,131
bdi,2000,100
bdi,2001,79.18067
bdi,2002,81.46423
bdi,2003,89.83154
bdi,2004,101.88175
bdi,2005,131.64755
bdi,2006,154.74761
bdi,2007,168.80912
bdi,2008,203.43652
bdi,2009,200.43635
bdi,2010,249.83422
bdi,2011,320.18371
bdi,2012,309.8201
bdi,2013,264.86781
bdi,2014,257.40214
bdi,2015,236.64271
bdi,2016,244.00522
bdi,2017,263.95061
bdi,2018,256.58214
bdi,2019,259.84848
bdi,2020,294.51633
bel,2000,100
bel,2001,98.69917
bel,2002,103.92335
bel,2003,122.88853
bel,2004,137.15458
bel,2005,144.58382
bel,2006,151.36969
bel,2007,169.17028
bel,2008,188.72649
bel,2009,167.0718
bel,2010,169.50534
bel,2011,189.89428
bel,2012,179.66713
bel,2013,184.37612
bel,2014,182.25021
bel,2015,151.2788
bel,2016,146.71798
bel,2017,157.32204
bel,2018,169.53455
bel,2019,161.77072
bel,2020,162.54476
ben,1980,57
ben,1981,48
ben,1982,71
ben,1983,66
ben,1984,65
ben,1985,62
ben,1986,71
ben,1987,82
ben,1988,94
ben,1989,83
ben,1990,107
ben,1991,98
ben,1992,69
ben,1993,84
ben,1994,91
ben,1995,129
ben,1996,113
ben,1997,110
ben,1998,114
ben,1999,112
ben,2000,100
ben,2001,87.60277
ben,2002,85.15135
ben,2003,104.88202
ben,2004,115.93004
ben,2005,128.38598
ben,2006,142.36933
ben,2007,156.57291
ben,2008,197.30739
ben,2009,174.64502
ben,2010,211.93925
ben,2011,271.84383
ben,2012,249.45929
ben,2013,234.82632
ben,2014,229.12868
ben,2015,203.03261
ben,2016,210.16022
ben,2017,225.64553
ben,2018,237.70985
ben,2019,224.02313
ben,2020,227.14606
bfa,1980,76
bfa,1981,64
bfa,1982,65
bfa,1983,73
bfa,1984,81
bfa,1985,80
bfa,1986,84
bfa,1987,110
bfa,1988,124
bfa,1989,133
bfa,1990,139
bfa,1991,129
bfa,1992,89
bfa,1993,88
bfa,1994,123
bfa,1995,148
bfa,1996,141
bfa,1997,129
bfa,1998,122
bfa,1999,109
bfa,2000,100
bfa,2001,89.85981
bfa,2002,87.66296
bfa,2003,111.96681
bfa,2004,113.96116
bfa,2005,104.79481
bfa,2006,112.45362
bfa,2007,128.33795
bfa,2008,153.13562
bfa,2009,148.7851
bfa,2010,196.36314
bfa,2011,255.29187
bfa,2012,251.88317
bfa,2013,227.84003
bfa,2014,211.23102
bfa,2015,189.97806
bfa,2016,203.42794
