geo,time,ny_gdp_totl_rt_zs
abw,1986,0.00088
abw,1987,0.00073
abw,1988,0.00058
abw,1989,0.00049
abw,1990,0.00155
abw,1991,0.00163
abw,1992,0.00138
abw,1993,0.00093
abw,1994,0.00094
abw,1995,0.00117
abw,1996,0.00082
abw,1997,0.001
abw,1998,0.00085
abw,1999,0.00072
abw,2000,0.0007
abw,2001,0.00071
abw,2002,0.00066
abw,2003,0.0007
abw,2004,0.00069
abw,2005,0.00065
abw,2006,0.00094
abw,2007,0.00092
abw,2008,0.00095
abw,2009,0.00097
abw,2010,0.00236
abw,2011,0.00195
abw,2012,0.00197
abw,2013,0.00226
abw,2014,0.00327
abw,2015,0.00242
abw,2016,0.00336
abw,2017,0.00286
afg,1970,0.30288
afg,1971,0.37396
afg,1972,0.43526
afg,1973,0.87148
afg,1974,1.15272
afg,1975,1.64053
afg,1976,1.89231
afg,1977,1.79891
afg,1978,1.63285
afg,1979,2.25036
afg,1980,2.58388
afg,1981,2.07506
afg,2002,1.02357
afg,2003,0.71001
afg,2004,0.44003
afg,2005,0.38172
afg,2006,0.50227
afg,2007,0.44937
afg,2008,0.6113
afg,2009,0.41806
afg,2010,0.60998
afg,2011,0.87928
afg,2012,0.70228
afg,2013,0.54588
afg,2014,0.54448
afg,2015,0.49531
afg,2016,0.67746
afg,2017,0.69679
afg,2018,0.91537
afg,2019,0.77396
ago,1980,20.57787
ago,1981,10.72234
ago,1982,5.19167
ago,1983,10.88774
ago,1984,16.8371
ago,1985,15.18113
ago,1986,7.4821
ago,1987,17.32088
ago,1988,15.7874
ago,1989,23.24997
ago,1990,28.95862
ago,1991,17.33138
ago,1992,28.03966
ago,1993,33.78502
ago,1994,39.42914
ago,1995,42.40854
ago,1996,46.0079
ago,1997,39.33206
ago,1998,18.52995
ago,1999,40.04539
ago,2000,55.45007
ago,2001,38.43443
ago,2002,27.69339
ago,2003,24.04877
ago,2004,40.1937
ago,2005,45.82718
ago,2006,43.49005
ago,2007,46.27901
ago,2008,55.85217
ago,2009,30.7325
ago,2010,40.14246
ago,2011,41.15369
ago,2012,36.22852
ago,2013,30.81603
ago,2014,23.67104
ago,2015,10.80156
ago,2016,10.85711
ago,2017,16.45241
ago,2018,27.42822
ago,2019,26.19427
alb,1984,16.19357
alb,1985,16.50765
alb,1986,7.69904
alb,1987,10.70182
alb,1988,11.09211
alb,1989,13.56809
