global,time,ms_mil_mprt_kd
world,1960,16124000000
world,1961,15746000000
world,1962,16007000000
world,1963,18454000000
world,1964,24299000000
world,1965,22920000000
world,1966,22235000000
world,1967,22575000000
world,1968,23042000000
world,1969,25775000000
world,1970,22892000000
world,1971,29869000000
world,1972,29355000000
world,1973,33324000000
world,1974,34209000000
world,1975,35207000000
world,1976,32681000000
world,1977,37202000000
world,1978,40233000000
world,1979,33612000000
world,1980,37666000000
world,1981,42561000000
world,1982,41921000000
world,1983,40356000000
world,1984,37799000000
world,1985,34362000000
world,1986,36374000000
world,1987,36890000000
world,1988,33435000000
world,1989,32894000000
world,1990,28969000000
world,1991,27955000000
world,1992,24245000000
world,1993,25853000000
world,1994,22833000000
world,1995,22975000000
world,1996,23820000000
world,1997,28879000000
world,1998,27793000000
world,1999,25137000000
world,2000,19248000000
world,2001,18434000000
world,2002,17782000000
world,2003,18932000000
world,2004,21325000000
world,2005,20898000000
world,2006,24560000000
world,2007,26607000000
world,2008,24105000000
world,2009,23806000000
world,2010,25718000000
world,2011,29971000000
world,2012,27956000000
world,2013,27128000000
world,2014,26983000000
world,2015,28585000000
world,2016,31371000000
world,2017,31694000000
world,2018,26967000000
world,2019,26933000000
world,2020,22400000000
