geo,time,tm_tax_mrch_wm_ar_zs
abw,2011,9.97
abw,2012,9.52
abw,2013,9.69
abw,2015,10.02
abw,2016,10.16
abw,2017,10.3
abw,2018,10.15
abw,2019,12.12
afg,2004,4.01
afg,2006,7.79
afg,2007,7.8
afg,2008,5
afg,2012,5.47
afg,2013,5.47
afg,2018,5.63
ago,2002,8.44
ago,2004,6.16
ago,2005,7.08
ago,2006,7.08
ago,2008,9.17
ago,2009,9.15
ago,2010,9.23
ago,2011,8.36
ago,2012,7.61
ago,2013,7.52
ago,2014,10.3
ago,2015,9.38
ago,2016,9.38
ago,2018,7.68
ago,2019,6.52
ago,2020,9.23
alb,1997,14.41
alb,2000,11.65
alb,2001,11.28
alb,2002,8.35
alb,2003,8.17
alb,2004,7.34
alb,2005,7.11
alb,2006,6.61
alb,2007,5.72
alb,2008,2.08
alb,2009,4.9
alb,2010,4.87
alb,2011,1.24
alb,2012,1.1
alb,2013,1.17
alb,2014,1.14
alb,2015,1.11
alb,2016,1.06
alb,2017,0.85
alb,2018,1.02
alb,2019,1.02
alb,2020,1.1
are,2005,4.2
are,2007,3.69
are,2008,3.62
are,2009,3.62
are,2011,3.87
are,2012,3.53
are,2013,3.61
are,2014,3.21
are,2015,2.99
are,2016,2.82
are,2017,4.75
are,2018,4.4
are,2019,3.94
are,2020,3.28
arg,1992,12.66
arg,1993,12.53
arg,1995,8.34
arg,1996,13.33
arg,1997,13.93
arg,1998,15.67
arg,1999,11.29
arg,2000,10.52
arg,2001,9.25
arg,2002,12.01
arg,2003,12.87
arg,2004,5.96
arg,2005,5.22
arg,2006,5.49
arg,2007,5.83
arg,2008,5.39
arg,2009,5.93
arg,2010,5.99
arg,2011,5.68
arg,2012,6.02
arg,2013,6.27
arg,2014,6.63
arg,2015,7.35
arg,2016,7.53
arg,2017,7.93
arg,2018,7.42
arg,2019,7.26
arg,2020,6.88
arm,2001,2.43
arm,2003,2.27
arm,2004,2.41
arm,2005,2.28
arm,2006,1.94
arm,2007,2.42
arm,2008,2.27
arm,2009,2.69
arm,2010,2.8
arm,2011,3.08
arm,2012,2.41
arm,2013,2.23
arm,2014,2.39
arm,2015,2.93
arm,2016,2.13
arm,2017,2.22
arm,2019,4.09
arm,2020,3.11
atg,1996,22.64
atg,1999,20.3
atg,2000,15.39
atg,2001,12.8
atg,2002,12.8
atg,2003,12.36
atg,2004,12.11
atg,2005,12.18
atg,2006,11.73
atg,2007,13.57
atg,2008,12.83
atg,2009,14.8
atg,2010,11.56
atg,2011,11.56
atg,2012,12
atg,2013,14.51
