geo,time,sh_sgr_proc_p5
afg,2008,229
alb,2013,1900
and,2014,5178
arm,2015,4198
aus,2015,28907
aus,2016,10156
aut,2014,13795
aze,2015,1842
bel,2013,20712
bfa,2012,328
bgd,2011,161
bgr,2005,5145
bgr,2010,6884
bhr,2012,3899
blr,2014,8741
blz,2014,1964
bol,2010,2305
bra,2015,13940
btn,2015,2639
che,2012,25923
chn,2012,2732
col,2015,27385
cri,2014,3746
cub,2012,4757
cym,2015,8771
cyp,2014,3057
cze,2012,6268
deu,2012,12188
dnk,2015,21197
ecu,2015,1552
esp,2010,10110
esp,2014,10579
est,2014,9684
eth,2011,43
fin,2014,8850
fji,2016,1490
fra,2012,16306
gbm,2014,9770
gbr,2010,7181
gbr,2012,15280
gbr,2014,10487
geo,2014,5488
gha,2015,869
gtm,2012,1505
hun,2010,13827
irl,2010,3053
isr,2014,4879
ita,2012,6918
jor,2015,2982
kaz,2015,4459
ken,2002,263
kgz,2015,3045
kir,2016,1718
kor,2012,3406
kos,2014,1558
lbr,2013,330
lbr,2018,462
lka,2015,4943
ltu,2015,10189
lux,2012,21933
lva,2015,18395
mar,2015,756
mda,2014,4898
mdg,2016,163
mex,2015,1303
mli,2009,3321
mlt,2012,13232
mmr,2011,668
mng,2014,5339
moz,2015,367
mus,2014,2057
mwi,2003,372
ner,2014,263
nic,2010,4860
nld,2012,16639
npl,2011,209
nru,2016,7130
nzl,2016,5308
omn,2015,2293
per,2011,3005
png,2016,1264
pol,2012,1515
prt,2011,8439
qat,2009,1891
rus,2010,6622
rwa,2010,512
sau,2012,3399
slb,2016,868
sle,2012,400
sle,2017,372
slv,2009,2797
smr,2015,5145
ssd,2014,268
svk,2012,8786
svn,2010,7579
swe,2014,15228
swe,2017,17480
syc,2012,4268
syr,2010,1617
tcd,2012,52
tjk,2015,1691
tkm,2015,2698
tls,2016,433
ton,2016,5061
tur,2010,11911
tuv,2016,3417
uga,2011,241
ukr,2011,5337
usa,2007,12087
uzb,2015,2584
vct,2015,2509
vut,2016,1277
wsm,2016,1552
yem,2014,158
zmb,2010,680
