geo,time,si_dst_50md
ago,2000,23.4
ago,2008,17.1
ago,2018,22.8
alb,1996,7.5
alb,2002,8.4
alb,2005,9
alb,2008,7.2
alb,2012,7.8
alb,2014,14.4
alb,2015,10.8
alb,2016,12.7
alb,2017,11.7
alb,2018,11.8
alb,2019,9.2
are,2013,19.3
are,2018,9.1
arg,1980,19.3
arg,1986,17.9
arg,1987,18.7
arg,1991,17.2
arg,1992,19.6
arg,1993,20.1
arg,1994,20.9
arg,1995,21.2
arg,1996,22.6
arg,1997,22.2
arg,1998,23
arg,1999,22.5
arg,2000,24.7
arg,2001,26.1
arg,2002,25.9
arg,2003,24.5
arg,2004,24.1
arg,2005,23.6
arg,2006,23
arg,2007,23.2
arg,2008,21.9
arg,2009,22.1
arg,2010,21.6
arg,2011,20.7
arg,2012,20.2
arg,2013,20.2
arg,2014,20.2
arg,2016,20.7
arg,2017,19.7
arg,2018,20.2
arg,2019,21.2
arg,2020,21.2
arm,1999,9.3
arm,2001,9.3
arm,2002,7.3
arm,2003,6.2
arm,2004,8
arm,2005,6.9
arm,2006,7
arm,2007,8.2
arm,2008,6.4
arm,2009,5.7
arm,2010,6.1
arm,2011,6.5
arm,2012,7.3
arm,2013,8
arm,2014,8.4
arm,2015,8.8
arm,2016,11.8
arm,2017,6.9
arm,2018,7.8
arm,2019,7.2
arm,2020,4.8
aus,1981,10.5
aus,1985,10.7
aus,1989,11.2
aus,1995,10.2
aus,2001,10.2
aus,2003,10.5
aus,2004,9.7
aus,2008,10.3
aus,2010,10.3
aus,2014,10
aus,2016,10.7
aus,2018,11.7
aut,1987,5
aut,1994,9.5
aut,1995,13.5
aut,1997,9.5
aut,2000,9
aut,2003,8.8
aut,2004,8.5
aut,2005,7.9
aut,2006,8.1
aut,2007,10
aut,2008,10.4
aut,2009,11.3
aut,2010,10.4
aut,2011,10.1
aut,2012,10.7
aut,2013,9.6
aut,2014,10.5
aut,2015,11.3
aut,2016,10.7
aut,2017,10.7
aut,2018,10.2
aut,2019,10.5
aze,1995,12.6
aze,2001,9.6
aze,2002,1.9
aze,2003,3.1
aze,2004,1
aze,2005,0.9
bdi,1992,9.9
bdi,1998,17.4
bdi,2006,2.9
bdi,2013,11.2
bel,1985,6
bel,1988,6.7
bel,1992,7
bel,1995,8.4
bel,1997,8
bel,2000,7
bel,2003,9.3
bel,2004,9.1
bel,2005,8.5
bel,2006,9.1
bel,2007,9.1
bel,2008,8.8
bel,2009,9.4
bel,2010,9.6
bel,2011,10.2
bel,2012,9.1
bel,2013,10.1
bel,2014,9.7
bel,2015,10.5
bel,2016,10.2
bel,2017,9.9
bel,2018,9.6
bel,2019,8.6
ben,2003,11
ben,2011,11.8
ben,2015,20.1
ben,2018,10.9
bfa,1994,11.3
bfa,1998,13.6
bfa,2003,14.2
bfa,2009,11.6
bfa,2014,5.4
bfa,2018,12.4
bgd,1983,5.7
bgd,1985,3.6
bgd,1988,5.3
bgd,1991,5.5
bgd,1995,5.1
bgd,2000,5.2
bgd,2005,4.3
bgd,2010,5.1
bgd,2016,6.1
bgr,2006,15.8
bgr,2007,13.2
bgr,2008,12.6
bgr,2009,13.9
bgr,2010,15.1
bgr,2011,14.1
bgr,2012,14.9
bgr,2013,16
bgr,2014,14.8
bgr,2015,16.3
bgr,2016,15.7
bgr,2017,15.3
bgr,2018,14.1
bgr,2019,15.1
bih,2001,7.7
bih,2004,11.7
bih,2007,11.9
bih,2011,11.8
blr,1998,10.6
blr,1999,12.1
blr,2000,11.1
blr,2001,10.3
blr,2002,9.7
blr,2003,9.3
blr,2004,7.5
blr,2005,8.9
blr,2006,9.3
blr,2007,8.7
blr,2008,8.5
blr,2009,8
blr,2010,8.5
blr,2011,8.2
blr,2012,7
blr,2013,6.6
blr,2014,6.8
blr,2015,6.2
blr,2016,5.9
blr,2017,5.2
blr,2018,5.2
blr,2019,5.5
blr,2020,3.9
blz,1993,19.9
blz,1994,18.1
blz,1996,18.2
blz,1997,20.7
blz,1998,20.7
blz,1999,20.5
bol,1997,26.4
bol,1999,30.3
bol,2000,29.6
bol,2001,27
bol,2002,28
bol,2004,21.9
bol,2005,26.2
bol,2006,25.5
bol,2007,24.3
bol,2008,22.9
bol,2009,23.2
bol,2011,21.8
bol,2012,23
bol,2013,22.7
bol,2014,21.6
bol,2015,21.3
bol,2016,22.2
bol,2017,21.7
bol,2018,20.1
bol,2019,17.8
bol,2020,17.8
bra,1981,24.6
bra,1982,25
bra,1983,25.1
bra,1984,24
bra,1985,24.5
bra,1986,24.5
bra,1987,25.7
bra,1988,26.5
bra,1989,26.5
